mode,domain,family,feature_variant,target_variant,baseline_precision,final_precision,delta_precision,baseline_recall,final_recall,delta_recall,baseline_specificity,final_specificity,delta_specificity,baseline_balanced_accuracy,final_balanced_accuracy,delta_balanced_accuracy,baseline_f1,final_f1,delta_f1,baseline_roc_auc,final_roc_auc,delta_roc_auc,baseline_pr_auc,final_pr_auc,delta_pr_auc,baseline_brier,final_brier,delta_brier,final_honesty,final_robustness
caregiver,adhd,rf,engineered,baseline,0.92487,0.949518645952803,0.024648645952803028,0.840062,0.8178053830227743,-0.022256616977225696,0.912,0.944,0.03199999999999992,0.876031,0.8809026915113871,0.004871691511387111,0.880401,0.8787513935340022,-0.001649606465997766,0.952565,0.9483892339544514,-0.00417576604554859,0.957568,0.949955903801757,-0.00761209619824299,0.084743,0.08417524547634085,-0.0005677545236591475,0.8736363636363635,0.9052680652680654
caregiver,conduct,rf,engineered,baseline,0.978869,0.9722222222222222,-0.006646777777777779,0.8625,0.875,0.012499999999999956,0.992718,0.9902912621359223,-0.002426737864077655,0.927609,0.9326456310679612,0.00503663106796115,0.916974,0.9210526315789473,0.004078631578947389,0.98078,0.9780643203883496,-0.0027156796116504234,0.948224,0.9506146895650496,0.0023906895650496196,0.040622,0.03878081363536217,-0.0018411863646378285,0.9194602272727272,0.9298513986013986
caregiver,elimination,xgboost,engineered,elimination_any_baseline,0.910467,0.9482758620689655,0.0378088620689655,0.68323,0.6832298136645962,-1.8633540377344104e-07,0.912,0.952,0.039999999999999925,0.797615,0.8176149068322981,0.01999990683229813,0.779419,0.7942238267148014,0.014804826714801433,0.869093,0.8759006211180124,0.006807621118012364,0.873588,0.8907346613286833,0.017146661328683255,0.147899,0.13305138051509857,-0.014847619484901431,0.8470538720538721,0.9658119658119657
caregiver,anxiety,lightgbm,engineered,baseline,0.782639,0.8912106135986733,0.10857161359867329,0.954545,0.9747474747474748,0.02020247474747483,0.920455,0.9636363636363637,0.04318136363636371,0.9375,0.9691919191919193,0.03169191919191927,0.860078,0.9304466840861018,0.07036868408610175,0.977428,0.9898530762167126,0.012425076216712627,0.944313,0.9765235412925816,0.03221054129258161,0.03998,0.023764816672284556,-0.016215183327715446,0.7832560296846011,0.9041244469815898
caregiver,depression,catboost,engineered,baseline,0.869814,0.989010989010989,0.11919698901098907,0.923913,0.782608695652174,-0.14130430434782604,0.904971,0.9941520467836257,0.0891810467836257,0.914442,0.8883803712178998,-0.026061628782100166,0.894702,0.8737864077669902,-0.02091559223300976,0.975566,0.9821510297482838,0.006585029748283788,0.959539,0.9687752264822245,0.009236226482224441,0.058659,0.05406633482313851,-0.0045926651768614934,0.8163961038961038,0.8955544455544455
psychologist,adhd,rf,base,baseline,0.941766,0.9562043795620438,0.014438379562043857,0.826087,0.8136645962732919,-0.012422403726708109,0.934,0.952,0.017999999999999905,0.880043,0.8828322981366459,0.002789298136645857,0.880033,0.8791946308724832,-0.0008383691275167804,0.952938,0.9521739130434783,-0.0007640869565216368,0.956229,0.9543500411341214,-0.0018789588658786327,0.083546,0.08288522652142746,-0.0006607734785725322,0.47766233766233773,0.5360239760239761
psychologist,conduct,catboost,engineered,baseline,0.945608,0.972972972972973,0.027364972972973023,0.865625,0.9,0.034375000000000044,0.980583,0.9902912621359223,0.009708262135922352,0.923104,0.9451456310679611,0.022041631067961087,0.90378,0.935064935064935,0.031284935064935016,0.977124,0.97123786407767,-0.005886135922330005,0.941644,0.9380938240290071,-0.0035501759709929415,0.043583,0.03678091510625136,-0.0068020848937486375,0.8429144385026738,0.9619909502262443
psychologist,elimination,lightgbm,engineered,elimination_any_baseline,0.919969,0.9401709401709402,0.020201940170940125,0.652174,0.6832298136645962,0.0310558136645962,0.926,0.944,0.017999999999999905,0.789087,0.8136149068322981,0.024527906832298108,0.761985,0.7913669064748201,0.029381906474820085,0.870037,0.8770434782608696,0.007006478260869642,0.874594,0.8958414547407705,0.0212474547407705,0.148572,0.137095178588842,-0.011476821411158022,0.8459415584415585,0.9507992007992008
psychologist,anxiety,lightgbm,engineered,baseline,0.922032,0.9850746268656717,0.06304262686567175,0.984848,1.0,0.015152000000000054,0.975,0.9954545454545455,0.020454545454545503,0.979924,0.9977272727272727,0.017803272727272668,0.952394,0.9924812030075186,0.04008720300751867,0.989394,0.9999770431588614,0.010583043158861383,0.971229,0.9999246193276043,0.028695619327604338,0.013608,0.0021041638828938184,-0.011503836117106182,0.7116978609625668,0.8492595639654463
psychologist,depression,catboost,engineered,baseline,0.859535,0.9023052241698609,0.04277022416986087,0.936957,0.8956521739130435,-0.041304826086956514,0.896199,0.9337231968810916,0.037524196881091654,0.916578,0.9146876853970675,-0.0018903146029325413,0.896117,0.8981119987884592,0.0019949987884591014,0.973538,0.9803203661327231,0.006782366132723094,0.955288,0.963257083031797,0.007969083031796997,0.058341,0.05693804299116797,-0.0014029570088320287,0.815282131661442,0.9197009886665061
