domain,mode,pass_name,model_family,config_id,feature_set_id,weight_policy,trials,best_val_score,best_holdout_ba,best_holdout_f1,best_holdout_pr_auc
adhd,psychologist_full,pass_b,rf,rf_recall_guard_v4,balanced_subset,none,2,0.9172982224816357,0.9085547348693639,0.8681318681318682,0.9526251201650613
adhd,psychologist_full,pass_a,rf,rf_regularized_v4,compact_subset,none,2,0.9164433910404647,0.9525410649322015,0.9072164948453608,0.9722063409411764
adhd,psychologist_full,pass_c,hgb,hgb_regularized_v3,engineered_full_no_shortcut_v1,none,2,0.916210560708983,0.9472219159960313,0.9015544041450777,0.9728689480356666
adhd,psychologist_full,pass_a,rf,rf_regularized_v4,engineered_compact,class_minor_boost,2,0.9159726196795193,0.9684985117407121,0.9238578680203046,0.9764879608090395
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,engineered_full_no_eng_v1,mode_fragile,2,0.9150018594208392,0.9098500716569287,0.8729281767955801,0.9699623861069993
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,engineered_full_no_eng_v1,none,2,0.9150018594208392,0.9098500716569287,0.8729281767955801,0.9699623861069993
adhd,psychologist_full,pass_c,extra_trees,extra_precision_guard_v3,engineered_full_no_eng_v1,none,2,0.9150018594208392,0.9098500716569287,0.8729281767955801,0.9699623861069993
adhd,psychologist_full,pass_c,rf,rf_precision_guard_v4,engineered_full_no_eng_v1,combined_aggressive,2,0.9138160707369501,0.9578602138683717,0.9128205128205128,0.9691815654340997
adhd,psychologist_full,pass_b,hgb,hgb_conservative_v3,balanced_subset,cost_asym,2,0.9135749410641618,0.9431981038474259,0.900523560209424,0.9725873969824437
adhd,psychologist_full,pass_a,rf,rf_regularized_v4,engineered_full,none,2,0.9133442455606209,0.9525410649322015,0.9072164948453608,0.9808919220025976
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,balanced_subset,cost_asym,2,0.9132550481994071,0.9058262595083233,0.8715083798882681,0.9727680870590997
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,stability_pruned_subset,mode_fragile,2,0.9130263106521512,0.9045309227207585,0.8666666666666667,0.970582738885515
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,stability_pruned_subset,none,2,0.9130263106521512,0.9045309227207585,0.8666666666666667,0.970582738885515
adhd,psychologist_full,pass_c,hgb,hgb_regularized_v3,engineered_full_no_eng_v1,combined_aggressive,2,0.9116735697540327,0.9457887774225554,0.91005291005291,0.9690415829169763
adhd,psychologist_full,pass_c,hgb,hgb_regularized_v3,engineered_full_no_eng_v1,none,2,0.9112764076461853,0.9431981038474259,0.900523560209424,0.9706954070874262
adhd,psychologist_full,pass_b,hgb,hgb_conservative_v3,stability_pruned_subset,cost_asym,2,0.9106087485433862,0.9338551427626502,0.8936170212765957,0.9718503664245922
adhd,psychologist_full,pass_a,extra_trees,extra_regularized_v3,engineered_full,class_minor_boost,2,0.910556366982541,0.9672031749531473,0.9191919191919192,0.9849531881237787
adhd,psychologist_full,pass_b,rf,rf_recall_guard_v4,balanced_subset,cost_asym,2,0.909480382298884,0.9298313306140448,0.8924731182795699,0.9620285734455538
adhd,psychologist_full,pass_b,hgb,hgb_conservative_v3,engineered_full_no_eng_v1,cost_asym,2,0.9083943496735428,0.92853599382648,0.8877005347593583,0.9713514740835234
adhd,psychologist_full,pass_c,hgb,hgb_regularized_v3,engineered_full,combined_aggressive,2,0.9075981209403186,0.9738176606768824,0.9292929292929293,0.9699045991550128
adhd,psychologist_full,pass_b,hgb,hgb_conservative_v3,balanced_subset,mode_fragile,2,0.9066358006542748,0.9338551427626502,0.8936170212765957,0.9715155752504252
adhd,psychologist_full,pass_b,hgb,hgb_conservative_v3,balanced_subset,none,2,0.9066358006542748,0.9338551427626502,0.8936170212765957,0.9715155752504252
adhd,psychologist_full,pass_a,extra_trees,extra_regularized_v3,engineered_compact,class_minor_boost,2,0.9061226012639605,0.9618840260169772,0.9137055837563451,0.9765322788063624
adhd,psychologist_full,pass_b,hgb,hgb_conservative_v3,stability_pruned_subset,mode_fragile,2,0.9059772412599559,0.9431981038474259,0.900523560209424,0.9728772446456351
adhd,psychologist_full,pass_b,hgb,hgb_conservative_v3,stability_pruned_subset,none,2,0.9059772412599559,0.9431981038474259,0.900523560209424,0.9728772446456351
