domain,mode,best_single_feature,best_single_feature_ba,shortcut_gap_vs_model_ba,shortcut_dominance_flag,feature_audit_status
adhd,caregiver_1_3,eng_adhd_core_mean,0.8936445816337779,0.022241208246058797,no,mapped_from_registry
adhd,caregiver_2_3,eng_adhd_core_mean,0.8936445816337779,0.01215411751736295,no,mapped_from_registry
adhd,caregiver_full,eng_adhd_core_mean,0.8936445816337779,0.019044206812920184,no,mapped_from_registry
adhd,psychologist_1_3,eng_adhd_core_mean,0.8936445816337779,0.019512732885018202,no,mapped_from_registry
adhd,psychologist_2_3,eng_adhd_core_mean,0.8936445816337779,0.01631573145187959,no,mapped_from_registry
adhd,psychologist_full,eng_adhd_core_mean,0.8936445816337779,-0.01879616359828029,no,mapped_from_registry
anxiety,caregiver_1_3,eng_anxiety_core_mean,0.9351906504544918,0.033821272577027384,no,mapped_from_registry
anxiety,caregiver_2_3,eng_anxiety_core_mean,0.9351906504544918,-0.008883248730964577,no,mapped_from_registry
anxiety,caregiver_full,eng_anxiety_core_mean,0.9351906504544918,-0.01469720221933657,no,mapped_from_registry
anxiety,psychologist_1_3,eng_anxiety_core_mean,0.9351906504544918,0.0785326407744068,yes,mapped_from_registry
anxiety,psychologist_2_3,eng_anxiety_core_mean,0.9351906504544918,-0.008352024554362014,no,mapped_from_registry
anxiety,psychologist_full,eng_anxiety_core_mean,0.9351906504544918,-0.010890095620351814,no,mapped_from_registry
conduct,caregiver_1_3,conduct_15_truancy_before_13,0.846875,-0.06093749999999998,no,mapped_from_registry
conduct,caregiver_2_3,eng_externalizing_index,0.903125,0.015625,no,exact_conduct_honest_retrain_v1
conduct,caregiver_full,,,,no,por_confirmar_missing_feature_set
conduct,psychologist_1_3,conduct_15_truancy_before_13,0.846875,-0.0390625,no,mapped_from_registry
conduct,psychologist_2_3,eng_externalizing_index,0.903125,0.0,no,exact_conduct_honest_retrain_v1
conduct,psychologist_full,,,,no,por_confirmar_missing_feature_set
depression,caregiver_1_3,mdd_02_loss_of_interest_or_pleasure,0.8265412427993627,0.013604608407893126,no,mapped_from_registry
depression,caregiver_2_3,mdd_impairment,0.8591739183723495,-0.06566368427503377,no,mapped_from_registry
depression,caregiver_full,mdd_impairment,0.8591739183723495,-0.0977721206632417,no,base_only_por_confirmar_engv3
depression,psychologist_1_3,mdd_02_loss_of_interest_or_pleasure,0.8265412427993627,-0.037504596151489156,no,mapped_from_registry
depression,psychologist_2_3,mdd_impairment,0.8591739183723495,-0.06691996568206893,no,mapped_from_registry
depression,psychologist_full,mdd_impairment,0.8591739183723495,-0.09509320753656736,no,base_only_por_confirmar_engv3
elimination,caregiver_1_3,enuresis_event_frequency_per_week,0.8752695902228613,-0.06755229377549332,no,base_only_por_confirmar_engv3
elimination,caregiver_2_3,eng_elimination_intensity,0.9766355140186915,-0.01985981308411222,no,mapped_from_registry
elimination,caregiver_full,eng_elimination_intensity,0.9766355140186915,-0.01985981308411222,no,mapped_from_registry
elimination,psychologist_1_3,enuresis_event_frequency_per_week,0.8752695902228613,-0.06988329610649546,no,base_only_por_confirmar_engv3
elimination,psychologist_2_3,eng_elimination_intensity,0.9766355140186915,-0.01985981308411222,no,mapped_from_registry
elimination,psychologist_full,eng_elimination_intensity,0.9766355140186915,-0.01985981308411222,no,mapped_from_registry
