domain,role,mode,active_model_id,model_family,feature_set_id,threshold,n_features,feature_columns_sha16,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,final_class,final_operational_class,confidence_pct,confidence_band,guardrail_margin_min,near_guardrail_flag,guardrail_violation_flag,weak_class_flag,overfit_or_gap_flag,secondary_anomaly_text_flag,feature_dominance_pending_audit,clone_pending_audit,missing_features_in_dataset,missing_features_in_inputs_master,input_compatibility_ok
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,same_inputs_v10,0.3999999999999999,36,6a443060444a03ab,0.71900826446281,0.925531914893617,0.911917098445596,0.9187245066696064,0.8093023255813954,0.9492613824275165,0.7241089004526715,0.063894662445087,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.03073861757248353,no,no,yes,no,yes,yes,yes,,,yes
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,same_inputs_v10,0.5599999999999999,69,8b312fa01539fe35,0.689922480620155,0.946808510638298,0.8963730569948186,0.9215907838165582,0.7982062780269058,0.9524583838606548,0.7461931953430669,0.0786879634511631,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.027541616139345138,no,no,yes,no,yes,yes,yes,,,yes
adhd,caregiver,caregiver_full,adhd__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,same_inputs_v10,0.4666534718198245,53,982a6cc07389a227,0.704,0.9361702127659576,0.9041450777202072,0.9201576452430824,0.8036529680365296,0.951383529930548,0.7300419974766443,0.0755461324257614,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.028616470069452005,no,no,yes,no,yes,yes,yes,,,yes
adhd,psychologist,psychologist_1_3,adhd__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,same_inputs_v10,0.5499999999999999,9,7a17cc38a62ff6a8,0.6904761904761905,0.925531914893617,0.8989637305699482,0.9122478227317824,0.7909090909090909,0.949729908499614,0.7180700559629031,0.0786775125764627,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.030270091500385954,no,no,yes,no,yes,yes,yes,,,yes
adhd,psychologist,psychologist_2_3,adhd__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,same_inputs_v10,0.2799999999999999,101,6fcb43f11bc9d427,0.8333333333333334,0.851063829787234,0.9585492227979274,0.9048065262925808,0.8421052631578947,0.9720675779958108,0.9313831206397698,0.0405985018273197,PRIMARY_WITH_CAVEAT,ACTIVE_MODERATE_CONFIDENCE,84.8,moderate,0.007932422004189199,yes,no,no,no,no,yes,yes,,,yes
adhd,psychologist,psychologist_full,adhd__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,same_inputs_v10,0.6,27,f0a5ea80b9a25ada,0.7226890756302521,0.9148936170212766,0.9145077720207254,0.914700694521001,0.8075117370892019,0.962931319589902,0.8534145929527844,0.0939018702887466,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.017068680410098014,no,no,yes,no,yes,yes,yes,,,yes
anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,same_inputs_v10,0.29,58,dbfc185778ae6371,0.8461538461538461,0.8953488372093024,0.964467005076142,0.9299079211427222,0.8700564971751412,0.9767884547278952,0.9193327479894848,0.0377847444619504,PRIMARY_WITH_CAVEAT,ACTIVE_MODERATE_CONFIDENCE,84.9,moderate,0.0032115452721047655,yes,no,no,no,yes,yes,yes,,,yes
anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,same_inputs_v10,0.5509721185330153,59,52fbb664640d2f7d,0.8554216867469879,0.8255813953488372,0.9695431472081218,0.8975622712784795,0.8402366863905325,0.9643637114862472,0.8985296515822613,0.1324680784221708,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.010456852791878135,no,no,yes,no,no,yes,yes,,,yes
anxiety,caregiver,caregiver_full,anxiety__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,same_inputs_v10,0.5299999999999999,126,35e7f847366e4396,0.8235294117647058,0.813953488372093,0.9619289340101524,0.8879412111911227,0.8187134502923976,0.9536654468185574,0.8531067850920091,0.1363188022729681,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.018071065989847535,no,no,yes,no,no,yes,yes,,,yes
anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf,same_inputs_v10,0.5336125226848083,14,fa65c9fdcc8b3349,0.8452380952380952,0.8255813953488372,0.967005076142132,0.8962932357454846,0.8352941176470589,0.9639652933537952,0.8800940637253928,0.1195811534254709,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.012994923857867935,no,no,yes,no,yes,yes,yes,,,yes
