domain,n,positive_n,negative_n,positive_rate
adhd,2400,470,1930,0.19583333333333333
conduct,2400,798,1602,0.3325
elimination,2400,259,2141,0.10791666666666666
anxiety,2400,430,1970,0.17916666666666667
depression,2400,409,1991,0.17041666666666666
