domain,mode,source_campaign,model_family,feature_set_id,calibration,threshold_policy,threshold,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,quality_label,overfit_gap_train_val_ba,final_class,role,final_operational_class,overfit_flag,generalization_flag,dataset_ease_flag,confidence_pct,confidence_band,operational_caveat,recommended_for_default_use,role_normalized,generalization_risk_flag,overfit_risk_flag,easy_dataset_flag,secondary_metric_anomaly_flag,secondary_metric_peak,secondary_metric_anomaly_reasons,secondary_anomaly_resolution,mode_fragility_flag,shortcut_risk_flag,calibration_concern_flag,legacy_final_class,normalized_final_class,classification_reason_code,classification_rationale,class_transition
anxiety,psychologist_2_3,rebuild_v2,rf,precision_oriented_subset,isotonic,balanced,0.2299999999999999,0.9058823529411764,0.8953488372093024,0.9796954314720812,0.937522134340692,0.9005847953216374,0.9898182032817848,0.930287612715468,0.0302180148379456,muy_bueno,0.0458426789438476,ROBUST_PRIMARY,psychologist,ACTIVE_HIGH_CONFIDENCE,no,yes,no,93.8,high,none,yes,psychologist,no,no,no,yes,0.9898182032817848,roc_auc_gt_0_98,por_confirmar,no,no,no,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly,"metrics[ba=0.938,f1=0.901,p=0.906,r=0.895,brier=0.030]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98; class=PRIMARY_WITH_CAVEAT",downgrade
anxiety,psychologist_full,rebuild_v2,rf,precision_oriented_subset,isotonic,default_0_5,0.5,0.9156626506024096,0.8837209302325582,0.9822335025380712,0.9329772163853146,0.8994082840236687,0.9911610199504192,0.9442183163908962,0.026760853373639,muy_bueno,0.0466887026325109,ROBUST_PRIMARY,psychologist,ACTIVE_HIGH_CONFIDENCE,no,yes,no,94.5,high,none,yes,psychologist,no,no,no,yes,0.9911610199504192,"roc_auc_gt_0_98,specificity_gt_0_98,suspicious_combo_secondary_plus_brier",por_confirmar,no,no,no,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly,"metrics[ba=0.933,f1=0.899,p=0.916,r=0.884,brier=0.027]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,specificity_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",downgrade
conduct,caregiver_1_3,rebuild_v2,rf,precision_oriented_subset,none,recall_constrained,0.59,0.9019607843137256,0.8625,0.953125,0.9078125,0.8817891373801917,0.97841796875,0.9500801871541836,0.0563854385479201,bueno,0.0696280150252286,ROBUST_PRIMARY,caregiver,ACTIVE_HIGH_CONFIDENCE,no,yes,no,87.0,high,none,yes,guardian,no,no,no,no,0.97841796875,none,not_required,yes,no,yes,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.908,f1=0.882,p=0.902,r=0.863,brier=0.056]; mode_fragility_flag; calibration_concern_flag; class=PRIMARY_WITH_CAVEAT",downgrade
conduct,caregiver_2_3,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,none,precision_min_recall,0.6849999999999999,0.9280575539568344,0.80625,0.96875,0.8875,0.862876254180602,0.975859375,0.9476529887411712,0.0598134006093339,bueno,0.0671084508996988,ROBUST_PRIMARY,caregiver,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,84.9,moderate,none,yes,guardian,no,no,no,no,0.975859375,none,not_required,no,no,yes,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.887,f1=0.863,p=0.928,r=0.806,brier=0.060]; calibration_concern_flag; class=PRIMARY_WITH_CAVEAT",downgrade
conduct,caregiver_full,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,none,balanced,0.4449999999999999,0.8076923076923077,0.91875,0.890625,0.9046875,0.8596491228070176,0.9746875,0.9499594639068576,0.0622859399714159,aceptable,0.0254954258860728,PRIMARY_WITH_CAVEAT,caregiver,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,75.3,moderate,none,yes,guardian,no,no,no,no,0.9746875,none,not_required,no,no,yes,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.905,f1=0.860,p=0.808,r=0.919,brier=0.062]; calibration_concern_flag; class=PRIMARY_WITH_CAVEAT",unchanged
conduct,psychologist_1_3,rebuild_v2,rf,compact_subset,sigmoid,recall_constrained,0.6449999999999999,0.9090909090909092,0.8125,0.959375,0.8859375,0.858085808580858,0.97728515625,0.9542627941351364,0.0585440516294588,aceptable,0.0916305926930246,PRIMARY_WITH_CAVEAT,psychologist,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,75.7,moderate,none,yes,psychologist,no,no,no,no,0.97728515625,none,not_required,yes,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.886,f1=0.858,p=0.909,r=0.812,brier=0.059]; mode_fragility_flag; class=PRIMARY_WITH_CAVEAT",unchanged
conduct,psychologist_2_3,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,isotonic,balanced,0.3799999999999999,0.8846153846153846,0.8625,0.94375,0.903125,0.8734177215189873,0.9715234375,0.9324443838258124,0.0598157660888244,bueno,0.0188690111146382,ROBUST_PRIMARY,psychologist,ACTIVE_HIGH_CONFIDENCE,no,yes,no,85.0,high,none,yes,psychologist,no,no,no,no,0.9715234375,none,not_required,no,no,no,ROBUST_PRIMARY,ROBUST_PRIMARY,passes_robust_gate_without_blockers,"metrics[ba=0.903,f1=0.873,p=0.885,r=0.863,brier=0.060]; class=ROBUST_PRIMARY",unchanged
conduct,psychologist_full,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,isotonic,balanced,0.3349999999999999,0.8439306358381503,0.9125,0.915625,0.9140625,0.8768768768768769,0.975634765625,0.9413294156917726,0.0601968414247834,aceptable,0.0526354073109205,PRIMARY_WITH_CAVEAT,psychologist,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,76.8,moderate,none,yes,psychologist,no,no,no,no,0.975634765625,none,not_required,no,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.914,f1=0.877,p=0.844,r=0.912,brier=0.060]; class=PRIMARY_WITH_CAVEAT",unchanged
depression,caregiver_1_3,rebuild_v2,rf,precision_oriented_subset,none,recall_constrained,0.5299999999999999,0.8059701492537313,0.6585365853658537,0.9673366834170856,0.8129366343914696,0.7248322147651006,0.958282264983454,0.764765007527117,0.0600670985657974,malo,0.1235015803079284,HOLD_FOR_LIMITATION,caregiver,ACTIVE_LIMITED_USE,yes,no,no,18.6,limited,limited reliability; escalate to richer mode; overfit risk; low recall; short mode fragile,no,guardian,yes,yes,no,no,0.9673366834170856,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.813,f1=0.725,p=0.806,r=0.659,brier=0.060]; generalization_risk_flag; overfit_risk_flag; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
depression,caregiver_2_3,rebuild_v2,rf,full_eligible,isotonic,recall_constrained,0.2149999999999999,0.8313253012048193,0.8414634146341463,0.964824120603015,0.9031437676185808,0.8363636363636363,0.9573630346856232,0.8434143874736915,0.0454553863622029,malo,0.034395975558317,HOLD_FOR_LIMITATION,caregiver,ACTIVE_LIMITED_USE,no,yes,no,56.3,low,limited reliability; escalate to richer mode,no,guardian,no,no,no,no,0.964824120603015,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.903,f1=0.836,p=0.831,r=0.841,brier=0.045]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
