mode,domain,round_id,feature_set,family,n_features,threshold_balanced,calibration,fit_seconds,train_precision,train_recall,train_balanced_accuracy,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_f1,val_roc_auc,val_pr_auc,val_brier,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,uncertain_rate,uncertainty_usefulness,output_realism_score,seed_std_balanced_accuracy,stability,robustness_val_score,overfit_gap_ba,overfit_gap_precision,selection_objective,operational_complexity,maintenance_complexity
caregiver,elimination,2,missingness_aware_clean,rf,24,0.44500000000000006,isotonic,2.257097005844116,0.9779179810725552,0.824468085106383,0.9001858497821071,0.9477611940298507,0.7888198757763976,0.944,0.8664099378881988,0.8610169491525423,0.925664596273292,0.9526340548396652,0.10297937797937798,0.8776978417266187,0.7577639751552795,0.864,0.8108819875776397,0.8133333333333334,0.8824347826086958,0.9134947186243835,0.13807719649806982,0.13986013986013987,0.29552845528455285,0.8216783216783217,0.0004216288881608955,high,0.834472049689441,0.033775911893908384,0.030156787042704525,0.8940019475330222,1.5714285714285714,2.1058823529411765
caregiver,elimination,2,source_aware_clean,rf,25,0.48000000000000004,isotonic,4.662064790725708,0.9692780337941628,0.839095744680851,0.9023361683817336,0.9411764705882353,0.7950310559006211,0.936,0.8655155279503106,0.8619528619528619,0.9264347826086957,0.9535611944160387,0.10184023926018775,0.8794326241134752,0.7701863354037267,0.864,0.8170931677018634,0.8211920529801324,0.8800496894409937,0.9132623537329204,0.13610273842131876,0.10839160839160839,0.3671094244149272,0.7741258741258741,0.0014639891950031804,high,0.8395652173913044,0.03682064043142297,0.028101563205927493,0.891729921721068,1.5952380952380953,2.135294117647059
caregiver,elimination,1,compact_generalization_first,rf,16,0.5750000000000001,isotonic,1.999004602432251,0.9914529914529915,0.7712765957446809,0.8813353718826675,0.9534883720930233,0.7639751552795031,0.952,0.8579875776397515,0.8482758620689655,0.929192546583851,0.9540397049746387,0.10248227474646046,0.9099099099099099,0.6273291925465838,0.92,0.773664596273292,0.7426470588235294,0.8791304347826087,0.9138365094599226,0.14021457062866194,0.17832167832167833,0.5134751773049645,0.8038461538461539,1.1102230246251565e-16,high,0.8175093167701863,0.023347794242915998,0.0379646193599682,0.8914186569181874,1.380952380952381,1.8705882352941177
caregiver,elimination,2,subtype_context_engineered,rf,25,0.45000000000000007,isotonic,2.678875207901001,0.9750778816199377,0.8324468085106383,0.9024540410883657,0.9477611940298507,0.7888198757763976,0.944,0.8664099378881988,0.8610169491525423,0.9252173913043479,0.9534092825857574,0.10270715458121753,0.8848920863309353,0.7639751552795031,0.872,0.8179875776397516,0.82,0.8763726708074534,0.9092532809540673,0.13686270492902924,0.08741258741258741,0.4505747126436781,0.8692307692307693,0.0025357036674773696,high,0.8134037267080745,0.03604410320016693,0.027316687590086985,0.8898953865979402,1.5952380952380953,2.135294117647059
caregiver,elimination,2,recall_support_engineered,rf,25,0.5050000000000001,isotonic,1.9736700057983398,0.9756468797564688,0.8523936170212766,0.9124274453436847,0.9477611940298507,0.7888198757763976,0.944,0.8664099378881988,0.8610169491525423,0.9233788819875777,0.9514303883843307,0.10358002491811526,0.8913043478260869,0.7639751552795031,0.88,0.8219875776397516,0.822742474916388,0.8752795031055901,0.9063676217099688,0.14050137842699947,0.0,-0.1853146853146853,0.7283216783216784,0.0018856180831641283,high,0.8189440993788821,0.04601750745548594,0.027885685726618092,0.8896262934023723,1.5952380952380953,2.135294117647059
caregiver,elimination,1,v12_winner_replay,rf,21,0.5650000000000001,isotonic,1.8445403575897217,0.9869494290375204,0.8045212765957447,0.8953759567143955,0.946969696969697,0.7763975155279503,0.944,0.8601987577639751,0.8532423208191127,0.9259378881987578,0.9529072657329449,0.10350863980237181,0.905511811023622,0.7142857142857143,0.904,0.8091428571428572,0.7986111111111112,0.8797763975155279,0.9093212139626832,0.13593515531564845,0.08041958041958042,0.5359563564225491,0.7800699300699301,0.0,high,0.8112981366459627,0.035177198950420374,0.03997973206782335,0.8890640055199898,1.5,2.0176470588235293
caregiver,elimination,2,balanced_clinical_engineered,rf,26,0.5050000000000001,isotonic,2.2778520584106445,0.9726858877086495,0.8523936170212766,0.9107062749478156,0.9411764705882353,0.7950310559006211,0.936,0.8655155279503106,0.8619528619528619,0.9303105590062112,0.9552463251023438,0.10071388207751844,0.8785714285714286,0.7639751552795031,0.864,0.8139875776397516,0.8172757475083057,0.8760496894409938,0.910406317646459,0.13861898196592568,0.06993006993006994,0.43834586466165415,0.8395104895104895,0.0032659863237109073,high,0.8404472049689442,0.04519074699750503,0.03150941712041422,0.8890350886668078,1.619047619047619,2.164705882352941
caregiver,elimination,3,hybrid_clean_precision_generalization,rf,33,0.5050000000000001,isotonic,2.4448108673095703,0.9728506787330317,0.8577127659574468,0.9133658494159007,0.9411764705882353,0.7950310559006211,0.936,0.8655155279503106,0.8619528619528619,0.9275776397515528,0.9541312561392257,0.10156703641894921,0.8732394366197183,0.7701863354037267,0.856,0.8130931677018634,0.8184818481848185,0.8725714285714286,0.9076792029932215,0.1399723918775186,0.11538461538461539,0.3649538866930171,0.7800699300699301,0.004988876515698593,high,0.8554223602484472,0.047850321465590095,0.03167420814479638,0.8875866970161786,1.7857142857142856,2.3705882352941177
caregiver,elimination,1,compact_precision_focused,rf,24,0.6700000000000002,isotonic,1.956470012664795,0.9931506849315068,0.7712765957446809,0.8821959570806021,0.9752066115702479,0.7329192546583851,0.976,0.8544596273291926,0.8368794326241135,0.9247204968944099,0.9524558608196232,0.10352328189330616,0.9035087719298246,0.639751552795031,0.912,0.7758757763975155,0.7490909090909091,0.8724472049689441,0.903809106204295,0.141288571423373,0.1048951048951049,0.5869791666666667,0.7325174825174825,0.0032659863237109073,high,0.7558571428571429,0.027736329751409494,0.017944073361258916,0.8855533985329724,1.5714285714285714,2.1058823529411765
caregiver,elimination,1,compact_generalization_first,xgboost,16,0.6050000000000001,isotonic,0.32583117485046387,1.0,0.788563829787234,0.894281914893617,0.953125,0.7577639751552795,0.952,0.8548819875776397,0.8442906574394463,0.9232298136645962,0.9506914384261214,0.1054373721917299,0.9090909090909091,0.6211180124223602,0.92,0.7705590062111801,0.7380073800738007,0.8655403726708075,0.9056428672584826,0.14846443210254429,0.11188811188811189,0.5297736220472441,0.7562937062937063,0.002180775916705728,high,0.8127329192546584,0.0393999273159773,0.046875,0.883909118745031,2.380952380952381,2.8705882352941177
