domain,mode,role,source_campaign,feature_set_id,feature_list_pipe,model_family,family_key,config_id,calibration,threshold_policy,threshold,seed,n_features,train_balanced_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,overfit_gap_train_val_ba,generalization_gap_val_holdout_ba,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,tn,fp,fn,tp,guard_ok,precision_floor_ok,recall_target_ok,candidate_key
elimination,caregiver_1_3,caregiver,hybrid_elimination_structural_audit_rescue_v1,ranked_direct,enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month,rf,rf_regularized,rf_elimination_guard_regularized_v1,none,validation_f1_recall_guard_anti_clone_v1,0.8699999999999999,20270421,4,0.9030124262583156,0.9078900071890725,0.7719298245614035,0.8461538461538461,0.8073394495412844,-0.004877580930756964,0.02273544212796552,0.8214285714285714,0.8846153846153846,0.9766355140186916,0.9306254493170381,0.8518518518518519,0.9376797268152408,0.8747553222624959,0.10979631306087283,418,10,6,46,yes,yes,yes,caregiver_1_3::ranked_direct::rf_regularized::20270421::0.8700
elimination,caregiver_1_3,caregiver,hybrid_elimination_structural_audit_rescue_v1,ranked_direct,enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month,rf,rf_regularized,rf_elimination_guard_regularized_v1,none,validation_f1_recall_guard_anti_clone_v1,0.83,20270439,4,0.9094640391615414,0.9078900071890725,0.7719298245614035,0.8461538461538461,0.8073394495412844,0.001574031972468859,0.021567217828900143,0.8070175438596491,0.8846153846153846,0.9742990654205608,0.9294572250179727,0.8440366972477065,0.9391624730409778,0.8876800055956025,0.11558502594109564,417,11,6,46,yes,yes,yes,caregiver_1_3::ranked_direct::rf_regularized::20270439::0.8300
elimination,caregiver_1_3,caregiver,hybrid_elimination_structural_audit_rescue_v1,ranked_direct,enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month,extra_trees,extra_trees_regularized,extra_trees_elimination_guard_regularized_v1,none,validation_f1_recall_guard_anti_clone_v1,0.8899999999999999,20270421,4,0.8861553909878248,0.9099568655643422,0.9347826086956522,0.8269230769230769,0.8775510204081632,-0.02380147457651738,0.025341480948957607,0.8846153846153846,0.8846153846153846,0.985981308411215,0.9352983465132998,0.8846153846153846,0.9943386053199137,0.9613600685029255,0.1411647519249441,422,6,6,46,no,yes,yes,caregiver_1_3::ranked_direct::extra_trees_regularized::20270421::0.8900
elimination,caregiver_1_3,caregiver,hybrid_elimination_structural_audit_rescue_v1,ranked_direct,enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month,extra_trees,extra_trees_regularized,extra_trees_elimination_guard_regularized_v1,none,validation_f1_recall_guard_anti_clone_v1,0.8499999999999999,20270439,4,0.8843730387849881,0.9134615384615384,1.0,0.8269230769230769,0.9052631578947369,-0.02908849967655036,0.004942487419122954,0.9166666666666666,0.8461538461538461,0.9906542056074766,0.9184040258806614,0.88,0.9939791516894321,0.958434082722716,0.16993100282403958,424,4,8,44,no,yes,no,caregiver_1_3::ranked_direct::extra_trees_regularized::20270439::0.8500
elimination,caregiver_1_3,caregiver,hybrid_elimination_structural_audit_rescue_v1,ranked_direct,enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month,hgb,hgb_conservative,hgb_elimination_conservative_v1,none,validation_f1_recall_guard_anti_clone_v1,0.33999999999999997,20270421,4,0.9242500313794402,0.9230769230769231,1.0,0.8461538461538461,0.9166666666666666,0.0011731083025170452,0.019230769230769162,1.0,0.8846153846153846,1.0,0.9423076923076923,0.9387755102040817,0.9401509705248023,0.8971153846153845,0.03537227652485447,428,0,6,46,no,yes,yes,caregiver_1_3::ranked_direct::hgb_conservative::20270421::0.3400
elimination,caregiver_1_3,caregiver,hybrid_elimination_structural_audit_rescue_v1,ranked_direct,enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month,hgb,hgb_conservative,hgb_elimination_conservative_v1,none,validation_f1_recall_guard_anti_clone_v1,0.33999999999999997,20270439,4,0.9242500313794402,0.9230769230769231,1.0,0.8461538461538461,0.9166666666666666,0.0011731083025170452,0.019230769230769162,1.0,0.8846153846153846,1.0,0.9423076923076923,0.9387755102040817,0.9401509705248023,0.8971153846153845,0.03537227652485447,428,0,6,46,no,yes,yes,caregiver_1_3::ranked_direct::hgb_conservative::20270439::0.3400
elimination,caregiver_1_3,caregiver,hybrid_elimination_structural_audit_rescue_v1,ranked_direct,enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month,logreg,logreg_regularized,logreg_elimination_regularized_v1,none,validation_f1_recall_guard_anti_clone_v1,0.83,20270421,4,0.9691351826283419,0.9807692307692308,1.0,0.9615384615384616,0.9803921568627451,-0.011634048140888975,0.02507189072609639,0.9056603773584906,0.9230769230769231,0.9883177570093458,0.9556973400431344,0.9142857142857143,0.9975512221423436,0.9769063438481639,0.022538167041147257,423,5,4,48,no,yes,yes,caregiver_1_3::ranked_direct::logreg_regularized::20270421::0.8300
elimination,caregiver_1_3,caregiver,hybrid_elimination_structural_audit_rescue_v1,ranked_direct,enuresis_event_frequency_per_week|enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month,logreg,logreg_regularized,logreg_elimination_regularized_v1,none,validation_f1_recall_guard_anti_clone_v1,0.83,20270439,4,0.9691351826283419,0.9807692307692308,1.0,0.9615384615384616,0.9803921568627451,-0.011634048140888975,0.02507189072609639,0.9056603773584906,0.9230769230769231,0.9883177570093458,0.9556973400431344,0.9142857142857143,0.9975512221423436,0.9769063438481639,0.022538167041147257,423,5,4,48,no,yes,yes,caregiver_1_3::ranked_direct::logreg_regularized::20270439::0.8300
elimination,caregiver_1_3,caregiver,hybrid_elimination_structural_audit_rescue_v1,no_top1_direct,enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|enuresis_nocturnal,rf,rf_regularized,rf_elimination_guard_regularized_v1,none,validation_f1_recall_guard_anti_clone_v1,0.73,20270421,4,0.9094640391615414,0.9078900071890725,0.7719298245614035,0.8461538461538461,0.8073394495412844,0.001574031972468859,0.021567217828900143,0.8070175438596491,0.8846153846153846,0.9742990654205608,0.9294572250179727,0.8440366972477065,0.9397016534867002,0.8910003373819163,0.11121141094216117,417,11,6,46,yes,yes,yes,caregiver_1_3::no_top1_direct::rf_regularized::20270421::0.7300
elimination,caregiver_1_3,caregiver,hybrid_elimination_structural_audit_rescue_v1,no_top1_direct,enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|enuresis_nocturnal,rf,rf_regularized,rf_elimination_guard_regularized_v1,none,validation_f1_recall_guard_anti_clone_v1,0.71,20270439,4,0.9094640391615414,0.9078900071890725,0.7719298245614035,0.8461538461538461,0.8073394495412844,0.001574031972468859,0.021567217828900143,0.8070175438596491,0.8846153846153846,0.9742990654205608,0.9294572250179727,0.8440366972477065,0.9396342559309849,0.8909747645504923,0.11672741181473416,417,11,6,46,yes,yes,yes,caregiver_1_3::no_top1_direct::rf_regularized::20270439::0.7100
elimination,caregiver_1_3,caregiver,hybrid_elimination_structural_audit_rescue_v1,no_top1_direct,enuresis_distress_impairment|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|enuresis_nocturnal,extra_trees,extra_trees_regularized,extra_trees_elimination_guard_regularized_v1,none,validation_f1_recall_guard_anti_clone_v1,0.3499999999999999,20270421,4,0.9665369649805448,0.9742990654205608,0.7027027027027027,1.0,0.8253968253968254,-0.007762100440016018,0.007009345794392496,0.65,1.0,0.9345794392523364,0.9672897196261683,0.7878787878787878,0.9904744787922357,0.9293677113126046,0.12187191232756994,400,28,0,52,no,no,no,caregiver_1_3::no_top1_direct::extra_trees_regularized::20270421::0.3500
