generated_feature_name,source_columns,source_tables,derivation_rule,base_data_scope,lineage_version
v5_comp_elim_core_sum,"cbcl_108,cbcl_112,sdq_impact",HBN_hybrid_existing,cbcl_108 + cbcl_112 + sdq_impact,strict_no_leakage_hybrid_or_research_extended_hybrid,v5
v5_comp_elim_core_mean,"cbcl_108,cbcl_112,sdq_impact",HBN_hybrid_existing,(cbcl_108 + cbcl_112 + sdq_impact) / 3,strict_no_leakage_hybrid_or_research_extended_hybrid,v5
v5_comp_elim_source_convergence,"has_cbcl,has_sdq",HBN_hybrid_existing,1 if has_cbcl + has_sdq >= 2 else 0,strict_no_leakage_hybrid_or_research_extended_hybrid,v5
v5_comp_elim_consistency,"cbcl_108,cbcl_112",HBN_hybrid_existing,1 / (1 + abs(cbcl_108 - cbcl_112)),strict_no_leakage_hybrid_or_research_extended_hybrid,v5
v5_anti_transdiag_burden,"cbcl_internalizing_proxy,cbcl_externalizing_proxy,asr_internalizing_proxy,asr_externalizing_proxy,ysr_internalizing_proxy,ysr_externalizing_proxy,sdq_total_difficulties,sdq_difficulties_total_proxy",HBN_hybrid_existing,"sum(internalizing, externalizing, sdq_difficulties proxies)",strict_no_leakage_hybrid_or_research_extended_hybrid,v5
v5_anti_specificity_ratio,"v5_comp_elim_core_sum,v5_anti_transdiag_burden",HBN_hybrid_existing,elim_core_sum / (1 + transdiag_burden),strict_no_leakage_hybrid_or_research_extended_hybrid,v5
v5_anti_focality_index,"v5_comp_elim_core_mean,cbcl_internalizing_proxy,cbcl_externalizing_proxy",HBN_hybrid_existing,elim_core_mean - 0.35*(internalizing + externalizing),strict_no_leakage_hybrid_or_research_extended_hybrid,v5
v5_anti_internalizing_minus_elim,"cbcl_internalizing_proxy,asr_internalizing_proxy,ysr_internalizing_proxy,v5_comp_elim_core_sum",HBN_hybrid_existing,internalizing_proxy_sum - elim_core_sum,strict_no_leakage_hybrid_or_research_extended_hybrid,v5
v5_eq_source_count,"has_cbcl,has_sdq,has_ari_p,has_ari_sr",HBN_hybrid_existing,has_cbcl + has_sdq + has_ari_p + has_ari_sr,strict_no_leakage_hybrid_or_research_extended_hybrid,v5
v5_eq_core_observed_ratio,"cbcl_108,cbcl_112,sdq_impact",HBN_hybrid_existing,"non_missing_ratio([cbcl_108, cbcl_112, sdq_impact])",strict_no_leakage_hybrid_or_research_extended_hybrid,v5
v5_eq_missing_ratio_core,v5_eq_core_observed_ratio,HBN_hybrid_existing,1 - core_observed_ratio,strict_no_leakage_hybrid_or_research_extended_hybrid,v5
v5_eq_evidence_quality_score,"v5_eq_source_count,v5_eq_core_observed_ratio,v5_eq_missing_ratio_core",HBN_hybrid_existing,source_count + core_observed_ratio - 0.5*missing_ratio_core,strict_no_leakage_hybrid_or_research_extended_hybrid,v5
v5_sub_aux_enuresis_proxy_flag,cbcl_108,HBN_hybrid_existing,1 if cbcl_108 >= q70(1.0000) else 0,strict_no_leakage_hybrid_or_research_extended_hybrid,v5
v5_sub_aux_encopresis_proxy_flag,cbcl_112,HBN_hybrid_existing,1 if cbcl_112 >= q70(1.0000) else 0,strict_no_leakage_hybrid_or_research_extended_hybrid,v5
v5_sub_aux_overlap_flag,"v5_sub_aux_enuresis_proxy_flag,v5_sub_aux_encopresis_proxy_flag",HBN_hybrid_existing,1 if both subtype auxiliary flags are active else 0,strict_no_leakage_hybrid_or_research_extended_hybrid,v5
v5_sub_aux_dominance_index,"cbcl_108,cbcl_112",HBN_hybrid_existing,cbcl_108 - cbcl_112,strict_no_leakage_hybrid_or_research_extended_hybrid,v5
v5_hn_negative_guard,"v5_anti_transdiag_burden,v5_comp_elim_core_sum",HBN_hybrid_existing,transdiag_burden - elim_core_sum,strict_no_leakage_hybrid_or_research_extended_hybrid,v5
v5_hn_transdiag_pressure,v5_anti_transdiag_burden,HBN_hybrid_existing,copy(v5_anti_transdiag_burden),strict_no_leakage_hybrid_or_research_extended_hybrid,v5
v5_hn_hard_negative_flag,v5_hn_negative_guard,HBN_hybrid_existing,1 if negative_guard >= q75(66.0000) else 0,strict_no_leakage_hybrid_or_research_extended_hybrid,v5
