disorder,model_version,split,brier_score,ece_10bins,roc_auc,pr_auc
adhd,rf_adhd_v1_baseline,validation,0.07995009045777661,0.02279820103873717,0.9558260869565217,0.9638852640957022
adhd,rf_adhd_v1_baseline,test,0.11716199145592271,0.06475546895115666,0.9226686507936508,0.941325747617704
anxiety,rf_anxiety_v1_baseline,validation,0.09431993433992591,0.04446216457271769,0.9415155279503105,0.9326758426849782
anxiety,rf_anxiety_v1_baseline,test,0.09881586580021061,0.04865975640798526,0.9434523809523809,0.9313916249030275
depression,rf_depression_v4_precision_thresholded,validation,0.06276735595898023,0.053909940500749334,0.9358072916666667,0.6420300501165539
depression,rf_depression_v4_precision_thresholded,test,0.07266627394147936,0.06556751223571329,0.925,0.5623974855209091
conduct,rf_conduct_v1_baseline,validation,0.049721796705553635,0.03356767730291314,0.9641881342701015,0.8577776060318898
conduct,rf_conduct_v1_baseline,test,0.06122947550016151,0.04488697178459844,0.9520882123341139,0.7363226858783782
elimination,rf_elimination_v1_baseline,validation,0.10232703375874423,0.0036826303739596576,0.6260504201680672,0.21240934104641143
elimination,rf_elimination_v1_baseline,test,0.10101400764872075,0.04767452174099414,0.717436974789916,0.23536478010520942
