low_threshold,high_threshold,coverage,uncertain_rate,confident_positive_n,confident_negative_n,uncertain_n,precision_high,npv_low,recall_effective,specificity_effective
0.492405,0.9263157894736842,0.8811188811188811,0.11888111888111888,3,249,34,1.0,0.9598393574297188,0.1,0.93359375
0.46912052631578943,0.9263157894736842,0.8776223776223776,0.12237762237762238,3,248,35,1.0,0.9596774193548387,0.1,0.9296875
0.492405,0.95,0.8741258741258742,0.1258741258741259,1,249,36,1.0,0.9598393574297188,0.03333333333333333,0.93359375
0.44583605263157894,0.9263157894736842,0.8706293706293706,0.12937062937062938,3,246,37,1.0,0.9634146341463414,0.1,0.92578125
0.46912052631578943,0.95,0.8706293706293706,0.12937062937062938,1,248,37,1.0,0.9596774193548387,0.03333333333333333,0.9296875
0.4225515789473684,0.9263157894736842,0.8636363636363636,0.13636363636363635,3,244,39,1.0,0.9631147540983607,0.1,0.91796875
0.44583605263157894,0.95,0.8636363636363636,0.13636363636363635,1,246,39,1.0,0.9634146341463414,0.03333333333333333,0.92578125
0.4225515789473684,0.95,0.8566433566433567,0.14335664335664336,1,244,41,1.0,0.9631147540983607,0.03333333333333333,0.91796875
0.39926710526315784,0.9263157894736842,0.8496503496503497,0.15034965034965034,3,240,43,1.0,0.9666666666666667,0.1,0.90625
0.37598263157894735,0.9263157894736842,0.8426573426573427,0.15734265734265734,3,238,45,1.0,0.9705882352941176,0.1,0.90234375
0.39926710526315784,0.95,0.8426573426573427,0.15734265734265734,1,240,45,1.0,0.9666666666666667,0.03333333333333333,0.90625
0.37598263157894735,0.95,0.8356643356643356,0.16433566433566432,1,238,47,1.0,0.9705882352941176,0.03333333333333333,0.90234375
0.3526981578947368,0.9263157894736842,0.8321678321678322,0.16783216783216784,3,235,48,1.0,0.9829787234042553,0.1,0.90234375
0.3526981578947368,0.95,0.8251748251748252,0.17482517482517482,1,235,50,1.0,0.9829787234042553,0.03333333333333333,0.90234375
0.3294136842105263,0.9263157894736842,0.8181818181818182,0.18181818181818182,3,231,52,1.0,0.9826839826839827,0.1,0.88671875
0.3294136842105263,0.95,0.8111888111888111,0.1888111888111888,1,231,54,1.0,0.9826839826839827,0.03333333333333333,0.88671875
0.30612921052631575,0.9263157894736842,0.7972027972027972,0.20279720279720279,3,225,58,1.0,0.9866666666666667,0.1,0.8671875
0.2595602631578947,0.9263157894736842,0.7902097902097902,0.2097902097902098,3,223,60,1.0,0.9865470852017937,0.1,0.859375
0.28284473684210526,0.9263157894736842,0.7902097902097902,0.2097902097902098,3,223,60,1.0,0.9865470852017937,0.1,0.859375
0.30612921052631575,0.95,0.7902097902097902,0.2097902097902098,1,225,60,1.0,0.9866666666666667,0.03333333333333333,0.8671875
0.23627578947368422,0.9263157894736842,0.7867132867132867,0.21328671328671328,3,222,61,1.0,0.9864864864864865,0.1,0.85546875
0.2595602631578947,0.95,0.7832167832167832,0.21678321678321677,1,223,62,1.0,0.9865470852017937,0.03333333333333333,0.859375
0.28284473684210526,0.95,0.7832167832167832,0.21678321678321677,1,223,62,1.0,0.9865470852017937,0.03333333333333333,0.859375
0.23627578947368422,0.95,0.7797202797202797,0.2202797202797203,1,222,63,1.0,0.9864864864864865,0.03333333333333333,0.85546875
0.21299131578947367,0.9263157894736842,0.7727272727272727,0.22727272727272727,3,218,65,1.0,0.9862385321100917,0.1,0.83984375
0.21299131578947367,0.95,0.7657342657342657,0.23426573426573427,1,218,67,1.0,0.9862385321100917,0.03333333333333333,0.83984375
0.18970684210526317,0.9263157894736842,0.7587412587412588,0.24125874125874125,3,214,69,1.0,0.985981308411215,0.1,0.82421875
0.18970684210526317,0.95,0.7517482517482518,0.24825174825174826,1,214,71,1.0,0.985981308411215,0.03333333333333333,0.82421875
0.16642236842105262,0.9263157894736842,0.7167832167832168,0.28321678321678323,3,202,81,1.0,0.9900990099009901,0.1,0.78125
0.16642236842105262,0.95,0.7097902097902098,0.2902097902097902,1,202,83,1.0,0.9900990099009901,0.03333333333333333,0.78125
0.1431378947368421,0.9263157894736842,0.6993006993006993,0.3006993006993007,3,197,86,1.0,0.9898477157360406,0.1,0.76171875
0.1431378947368421,0.95,0.6923076923076923,0.3076923076923077,1,197,88,1.0,0.9898477157360406,0.03333333333333333,0.76171875
0.11985342105263158,0.9263157894736842,0.6783216783216783,0.32167832167832167,3,191,92,1.0,0.9895287958115183,0.1,0.73828125
0.11985342105263158,0.95,0.6713286713286714,0.32867132867132864,1,191,94,1.0,0.9895287958115183,0.03333333333333333,0.73828125
0.09656894736842106,0.9263157894736842,0.6538461538461539,0.34615384615384615,3,184,99,1.0,0.9945652173913043,0.1,0.71484375
0.09656894736842106,0.95,0.6468531468531469,0.3531468531468531,1,184,101,1.0,0.9945652173913043,0.03333333333333333,0.71484375
0.07328447368421052,0.9263157894736842,0.6398601398601399,0.36013986013986016,3,180,103,1.0,0.9944444444444445,0.1,0.69921875
0.07328447368421052,0.95,0.6328671328671329,0.36713286713286714,1,180,105,1.0,0.9944444444444445,0.03333333333333333,0.69921875
0.05,0.9263157894736842,0.6048951048951049,0.3951048951048951,3,170,113,1.0,0.9941176470588236,0.1,0.66015625
0.05,0.95,0.5979020979020979,0.4020979020979021,1,170,115,1.0,0.9941176470588236,0.03333333333333333,0.66015625
0.492405,0.7842105263157895,0.9020979020979021,0.0979020979020979,9,249,28,0.8888888888888888,0.9598393574297188,0.26666666666666666,0.93359375
0.492405,0.8078947368421052,0.9020979020979021,0.0979020979020979,9,249,28,0.8888888888888888,0.9598393574297188,0.26666666666666666,0.93359375
0.46912052631578943,0.7842105263157895,0.8986013986013986,0.10139860139860139,9,248,29,0.8888888888888888,0.9596774193548387,0.26666666666666666,0.9296875
0.46912052631578943,0.8078947368421052,0.8986013986013986,0.10139860139860139,9,248,29,0.8888888888888888,0.9596774193548387,0.26666666666666666,0.9296875
0.44583605263157894,0.7842105263157895,0.8916083916083916,0.10839160839160839,9,246,31,0.8888888888888888,0.9634146341463414,0.26666666666666666,0.92578125
0.44583605263157894,0.8078947368421052,0.8916083916083916,0.10839160839160839,9,246,31,0.8888888888888888,0.9634146341463414,0.26666666666666666,0.92578125
0.4225515789473684,0.7842105263157895,0.8846153846153846,0.11538461538461539,9,244,33,0.8888888888888888,0.9631147540983607,0.26666666666666666,0.91796875
0.4225515789473684,0.8078947368421052,0.8846153846153846,0.11538461538461539,9,244,33,0.8888888888888888,0.9631147540983607,0.26666666666666666,0.91796875
0.39926710526315784,0.7842105263157895,0.8706293706293706,0.12937062937062938,9,240,37,0.8888888888888888,0.9666666666666667,0.26666666666666666,0.90625
0.39926710526315784,0.8078947368421052,0.8706293706293706,0.12937062937062938,9,240,37,0.8888888888888888,0.9666666666666667,0.26666666666666666,0.90625
