low_threshold,high_threshold,coverage,uncertain_rate,confident_positive_n,confident_negative_n,uncertain_n,precision_high,npv_low,recall_effective,specificity_effective
0.5,0.95,0.6783216783216783,0.32167832167832167,30,164,92,1.0,0.8780487804878049,0.24,0.8944099378881988
0.45263157894736844,0.95,0.6713286713286714,0.32867132867132864,30,162,94,1.0,0.8765432098765432,0.24,0.8819875776397516
0.4763157894736842,0.95,0.6713286713286714,0.32867132867132864,30,162,94,1.0,0.8765432098765432,0.24,0.8819875776397516
0.4052631578947368,0.95,0.6643356643356644,0.3356643356643357,30,160,96,1.0,0.88125,0.24,0.8757763975155279
0.42894736842105263,0.95,0.6643356643356644,0.3356643356643357,30,160,96,1.0,0.88125,0.24,0.8757763975155279
0.3815789473684211,0.95,0.6503496503496503,0.34965034965034963,30,156,100,1.0,0.8910256410256411,0.24,0.8633540372670807
0.35789473684210527,0.95,0.6468531468531469,0.3531468531468531,30,155,101,1.0,0.896774193548387,0.24,0.8633540372670807
0.33421052631578946,0.95,0.6363636363636364,0.36363636363636365,30,152,104,1.0,0.9013157894736842,0.24,0.8509316770186336
0.3105263157894737,0.95,0.6293706293706294,0.3706293706293706,30,150,106,1.0,0.9066666666666666,0.24,0.84472049689441
0.2631578947368421,0.95,0.6223776223776224,0.3776223776223776,30,148,108,1.0,0.9054054054054054,0.24,0.8322981366459627
0.2868421052631579,0.95,0.6223776223776224,0.3776223776223776,30,148,108,1.0,0.9054054054054054,0.24,0.8322981366459627
0.23947368421052634,0.95,0.6083916083916084,0.3916083916083916,30,144,112,1.0,0.9027777777777778,0.24,0.8074534161490683
0.21578947368421053,0.95,0.5874125874125874,0.4125874125874126,30,138,118,1.0,0.9202898550724637,0.24,0.7888198757763976
0.19210526315789472,0.95,0.5594405594405595,0.4405594405594406,30,130,126,1.0,0.9384615384615385,0.24,0.7577639751552795
0.16842105263157897,0.95,0.5454545454545454,0.45454545454545453,30,126,130,1.0,0.9444444444444444,0.24,0.7391304347826086
0.14473684210526316,0.95,0.5384615384615384,0.46153846153846156,30,124,132,1.0,0.9435483870967742,0.24,0.7267080745341615
0.12105263157894737,0.95,0.5104895104895105,0.48951048951048953,30,116,140,1.0,0.9568965517241379,0.24,0.6894409937888198
0.09736842105263158,0.95,0.4755244755244755,0.5244755244755245,30,106,150,1.0,0.9622641509433962,0.24,0.6335403726708074
0.0736842105263158,0.95,0.40559440559440557,0.5944055944055944,30,86,170,1.0,0.9651162790697675,0.24,0.515527950310559
0.05,0.95,0.27972027972027974,0.7202797202797203,30,50,206,1.0,0.96,0.24,0.2981366459627329
0.5,0.927302,0.7692307692307693,0.23076923076923078,56,164,66,0.9821428571428571,0.8780487804878049,0.44,0.8944099378881988
0.45263157894736844,0.927302,0.7622377622377622,0.23776223776223776,56,162,68,0.9821428571428571,0.8765432098765432,0.44,0.8819875776397516
0.4763157894736842,0.927302,0.7622377622377622,0.23776223776223776,56,162,68,0.9821428571428571,0.8765432098765432,0.44,0.8819875776397516
0.4052631578947368,0.927302,0.7552447552447552,0.24475524475524477,56,160,70,0.9821428571428571,0.88125,0.44,0.8757763975155279
0.42894736842105263,0.927302,0.7552447552447552,0.24475524475524477,56,160,70,0.9821428571428571,0.88125,0.44,0.8757763975155279
0.3815789473684211,0.927302,0.7412587412587412,0.25874125874125875,56,156,74,0.9821428571428571,0.8910256410256411,0.44,0.8633540372670807
0.35789473684210527,0.927302,0.7377622377622378,0.26223776223776224,56,155,75,0.9821428571428571,0.896774193548387,0.44,0.8633540372670807
0.33421052631578946,0.927302,0.7272727272727273,0.2727272727272727,56,152,78,0.9821428571428571,0.9013157894736842,0.44,0.8509316770186336
0.3105263157894737,0.927302,0.7202797202797203,0.27972027972027974,56,150,80,0.9821428571428571,0.9066666666666666,0.44,0.84472049689441
0.2631578947368421,0.927302,0.7132867132867133,0.2867132867132867,56,148,82,0.9821428571428571,0.9054054054054054,0.44,0.8322981366459627
0.2868421052631579,0.927302,0.7132867132867133,0.2867132867132867,56,148,82,0.9821428571428571,0.9054054054054054,0.44,0.8322981366459627
0.23947368421052634,0.927302,0.6993006993006993,0.3006993006993007,56,144,86,0.9821428571428571,0.9027777777777778,0.44,0.8074534161490683
0.21578947368421053,0.927302,0.6783216783216783,0.32167832167832167,56,138,92,0.9821428571428571,0.9202898550724637,0.44,0.7888198757763976
0.19210526315789472,0.927302,0.6503496503496503,0.34965034965034963,56,130,100,0.9821428571428571,0.9384615384615385,0.44,0.7577639751552795
0.16842105263157897,0.927302,0.6363636363636364,0.36363636363636365,56,126,104,0.9821428571428571,0.9444444444444444,0.44,0.7391304347826086
0.14473684210526316,0.927302,0.6293706293706294,0.3706293706293706,56,124,106,0.9821428571428571,0.9435483870967742,0.44,0.7267080745341615
0.12105263157894737,0.927302,0.6013986013986014,0.3986013986013986,56,116,114,0.9821428571428571,0.9568965517241379,0.44,0.6894409937888198
0.09736842105263158,0.927302,0.5664335664335665,0.43356643356643354,56,106,124,0.9821428571428571,0.9622641509433962,0.44,0.6335403726708074
0.0736842105263158,0.927302,0.4965034965034965,0.5034965034965035,56,86,144,0.9821428571428571,0.9651162790697675,0.44,0.515527950310559
0.05,0.927302,0.3706293706293706,0.6293706293706294,56,50,180,0.9821428571428571,0.96,0.44,0.2981366459627329
0.5,0.9348679999999999,0.7482517482517482,0.2517482517482518,50,164,72,0.98,0.8780487804878049,0.392,0.8944099378881988
0.45263157894736844,0.9348679999999999,0.7412587412587412,0.25874125874125875,50,162,74,0.98,0.8765432098765432,0.392,0.8819875776397516
0.4763157894736842,0.9348679999999999,0.7412587412587412,0.25874125874125875,50,162,74,0.98,0.8765432098765432,0.392,0.8819875776397516
0.4052631578947368,0.9348679999999999,0.7342657342657343,0.26573426573426573,50,160,76,0.98,0.88125,0.392,0.8757763975155279
0.42894736842105263,0.9348679999999999,0.7342657342657343,0.26573426573426573,50,160,76,0.98,0.88125,0.392,0.8757763975155279
0.3815789473684211,0.9348679999999999,0.7202797202797203,0.27972027972027974,50,156,80,0.98,0.8910256410256411,0.392,0.8633540372670807
0.35789473684210527,0.9348679999999999,0.7167832167832168,0.28321678321678323,50,155,81,0.98,0.896774193548387,0.392,0.8633540372670807
0.33421052631578946,0.9348679999999999,0.7062937062937062,0.2937062937062937,50,152,84,0.98,0.9013157894736842,0.392,0.8509316770186336
0.3105263157894737,0.9348679999999999,0.6993006993006993,0.3006993006993007,50,150,86,0.98,0.9066666666666666,0.392,0.84472049689441
0.2631578947368421,0.9348679999999999,0.6923076923076923,0.3076923076923077,50,148,88,0.98,0.9054054054054054,0.392,0.8322981366459627
0.2868421052631579,0.9348679999999999,0.6923076923076923,0.3076923076923077,50,148,88,0.98,0.9054054054054054,0.392,0.8322981366459627
0.23947368421052634,0.9348679999999999,0.6783216783216783,0.32167832167832167,50,144,92,0.98,0.9027777777777778,0.392,0.8074534161490683
0.21578947368421053,0.9348679999999999,0.6573426573426573,0.34265734265734266,50,138,98,0.98,0.9202898550724637,0.392,0.7888198757763976
0.19210526315789472,0.9348679999999999,0.6293706293706294,0.3706293706293706,50,130,106,0.98,0.9384615384615385,0.392,0.7577639751552795
0.16842105263157897,0.9348679999999999,0.6153846153846154,0.38461538461538464,50,126,110,0.98,0.9444444444444444,0.392,0.7391304347826086
0.14473684210526316,0.9348679999999999,0.6083916083916084,0.3916083916083916,50,124,112,0.98,0.9435483870967742,0.392,0.7267080745341615
0.12105263157894737,0.9348679999999999,0.5804195804195804,0.4195804195804196,50,116,120,0.98,0.9568965517241379,0.392,0.6894409937888198
0.09736842105263158,0.9348679999999999,0.5454545454545454,0.45454545454545453,50,106,130,0.98,0.9622641509433962,0.392,0.6335403726708074
0.0736842105263158,0.9348679999999999,0.4755244755244755,0.5244755244755245,50,86,150,0.98,0.9651162790697675,0.392,0.515527950310559
0.05,0.9348679999999999,0.34965034965034963,0.6503496503496503,50,50,186,0.98,0.96,0.392,0.2981366459627329
0.5,0.942434,0.7237762237762237,0.2762237762237762,43,164,79,0.9767441860465116,0.8780487804878049,0.336,0.8944099378881988
0.45263157894736844,0.942434,0.7167832167832168,0.28321678321678323,43,162,81,0.9767441860465116,0.8765432098765432,0.336,0.8819875776397516
0.4763157894736842,0.942434,0.7167832167832168,0.28321678321678323,43,162,81,0.9767441860465116,0.8765432098765432,0.336,0.8819875776397516
0.4052631578947368,0.942434,0.7097902097902098,0.2902097902097902,43,160,83,0.9767441860465116,0.88125,0.336,0.8757763975155279
0.42894736842105263,0.942434,0.7097902097902098,0.2902097902097902,43,160,83,0.9767441860465116,0.88125,0.336,0.8757763975155279
0.3815789473684211,0.942434,0.6958041958041958,0.3041958041958042,43,156,87,0.9767441860465116,0.8910256410256411,0.336,0.8633540372670807
0.35789473684210527,0.942434,0.6923076923076923,0.3076923076923077,43,155,88,0.9767441860465116,0.896774193548387,0.336,0.8633540372670807
0.33421052631578946,0.942434,0.6818181818181818,0.3181818181818182,43,152,91,0.9767441860465116,0.9013157894736842,0.336,0.8509316770186336
0.3105263157894737,0.942434,0.6748251748251748,0.32517482517482516,43,150,93,0.9767441860465116,0.9066666666666666,0.336,0.84472049689441
0.2631578947368421,0.942434,0.6678321678321678,0.3321678321678322,43,148,95,0.9767441860465116,0.9054054054054054,0.336,0.8322981366459627
0.2868421052631579,0.942434,0.6678321678321678,0.3321678321678322,43,148,95,0.9767441860465116,0.9054054054054054,0.336,0.8322981366459627
0.23947368421052634,0.942434,0.6538461538461539,0.34615384615384615,43,144,99,0.9767441860465116,0.9027777777777778,0.336,0.8074534161490683
0.21578947368421053,0.942434,0.6328671328671329,0.36713286713286714,43,138,105,0.9767441860465116,0.9202898550724637,0.336,0.7888198757763976
0.19210526315789472,0.942434,0.6048951048951049,0.3951048951048951,43,130,113,0.9767441860465116,0.9384615384615385,0.336,0.7577639751552795
0.16842105263157897,0.942434,0.5909090909090909,0.4090909090909091,43,126,117,0.9767441860465116,0.9444444444444444,0.336,0.7391304347826086
0.14473684210526316,0.942434,0.583916083916084,0.4160839160839161,43,124,119,0.9767441860465116,0.9435483870967742,0.336,0.7267080745341615
0.12105263157894737,0.942434,0.5559440559440559,0.44405594405594406,43,116,127,0.9767441860465116,0.9568965517241379,0.336,0.6894409937888198
0.09736842105263158,0.942434,0.5209790209790209,0.479020979020979,43,106,137,0.9767441860465116,0.9622641509433962,0.336,0.6335403726708074
0.0736842105263158,0.942434,0.45104895104895104,0.548951048951049,43,86,157,0.9767441860465116,0.9651162790697675,0.336,0.515527950310559
0.05,0.942434,0.32517482517482516,0.6748251748251748,43,50,193,0.9767441860465116,0.96,0.336,0.2981366459627329
0.5,0.881906,0.8356643356643356,0.16433566433566432,75,164,47,0.9733333333333334,0.8780487804878049,0.584,0.8944099378881988
0.45263157894736844,0.881906,0.8286713286713286,0.17132867132867133,75,162,49,0.9733333333333334,0.8765432098765432,0.584,0.8819875776397516
0.4763157894736842,0.881906,0.8286713286713286,0.17132867132867133,75,162,49,0.9733333333333334,0.8765432098765432,0.584,0.8819875776397516
0.4052631578947368,0.881906,0.8216783216783217,0.17832167832167833,75,160,51,0.9733333333333334,0.88125,0.584,0.8757763975155279
0.42894736842105263,0.881906,0.8216783216783217,0.17832167832167833,75,160,51,0.9733333333333334,0.88125,0.584,0.8757763975155279
0.3815789473684211,0.881906,0.8076923076923077,0.19230769230769232,75,156,55,0.9733333333333334,0.8910256410256411,0.584,0.8633540372670807
0.35789473684210527,0.881906,0.8041958041958042,0.1958041958041958,75,155,56,0.9733333333333334,0.896774193548387,0.584,0.8633540372670807
0.33421052631578946,0.881906,0.7937062937062938,0.2062937062937063,75,152,59,0.9733333333333334,0.9013157894736842,0.584,0.8509316770186336
0.3105263157894737,0.881906,0.7867132867132867,0.21328671328671328,75,150,61,0.9733333333333334,0.9066666666666666,0.584,0.84472049689441
0.2631578947368421,0.881906,0.7797202797202797,0.2202797202797203,75,148,63,0.9733333333333334,0.9054054054054054,0.584,0.8322981366459627
0.2868421052631579,0.881906,0.7797202797202797,0.2202797202797203,75,148,63,0.9733333333333334,0.9054054054054054,0.584,0.8322981366459627
0.23947368421052634,0.881906,0.7657342657342657,0.23426573426573427,75,144,67,0.9733333333333334,0.9027777777777778,0.584,0.8074534161490683
0.21578947368421053,0.881906,0.7447552447552448,0.25524475524475526,75,138,73,0.9733333333333334,0.9202898550724637,0.584,0.7888198757763976
0.19210526315789472,0.881906,0.7167832167832168,0.28321678321678323,75,130,81,0.9733333333333334,0.9384615384615385,0.584,0.7577639751552795
0.16842105263157897,0.881906,0.7027972027972028,0.2972027972027972,75,126,85,0.9733333333333334,0.9444444444444444,0.584,0.7391304347826086
0.14473684210526316,0.881906,0.6958041958041958,0.3041958041958042,75,124,87,0.9733333333333334,0.9435483870967742,0.584,0.7267080745341615
0.12105263157894737,0.881906,0.6678321678321678,0.3321678321678322,75,116,95,0.9733333333333334,0.9568965517241379,0.584,0.6894409937888198
0.09736842105263158,0.881906,0.6328671328671329,0.36713286713286714,75,106,105,0.9733333333333334,0.9622641509433962,0.584,0.6335403726708074
0.0736842105263158,0.881906,0.5629370629370629,0.4370629370629371,75,86,125,0.9733333333333334,0.9651162790697675,0.584,0.515527950310559
0.05,0.881906,0.4370629370629371,0.5629370629370629,75,50,161,0.9733333333333334,0.96,0.584,0.2981366459627329
0.5,0.889472,0.8286713286713286,0.17132867132867133,73,164,49,0.9726027397260274,0.8780487804878049,0.568,0.8944099378881988
0.45263157894736844,0.889472,0.8216783216783217,0.17832167832167833,73,162,51,0.9726027397260274,0.8765432098765432,0.568,0.8819875776397516
0.4763157894736842,0.889472,0.8216783216783217,0.17832167832167833,73,162,51,0.9726027397260274,0.8765432098765432,0.568,0.8819875776397516
0.4052631578947368,0.889472,0.8146853146853147,0.1853146853146853,73,160,53,0.9726027397260274,0.88125,0.568,0.8757763975155279
0.42894736842105263,0.889472,0.8146853146853147,0.1853146853146853,73,160,53,0.9726027397260274,0.88125,0.568,0.8757763975155279
0.3815789473684211,0.889472,0.8006993006993007,0.1993006993006993,73,156,57,0.9726027397260274,0.8910256410256411,0.568,0.8633540372670807
0.35789473684210527,0.889472,0.7972027972027972,0.20279720279720279,73,155,58,0.9726027397260274,0.896774193548387,0.568,0.8633540372670807
0.33421052631578946,0.889472,0.7867132867132867,0.21328671328671328,73,152,61,0.9726027397260274,0.9013157894736842,0.568,0.8509316770186336
0.3105263157894737,0.889472,0.7797202797202797,0.2202797202797203,73,150,63,0.9726027397260274,0.9066666666666666,0.568,0.84472049689441
0.2631578947368421,0.889472,0.7727272727272727,0.22727272727272727,73,148,65,0.9726027397260274,0.9054054054054054,0.568,0.8322981366459627
0.2868421052631579,0.889472,0.7727272727272727,0.22727272727272727,73,148,65,0.9726027397260274,0.9054054054054054,0.568,0.8322981366459627
0.23947368421052634,0.889472,0.7587412587412588,0.24125874125874125,73,144,69,0.9726027397260274,0.9027777777777778,0.568,0.8074534161490683
0.21578947368421053,0.889472,0.7377622377622378,0.26223776223776224,73,138,75,0.9726027397260274,0.9202898550724637,0.568,0.7888198757763976
0.19210526315789472,0.889472,0.7097902097902098,0.2902097902097902,73,130,83,0.9726027397260274,0.9384615384615385,0.568,0.7577639751552795
0.16842105263157897,0.889472,0.6958041958041958,0.3041958041958042,73,126,87,0.9726027397260274,0.9444444444444444,0.568,0.7391304347826086
0.14473684210526316,0.889472,0.6888111888111889,0.3111888111888112,73,124,89,0.9726027397260274,0.9435483870967742,0.568,0.7267080745341615
0.12105263157894737,0.889472,0.6608391608391608,0.33916083916083917,73,116,97,0.9726027397260274,0.9568965517241379,0.568,0.6894409937888198
