mode,route,variant,domain,feature,optional_self_report,mapping_layer
caregiver,A,direct_basic,adhd,age_years,no,no
caregiver,A,direct_basic,adhd,cbcl_aggressive_behavior_proxy,no,no
caregiver,A,direct_basic,adhd,cbcl_anxious_depressed_proxy,no,no
caregiver,A,direct_basic,adhd,cbcl_attention_problems_proxy,no,no
caregiver,A,direct_basic,adhd,cbcl_externalizing_proxy,no,no
caregiver,A,direct_basic,adhd,cbcl_internalizing_proxy,no,no
caregiver,A,direct_basic,adhd,cbcl_rule_breaking_proxy,no,no
caregiver,A,direct_basic,adhd,has_cbcl,no,no
caregiver,A,direct_basic,adhd,has_conners,no,no
caregiver,A,direct_basic,adhd,has_swan,no,no
caregiver,A,direct_basic,adhd,release,no,no
caregiver,A,direct_basic,adhd,sdq_conduct_problems,no,no
caregiver,A,direct_basic,adhd,sdq_emotional_symptoms,no,no
caregiver,A,direct_basic,adhd,sdq_hyperactivity_inattention,no,no
caregiver,A,direct_basic,adhd,sdq_impact,no,no
caregiver,A,direct_basic,adhd,sdq_peer_problems,no,no
caregiver,A,direct_basic,adhd,sdq_prosocial_behavior,no,no
caregiver,A,direct_basic,adhd,sdq_total_difficulties,no,no
caregiver,A,direct_basic,adhd,sex_assigned_at_birth,no,no
caregiver,A,direct_basic,adhd,site,no,no
caregiver,A,direct_basic,adhd,swan_hyperactive_impulsive_total,no,no
caregiver,A,direct_basic,adhd,swan_inattention_total,no,no
caregiver,A,direct_basic,adhd,swan_total,no,no
caregiver,A,direct_basic,conduct,age_years,no,no
caregiver,A,direct_basic,conduct,ari_p_symptom_total,no,no
caregiver,A,direct_basic,conduct,cbcl_aggressive_behavior_proxy,no,no
caregiver,A,direct_basic,conduct,cbcl_anxious_depressed_proxy,no,no
caregiver,A,direct_basic,conduct,cbcl_attention_problems_proxy,no,no
caregiver,A,direct_basic,conduct,cbcl_externalizing_proxy,no,no
caregiver,A,direct_basic,conduct,cbcl_internalizing_proxy,no,no
caregiver,A,direct_basic,conduct,cbcl_rule_breaking_proxy,no,no
caregiver,A,direct_basic,conduct,has_ari_p,no,no
caregiver,A,direct_basic,conduct,has_ari_sr,no,no
caregiver,A,direct_basic,conduct,has_cbcl,no,no
caregiver,A,direct_basic,conduct,has_icut,no,no
caregiver,A,direct_basic,conduct,icut_total,no,no
caregiver,A,direct_basic,conduct,release,no,no
caregiver,A,direct_basic,conduct,sdq_conduct_problems,no,no
caregiver,A,direct_basic,conduct,sdq_emotional_symptoms,no,no
caregiver,A,direct_basic,conduct,sdq_hyperactivity_inattention,no,no
caregiver,A,direct_basic,conduct,sdq_impact,no,no
caregiver,A,direct_basic,conduct,sdq_total_difficulties,no,no
caregiver,A,direct_basic,conduct,sex_assigned_at_birth,no,no
caregiver,A,direct_basic,conduct,site,no,no
caregiver,A,direct_basic,elimination,age_years,no,no
caregiver,A,direct_basic,elimination,cbcl_aggressive_behavior_proxy,no,no
caregiver,A,direct_basic,elimination,cbcl_anxious_depressed_proxy,no,no
caregiver,A,direct_basic,elimination,cbcl_attention_problems_proxy,no,no
caregiver,A,direct_basic,elimination,cbcl_externalizing_proxy,no,no
caregiver,A,direct_basic,elimination,cbcl_internalizing_proxy,no,no
caregiver,A,direct_basic,elimination,cbcl_rule_breaking_proxy,no,no
caregiver,A,direct_basic,elimination,has_cbcl,no,no
caregiver,A,direct_basic,elimination,release,no,no
caregiver,A,direct_basic,elimination,sdq_conduct_problems,no,no
caregiver,A,direct_basic,elimination,sdq_emotional_symptoms,no,no
caregiver,A,direct_basic,elimination,sdq_hyperactivity_inattention,no,no
caregiver,A,direct_basic,elimination,sdq_impact,no,no
caregiver,A,direct_basic,elimination,sdq_total_difficulties,no,no
caregiver,A,direct_basic,elimination,sex_assigned_at_birth,no,no
caregiver,A,direct_basic,elimination,site,no,no
caregiver,A,direct_basic,anxiety,age_years,no,no
caregiver,A,direct_basic,anxiety,cbcl_025,no,no
caregiver,A,direct_basic,anxiety,cbcl_057,no,no
caregiver,A,direct_basic,anxiety,cbcl_058,no,no
caregiver,A,direct_basic,anxiety,cbcl_060,no,no
caregiver,A,direct_basic,anxiety,cbcl_061,no,no
caregiver,A,direct_basic,anxiety,cbcl_062,no,no
caregiver,A,direct_basic,anxiety,cbcl_063,no,no
caregiver,A,direct_basic,anxiety,cbcl_064,no,no
caregiver,A,direct_basic,anxiety,cbcl_065,no,no
caregiver,A,direct_basic,anxiety,cbcl_066,no,no
caregiver,A,direct_basic,anxiety,cbcl_070,no,no
caregiver,A,direct_basic,anxiety,cbcl_aggressive_behavior_proxy,no,no
caregiver,A,direct_basic,anxiety,cbcl_anxious_depressed_proxy,no,no
caregiver,A,direct_basic,anxiety,cbcl_attention_problems_proxy,no,no
caregiver,A,direct_basic,anxiety,cbcl_externalizing_proxy,no,no
caregiver,A,direct_basic,anxiety,cbcl_internalizing_proxy,no,no
caregiver,A,direct_basic,anxiety,cbcl_rule_breaking_proxy,no,no
caregiver,A,direct_basic,anxiety,has_cbcl,no,no
caregiver,A,direct_basic,anxiety,has_scared_p,no,no
caregiver,A,direct_basic,anxiety,release,no,no
caregiver,A,direct_basic,anxiety,scared_p_generalized_anxiety,no,no
caregiver,A,direct_basic,anxiety,scared_p_panic_somatic,no,no
caregiver,A,direct_basic,anxiety,scared_p_possible_anxiety_disorder_cut25,no,no
caregiver,A,direct_basic,anxiety,scared_p_school_avoidance,no,no
caregiver,A,direct_basic,anxiety,scared_p_separation_anxiety,no,no
caregiver,A,direct_basic,anxiety,scared_p_social_anxiety,no,no
caregiver,A,direct_basic,anxiety,scared_p_total,no,no
caregiver,A,direct_basic,anxiety,sdq_conduct_problems,no,no
caregiver,A,direct_basic,anxiety,sdq_emotional_symptoms,no,no
caregiver,A,direct_basic,anxiety,sdq_hyperactivity_inattention,no,no
caregiver,A,direct_basic,anxiety,sdq_impact,no,no
caregiver,A,direct_basic,anxiety,sdq_peer_problems,no,no
caregiver,A,direct_basic,anxiety,sdq_prosocial_behavior,no,no
caregiver,A,direct_basic,anxiety,sdq_total_difficulties,no,no
caregiver,A,direct_basic,anxiety,sex_assigned_at_birth,no,no
caregiver,A,direct_basic,anxiety,site,no,no
caregiver,A,direct_basic,depression,age_years,no,no
caregiver,A,direct_basic,depression,cbcl_aggressive_behavior_proxy,no,no
caregiver,A,direct_basic,depression,cbcl_anxious_depressed_proxy,no,no
caregiver,A,direct_basic,depression,cbcl_attention_problems_proxy,no,no
caregiver,A,direct_basic,depression,cbcl_externalizing_proxy,no,no
caregiver,A,direct_basic,depression,cbcl_internalizing_proxy,no,no
caregiver,A,direct_basic,depression,cbcl_rule_breaking_proxy,no,no
caregiver,A,direct_basic,depression,has_cbcl,no,no
caregiver,A,direct_basic,depression,mfq_p_total,no,no
caregiver,A,direct_basic,depression,sdq_conduct_problems,no,no
caregiver,A,direct_basic,depression,sdq_emotional_symptoms,no,no
caregiver,A,direct_basic,depression,sdq_hyperactivity_inattention,no,no
caregiver,A,direct_basic,depression,sdq_impact,no,no
caregiver,A,direct_basic,depression,sdq_peer_problems,no,no
caregiver,A,direct_basic,depression,sdq_prosocial_behavior,no,no
caregiver,A,direct_basic,depression,sdq_total_difficulties,no,no
caregiver,A,direct_basic,depression,sex_assigned_at_birth,no,no
caregiver,B,intermediate_mapping,adhd,age_years,no,yes
caregiver,B,intermediate_mapping,adhd,sex_assigned_at_birth,no,yes
caregiver,B,intermediate_mapping,adhd,site,no,yes
caregiver,B,intermediate_mapping,adhd,release,no,yes
caregiver,B,intermediate_mapping,adhd,has_swan,no,yes
caregiver,B,intermediate_mapping,adhd,swan_hyperactive_impulsive_total,no,yes
caregiver,B,intermediate_mapping,adhd,swan_inattention_total,no,yes
caregiver,B,intermediate_mapping,adhd,swan_total,no,yes
caregiver,B,intermediate_mapping,adhd,has_conners,no,yes
caregiver,B,intermediate_mapping,adhd,conners_cognitive_problems,no,yes
caregiver,B,intermediate_mapping,adhd,conners_conduct_problems,no,yes
caregiver,B,intermediate_mapping,adhd,conners_hyperactivity,no,yes
caregiver,B,intermediate_mapping,adhd,conners_total,no,yes
caregiver,B,intermediate_mapping,adhd,has_cbcl,no,yes
caregiver,B,intermediate_mapping,adhd,cbcl_aggressive_behavior_proxy,no,yes
caregiver,B,intermediate_mapping,adhd,cbcl_anxious_depressed_proxy,no,yes
caregiver,B,intermediate_mapping,adhd,cbcl_attention_problems_proxy,no,yes
caregiver,B,intermediate_mapping,adhd,cbcl_externalizing_proxy,no,yes
caregiver,B,intermediate_mapping,adhd,cbcl_internalizing_proxy,no,yes
caregiver,B,intermediate_mapping,adhd,cbcl_rule_breaking_proxy,no,yes
caregiver,B,intermediate_mapping,adhd,has_sdq,no,yes
caregiver,B,intermediate_mapping,adhd,sdq_conduct_problems,no,yes
caregiver,B,intermediate_mapping,adhd,sdq_emotional_symptoms,no,yes
caregiver,B,intermediate_mapping,adhd,sdq_hyperactivity_inattention,no,yes
caregiver,B,intermediate_mapping,adhd,sdq_impact,no,yes
caregiver,B,intermediate_mapping,adhd,sdq_peer_problems,no,yes
caregiver,B,intermediate_mapping,adhd,sdq_prosocial_behavior,no,yes
caregiver,B,intermediate_mapping,adhd,sdq_total_difficulties,no,yes
caregiver,B,intermediate_mapping,adhd,has_ysr,no,yes
caregiver,B,intermediate_mapping,adhd,ysr_aggressive_behavior_proxy,no,yes
caregiver,B,intermediate_mapping,adhd,ysr_anxious_depressed_proxy,no,yes
caregiver,B,intermediate_mapping,adhd,ysr_attention_problems_proxy,no,yes
caregiver,B,intermediate_mapping,adhd,ysr_externalizing_proxy,no,yes
caregiver,B,intermediate_mapping,adhd,ysr_internalizing_proxy,no,yes
caregiver,B,intermediate_mapping,adhd,ysr_rule_breaking_proxy,no,yes
caregiver,B,intermediate_mapping,conduct,age_years,no,yes
caregiver,B,intermediate_mapping,conduct,sex_assigned_at_birth,no,yes
caregiver,B,intermediate_mapping,conduct,site,no,yes
caregiver,B,intermediate_mapping,conduct,release,no,yes
caregiver,B,intermediate_mapping,conduct,has_icut,no,yes
caregiver,B,intermediate_mapping,conduct,icut_total,no,yes
caregiver,B,intermediate_mapping,conduct,has_ari_p,no,yes
caregiver,B,intermediate_mapping,conduct,ari_p_symptom_total,no,yes
caregiver,B,intermediate_mapping,conduct,has_ari_sr,no,yes
caregiver,B,intermediate_mapping,conduct,ari_sr_symptom_total,no,yes
caregiver,B,intermediate_mapping,conduct,has_cbcl,no,yes
caregiver,B,intermediate_mapping,conduct,cbcl_aggressive_behavior_proxy,no,yes
caregiver,B,intermediate_mapping,conduct,cbcl_anxious_depressed_proxy,no,yes
caregiver,B,intermediate_mapping,conduct,cbcl_attention_problems_proxy,no,yes
caregiver,B,intermediate_mapping,conduct,cbcl_externalizing_proxy,no,yes
caregiver,B,intermediate_mapping,conduct,cbcl_internalizing_proxy,no,yes
caregiver,B,intermediate_mapping,conduct,cbcl_rule_breaking_proxy,no,yes
caregiver,B,intermediate_mapping,conduct,has_sdq,no,yes
