domain,mode,role,active_model_id,source_campaign,model_family,feature_set_id,config_id,calibration,threshold_policy,threshold,seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,feature_list_pipe,source_file,guard_ok,blacklisted_exact_id,non_degenerate,fallback_accepted_candidate,fallback_rejection_reason
adhd,caregiver_1_3,caregiver,adhd__caregiver_1_3__rebuild_v2__rf__engineered_full,rebuild_v2,rf,engineered_full,rf_regularized,isotonic,default_0_5,0.5,20261119,58.0,0.6212121212121212,0.8723404255319149,0.8704663212435233,0.8714033733877191,0.7256637168141593,0.9276402822180576,0.6319179403335605,0.0868278728044155,,data\hybrid_active_modes_freeze_v1\tables\hybrid_active_models_30_modes.csv,True,True,True,no,blacklisted_exact_id
adhd,caregiver_2_3,caregiver,adhd__caregiver_2_3__rebuild_v2__rf__engineered_compact,rebuild_v2,rf,engineered_compact,rf_regularized,isotonic,default_0_5,0.5,20261101,43.0,0.7017543859649122,0.851063829787234,0.911917098445596,0.881490464116415,0.7692307692307693,0.9492613824275162,0.7044217957677258,0.072567246649348,,data\hybrid_active_modes_freeze_v1\tables\hybrid_active_models_30_modes.csv,True,True,True,no,blacklisted_exact_id
adhd,psychologist_1_3,psychologist,adhd__psychologist_1_3__rebuild_v2__rf__engineered_compact,rebuild_v2,rf,engineered_compact,rf_balanced_subsample,isotonic,balanced,0.18,20261101,30.0,0.6148148148148148,0.8829787234042553,0.8652849740932642,0.8741318487487597,0.7248908296943232,0.9259453202513506,0.6375451264670481,0.0841732751976726,,data\hybrid_active_modes_freeze_v1\tables\hybrid_active_models_30_modes.csv,True,True,True,no,blacklisted_exact_id
adhd,psychologist_2_3,psychologist,adhd__psychologist_2_3__rebuild_v2__rf__engineered_pruned,rebuild_v2,rf,engineered_pruned,rf_regularized,isotonic,precision_min_recall,0.5049999999999999,20261101,70.0,0.7289719626168224,0.8297872340425532,0.9248704663212436,0.8773288501818983,0.7761194029850746,0.9539604233270864,0.7337389775224177,0.0680043361765456,,data\hybrid_active_modes_freeze_v1\tables\hybrid_active_models_30_modes.csv,True,True,True,no,blacklisted_exact_id
anxiety,psychologist_1_3,psychologist,anxiety__psychologist_1_3__rebuild_v2__rf__engineered_full,rebuild_v2,rf,engineered_full,rf_precision_push,isotonic,precision_min_recall,0.61,20261119,69.0,0.953846153846154,0.7209302325581395,0.9923857868020304,0.856658009680085,0.8211920529801324,0.9836058316609608,0.9167286511795306,0.0355709159204354,,data\hybrid_active_modes_freeze_v1\tables\hybrid_active_models_30_modes.csv,False,False,True,no,guard_violation
anxiety,psychologist_full,psychologist,anxiety__psychologist_full__rebuild_v2__rf__precision_oriented_subset,rebuild_v2,rf,precision_oriented_subset,rf_precision_push,isotonic,default_0_5,0.5,20261101,61.0,0.9156626506024096,0.8837209302325582,0.9822335025380712,0.9329772163853146,0.8994082840236687,0.9911610199504192,0.9442183163908962,0.026760853373639,,data\hybrid_active_modes_freeze_v1\tables\hybrid_active_models_30_modes.csv,False,False,True,no,guard_violation
conduct,caregiver_2_3,caregiver,conduct__caregiver_2_3__rebuild_v2__rf__engineered_compact,rebuild_v2,rf,engineered_compact,rf_baseline,isotonic,recall_constrained,0.5049999999999999,20261119,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012744324646449,,data\hybrid_active_modes_freeze_v1\tables\hybrid_active_models_30_modes.csv,False,False,True,no,guard_violation
depression,caregiver_1_3,caregiver,depression__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,rebuild_v2,rf,precision_oriented_subset,rf_baseline,none,recall_constrained,0.5299999999999999,20261101,20.0,0.8059701492537313,0.6585365853658537,0.9673366834170856,0.8129366343914696,0.7248322147651006,0.958282264983454,0.764765007527117,0.0600670985657974,,data\hybrid_active_modes_freeze_v1\tables\hybrid_active_models_30_modes.csv,True,True,True,no,blacklisted_exact_id
depression,caregiver_2_3,caregiver,depression__caregiver_2_3__rebuild_v2__rf__full_eligible,rebuild_v2,rf,full_eligible,rf_precision_push,isotonic,recall_constrained,0.2149999999999999,20261119,98.0,0.8313253012048193,0.8414634146341463,0.964824120603015,0.9031437676185808,0.8363636363636363,0.9573630346856232,0.8434143874736915,0.0454553863622029,,data\hybrid_active_modes_freeze_v1\tables\hybrid_active_models_30_modes.csv,True,False,True,yes,none
depression,psychologist_1_3,psychologist,depression__psychologist_1_3__rebuild_v2__rf__stability_pruned_subset,rebuild_v2,rf,stability_pruned_subset,rf_baseline,isotonic,default_0_5,0.5,20261101,30.0,0.7974683544303798,0.7682926829268293,0.9597989949748744,0.8640458389508519,0.782608695652174,0.9483852187768108,0.7681311253035743,0.0565304346753685,,data\hybrid_active_modes_freeze_v1\tables\hybrid_active_models_30_modes.csv,True,True,True,no,blacklisted_exact_id
depression,psychologist_2_3,psychologist,depression__psychologist_2_3__rebuild_v2__rf__full_eligible,rebuild_v2,rf,full_eligible,rf_pos_weight_mid,isotonic,recall_constrained,0.5049999999999999,20261101,102.0,0.8271604938271605,0.8170731707317073,0.964824120603015,0.8909486456673612,0.8220858895705522,0.9556777791396004,0.8330408560571644,0.0479028069363223,,data\hybrid_active_modes_freeze_v1\tables\hybrid_active_models_30_modes.csv,True,False,True,yes,none
elimination,caregiver_1_3,caregiver,elimination__caregiver_1_3__boosted_v3__extra_trees__boosted_eng_full,boosted_v3,extra_trees,boosted_eng_full,cfg_ca676b3869,none,balanced,0.4399999999999999,20270413,67.0,0.8679245283018868,0.9019607843137256,0.9836829836829836,0.9428218839983546,0.8846153846153846,0.9967777320718496,0.9700376570280697,0.0204136197916666,,data\hybrid_active_modes_freeze_v1\tables\hybrid_active_models_30_modes.csv,False,False,True,no,guard_violation
elimination,caregiver_2_3,caregiver,elimination__caregiver_2_3__rebuild_v2__rf__engineered_compact,rebuild_v2,rf,engineered_compact,rf_recall_guard,isotonic,balanced,0.2049999999999999,20261101,43.0,0.925925925925926,0.9615384615384616,0.9906542056074766,0.9760963335729692,0.9433962264150944,0.9970794392523366,0.955947602524266,0.010039232809337,,data\hybrid_active_modes_freeze_v1\tables\hybrid_active_models_30_modes.csv,False,False,True,no,guard_violation
elimination,caregiver_full,caregiver,elimination__caregiver_full__rebuild_v2__rf__engineered_compact,rebuild_v2,rf,engineered_compact,rf_baseline,isotonic,precision_min_recall,0.5049999999999999,20261101,53.0,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.997214234363767,0.9582613967229352,0.0081337265474628,,data\hybrid_active_modes_freeze_v1\tables\hybrid_active_models_30_modes.csv,False,False,True,no,guard_violation
elimination,psychologist_1_3,psychologist,elimination__psychologist_1_3__boosted_v3__extra_trees__boosted_eng_full,boosted_v3,extra_trees,boosted_eng_full,cfg_ca676b3869,none,balanced,0.4299999999999999,20270413,78.0,0.9019607843137256,0.9019607843137256,0.9883449883449884,0.9451528863293568,0.9019607843137256,0.9965720553955848,0.9724347146967124,0.0210442838541666,,data\hybrid_active_modes_freeze_v1\tables\hybrid_active_models_30_modes.csv,False,False,True,no,guard_violation
elimination,psychologist_2_3,psychologist,elimination__psychologist_2_3__rebuild_v2__rf__engineered_pruned,rebuild_v2,rf,engineered_pruned,rf_recall_guard,isotonic,precision_min_recall,0.5049999999999999,20261101,70.0,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.997191768511862,0.957704540598432,0.0082233824203011,,data\hybrid_active_modes_freeze_v1\tables\hybrid_active_models_30_modes.csv,False,False,True,no,guard_violation
elimination,psychologist_full,psychologist,elimination__psychologist_full__rebuild_v2__rf__engineered_compact,rebuild_v2,rf,engineered_compact,rf_baseline,isotonic,precision_min_recall,0.5049999999999999,20261101,62.0,0.9433962264150944,0.9615384615384616,0.9929906542056076,0.9772645578720344,0.9523809523809524,0.998090402588066,0.9734743104312084,0.009137193084548,,data\hybrid_active_modes_freeze_v1\tables\hybrid_active_models_30_modes.csv,False,False,True,no,guard_violation
adhd,caregiver_1_3,caregiver,adhd__caregiver_1_3__rebuild_v2__rf__engineered_full,rebuild_v2,rf,engineered_full,rf_regularized,isotonic,default_0_5,0.5,20261119,58.0,0.6212121212121212,0.8723404255319149,0.8704663212435233,0.8714033733877191,0.7256637168141593,0.9276402822180576,0.6319179403335605,0.0868278728044155,,data\hybrid_active_modes_freeze_v2\tables\hybrid_active_models_30_modes.csv,True,True,True,no,blacklisted_exact_id
adhd,caregiver_2_3,caregiver,adhd__caregiver_2_3__rebuild_v2__rf__engineered_compact,rebuild_v2,rf,engineered_compact,rf_regularized,isotonic,default_0_5,0.5,20261101,43.0,0.7017543859649122,0.851063829787234,0.911917098445596,0.881490464116415,0.7692307692307693,0.9492613824275162,0.7044217957677258,0.072567246649348,,data\hybrid_active_modes_freeze_v2\tables\hybrid_active_models_30_modes.csv,True,True,True,no,blacklisted_exact_id
adhd,psychologist_1_3,psychologist,adhd__psychologist_1_3__rebuild_v2__rf__engineered_compact,rebuild_v2,rf,engineered_compact,rf_balanced_subsample,isotonic,balanced,0.18,20261101,30.0,0.6148148148148148,0.8829787234042553,0.8652849740932642,0.8741318487487597,0.7248908296943232,0.9259453202513506,0.6375451264670481,0.0841732751976726,,data\hybrid_active_modes_freeze_v2\tables\hybrid_active_models_30_modes.csv,True,True,True,no,blacklisted_exact_id
