trial_id,honest_score,has_critical_leakage,suspicious_perfect_score,test_balanced_accuracy,test_precision,test_recall,seed_std_balacc,split_std_balacc,noise_moderate_drop_balacc,realism_worst_drop_balacc,preliminary_decision
T02_drop_high_risk_semantic_proxies,115.19756731896872,False,False,0.8872049689440994,0.9056603773584906,0.8944099378881988,0.0017141456819613624,0.011611037763040382,0.010211180124223618,0.008000000000000007,candidate_honest
T03_drop_high_plus_critical_proxies,114.8644583830255,False,False,0.881416149068323,0.8902439024390244,0.906832298136646,0.004391967585009594,0.009633096961005165,0.0022111801242236107,0.016894409937888266,candidate_honest
T12_best_combined_honest_candidate,114.70476541468219,False,False,0.8672546583850932,0.9121621621621622,0.8385093167701864,0.002927978390006414,0.0166937459886558,-0.0004720496894409232,0.006211180124223614,candidate_honest
T07_missingness_augmented_honest_run,114.1800672373884,False,False,0.8876273291925465,0.891566265060241,0.9192546583850931,0.004544448845732608,0.0078059969773531124,0.01552795031055898,0.015105590062111762,candidate_honest
T06_stability_first_rf,113.63972050686195,False,False,0.8672546583850932,0.9121621621621622,0.8385093167701864,0.004592548805262484,0.018801605081445044,-0.0097888198757764,0.009316770186335366,candidate_honest
T09_calibrated_run,113.58632404517057,False,False,0.8903105590062113,0.90625,0.9006211180124224,0.006724627482169506,0.009435173099430977,0.012422360248447228,0.016894409937888266,candidate_honest
T04_strict_semantic_minimal,113.05046387222582,False,False,0.8592546583850932,0.9,0.8385093167701864,0.0018539999857531497,0.012555171336347497,0.012422360248447228,0.019105590062111877,candidate_honest
T05_compact_low_complexity_rf,78.94055944055944,False,True,0.5,0.5629370629370629,1.0,0.0,0.0,0.0,0.0,perfect_score_blocked
T10_thesis_defensible_candidate,78.94055944055944,False,True,0.5,0.5629370629370629,1.0,0.0,0.0,0.0,0.0,perfect_score_blocked
T08_threshold_conservative_run,65.79081853256315,False,True,0.7608695652173914,1.0,0.5217391304347826,0.006708841302699679,0.025734581562434855,0.052795031055900665,0.04658385093167705,perfect_score_blocked
T11_ultra_strict_candidate,65.40257090834812,False,True,0.8509316770186335,1.0,0.7018633540372671,0.01276276191090883,0.024628110255425075,0.07100621118012418,0.04037267080745344,perfect_score_blocked
T01_baseline_replay_controlado,29.242171129097002,True,True,0.9928944099378882,0.9937888198757764,0.9937888198757764,0.0029084952154501673,0.0018856180831641283,0.03016149068322993,0.03637267080745343,perfect_score_blocked
