trial_id,calibration_method,brier_val,brier_test
T01_baseline_replay_controlado,none,0.016108937558055262,0.02674205484436493
T02_drop_high_risk_semantic_proxies,none,0.0847007898460875,0.09305066515437646
T03_drop_high_plus_critical_proxies,none,0.08643329333300435,0.0966597042998342
T04_strict_semantic_minimal,none,0.09307038786751587,0.10866391631459114
T05_compact_low_complexity_rf,none,0.24952145477248427,0.25070273362885326
T06_stability_first_rf,none,0.08413222910301531,0.09371376806360916
T07_missingness_augmented_honest_run,none,0.08506256420576638,0.09212218119109832
T08_threshold_conservative_run,none,0.08308920818058367,0.08954503655511653
T09_calibrated_run,sigmoid,0.07997943370719521,0.08550393053139217
T10_thesis_defensible_candidate,sigmoid,0.24588335130009234,0.24608450072527338
T11_ultra_strict_candidate,sigmoid,0.07734517916455659,0.09072017093946044
T12_best_combined_honest_candidate,sigmoid,0.07860579549915751,0.08921295063545104
