domain,role,mode,v13_active_model_id,v14_active_model_id,active_model_id_changed,v13_threshold,v14_threshold,delta_threshold,v13_f1,v14_f1,delta_f1,v13_recall,v14_recall,delta_recall,v13_precision,v14_precision,delta_precision,v13_balanced_accuracy,v14_balanced_accuracy,delta_balanced_accuracy,v13_brier,v14_brier,delta_brier,feature_list_pipe_unchanged
anxiety,psychologist,psychologist_2_3,anxiety__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.5394416137058918,0.5394416137058918,0.0,0.8372093023255814,0.8372093023255814,0.0,0.8372093023255814,0.8372093023255814,0.0,0.8372093023255814,0.8372093023255814,0.0,0.9008381537008618,0.9008381537008618,0.0,0.1215485431123243,0.1215485431123243,0.0,yes
anxiety,psychologist,psychologist_full,anxiety__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,anxiety__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,0.5279665721525749,0.5279665721525749,0.0,0.7662337662337663,0.7662337662337663,0.0,0.686046511627907,0.686046511627907,0.0,0.8676470588235294,0.8676470588235294,0.0,0.8316019360169992,0.8316019360169992,0.0,0.1582824747037535,0.1582824747037535,0.0,yes
conduct,caregiver,caregiver_1_3,conduct__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,conduct__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.4899999999999999,0.4899999999999999,0.0,0.8902077151335311,0.8902077151335311,0.0,0.9375,0.9375,0.0,0.847457627118644,0.847457627118644,0.0,0.9265625,0.9265625,0.0,0.0578663135437616,0.0578663135437616,0.0,yes
conduct,caregiver,caregiver_2_3,conduct__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,conduct__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,0.5199999999999999,0.5199999999999999,0.0,0.8662790697674418,0.8662790697674418,0.0,0.93125,0.93125,0.0,0.8097826086956522,0.8097826086956522,0.0,0.9109375,0.9109375,0.0,0.1324384607101464,0.1324384607101464,0.0,yes
conduct,caregiver,caregiver_full,conduct__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,conduct__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,0.58,0.58,0.0,0.8765432098765432,0.8765432098765432,0.0,0.8875,0.8875,0.0,0.8658536585365854,0.8658536585365854,0.0,0.909375,0.909375,0.0,0.0622645664290617,0.0622645664290617,0.0,yes
conduct,psychologist,psychologist_1_3,conduct__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,conduct__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.4599999999999999,0.4599999999999999,0.0,0.888235294117647,0.888235294117647,0.0,0.94375,0.94375,0.0,0.8388888888888889,0.8388888888888889,0.0,0.9265625,0.9265625,0.0,0.0589950192283938,0.0589950192283938,0.0,yes
conduct,psychologist,psychologist_2_3,conduct__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,conduct__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,0.59,0.59,0.0,0.8765432098765432,0.8765432098765432,0.0,0.8875,0.8875,0.0,0.8658536585365854,0.8658536585365854,0.0,0.909375,0.909375,0.0,0.0620712742098516,0.0620712742098516,0.0,yes
conduct,psychologist,psychologist_full,conduct__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,conduct__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,0.5399999999999999,0.5399999999999999,0.0,0.8746177370030581,0.8746177370030581,0.0,0.89375,0.89375,0.0,0.8562874251497006,0.8562874251497006,0.0,0.909375,0.909375,0.0,0.062206107554836,0.062206107554836,0.0,yes
depression,caregiver,caregiver_1_3,depression__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,depression__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,0.5399999999999999,0.5399999999999999,0.0,0.8636363636363636,0.8636363636363636,0.0,0.926829268292683,0.926829268292683,0.0,0.8085106382978723,0.8085106382978723,0.0,0.9408015688197084,0.9408015688197084,0.0,0.0517434923300924,0.0517434923300924,0.0,yes
depression,caregiver,caregiver_2_3,depression__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,depression__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,0.5199999999999999,0.5199999999999999,0.0,0.8622754491017964,0.8622754491017964,0.0,0.8780487804878049,0.8780487804878049,0.0,0.8470588235294118,0.8470588235294118,0.0,0.9226927319524452,0.9226927319524452,0.0,0.046501106971563,0.046501106971563,0.0,yes
depression,caregiver,caregiver_full,depression__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,depression__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.4699999999999999,0.4699999999999999,0.0,0.8421052631578947,0.8421052631578947,0.0,0.8780487804878049,0.8780487804878049,0.0,0.8089887640449438,0.8089887640449438,0.0,0.9176676063243044,0.9176676063243044,0.0,0.0415852128828982,0.0415852128828982,0.0,yes
depression,psychologist,psychologist_1_3,depression__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,depression__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,0.4837963640515869,0.4837963640515869,0.0,0.8651685393258427,0.8651685393258427,0.0,0.9390243902439024,0.9390243902439024,0.0,0.8020833333333334,0.8020833333333334,0.0,0.9456428483882828,0.9456428483882828,0.0,0.0466243194907455,0.0466243194907455,0.0,yes
depression,psychologist,psychologist_2_3,depression__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,depression__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,0.57,0.57,0.0,0.8674698795180723,0.8674698795180723,0.0,0.8780487804878049,0.8780487804878049,0.0,0.8571428571428571,0.8571428571428571,0.0,0.9239490133594804,0.9239490133594804,0.0,0.0489051667165241,0.0489051667165241,0.0,yes
depression,psychologist,psychologist_full,depression__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,depression__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.3627106869338548,0.3627106869338548,0.0,0.8342857142857143,0.8342857142857143,0.0,0.8902439024390244,0.8902439024390244,0.0,0.7849462365591398,0.7849462365591398,0.0,0.9199963230788086,0.9199963230788086,0.0,0.0487516434420852,0.0487516434420852,0.0,yes
elimination,caregiver,caregiver_1_3,elimination__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,elimination__caregiver_1_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,yes,0.72,0.7621616091094605,0.04216160910946054,0.8363636363636363,0.8598130841121495,0.023449447748513208,0.8846153846153846,0.8846153846153846,0.0,0.7931034482758621,0.8363636363636363,0.04326018808777421,0.9282890007189072,0.9317936736161034,0.003504672897196248,0.0758135121059582,0.0728182623595568,-0.0029952497464014044,yes
elimination,caregiver,caregiver_2_3,elimination__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,elimination__caregiver_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,yes,0.6799999999999999,0.5601072169221989,-0.11989278307780105,0.8440366972477065,0.8214285714285714,-0.022608125819135072,0.8846153846153846,0.8846153846153846,0.0,0.8070175438596491,0.7666666666666667,-0.04035087719298236,0.9294572250179728,0.9259525521207764,-0.003504672897196359,0.1098923976008507,0.1285448510648098,0.018652453463959107,yes
elimination,caregiver,caregiver_full,elimination__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,elimination__caregiver_full__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,yes,0.84,0.7499999999999999,-0.09000000000000008,0.8403361344537815,0.7128712871287128,-0.1274648473250687,0.9615384615384616,0.6923076923076923,-0.2692307692307693,0.746268656716418,0.7346938775510204,-0.011574779165397509,0.9609094176851186,0.8309669302659957,-0.12994248741912295,0.0365087473997889,0.0294761435733749,-0.007032603826413998,yes
elimination,psychologist,psychologist_1_3,elimination__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,elimination__psychologist_1_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,yes,0.6799999999999999,0.27999999999999997,-0.39999999999999997,0.8333333333333334,0.8264462809917356,-0.00688705234159781,0.9615384615384616,0.9615384615384616,0.0,0.7352941176470589,0.7246376811594203,-0.010656436487638588,0.9597411933860532,0.9585729690869877,-0.00116822429906549,0.0336628807589808,0.03080118047908858,-0.0028617002798922223,yes
elimination,psychologist,psychologist_2_3,elimination__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,elimination__psychologist_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,yes,0.82,0.6599999999999999,-0.16000000000000003,0.847457627118644,0.8333333333333334,-0.01412429378531066,0.9615384615384616,0.9615384615384616,0.0,0.7575757575757576,0.7352941176470589,-0.022281639928698693,0.962077641984184,0.9597411933860532,-0.002336448598130758,0.0351140866578657,0.03625781718024713,0.0011437305223814254,yes
elimination,psychologist,psychologist_full,elimination__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,elimination__psychologist_full__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,yes,0.6799999999999999,0.5249999999999999,-0.15500000000000003,0.8403361344537815,0.8333333333333334,-0.007002801120448154,0.9615384615384616,0.9615384615384616,0.0,0.746268656716418,0.7352941176470589,-0.01097453906935908,0.9609094176851186,0.9597411933860532,-0.001168224299065379,0.0295704570992494,0.029570457099249468,6.938893903907228e-17,yes
