slot_index,mode,role,candidate_key,source_type,source_model_id,config_id,calibration,threshold_policy,threshold,seed,f1,recall,precision,specificity,balanced_accuracy,roc_auc,pr_auc,brier,quality_score,real_clone_count,near_clone_count
1,caregiver_1_3,caregiver,caregiver_1_3::train::rf_v14_guard_randomized::20270421::none::max_f1_precision_guard::0.740000,trained_rf_v14,trained_rf_v14,rf_v14_guard_randomized,none,max_f1_precision_guard,0.74,20270421.0,0.8363636363636363,0.8846153846153846,0.7931034482758621,0.9719626168224299,0.9282890007189073,0.9567307692307693,0.8932926272751122,0.0728182623595568,0.852925628622589,,
2,caregiver_2_3,caregiver,caregiver_2_3::train::rf_v14_guard_randomized::20270457::none::max_f1_precision_guard::0.570000,trained_rf_v14,trained_rf_v14,rf_v14_guard_randomized,none,max_f1_precision_guard,0.57,20270457.0,0.8214285714285714,0.8846153846153846,0.7666666666666667,0.9672897196261683,0.9259525521207764,0.9508896477354422,0.8606195074052196,0.1285448510648098,0.838426254417079,,
3,caregiver_full,caregiver,caregiver_full::train::rf_v14_calibrated_isotonic::20270421::isotonic::max_f1_precision_guard::0.600000,trained_rf_v14,trained_rf_v14,rf_v14_calibrated_isotonic,isotonic,max_f1_precision_guard,0.6,20270421.0,0.8333333333333334,0.9615384615384616,0.7352941176470589,0.9579439252336449,0.9597411933860532,0.9780957943925234,0.7323800662776534,0.0294761435733749,0.8633917148748688,,
4,psychologist_1_3,psychologist,psychologist_1_3::train::rf_v14_calibrated_isotonic::20270457::isotonic::max_f1_precision_guard::0.410000,trained_rf_v14,trained_rf_v14,rf_v14_calibrated_isotonic,isotonic,max_f1_precision_guard,0.4099999999999999,20270457.0,0.8333333333333334,0.9615384615384616,0.7352941176470589,0.9579439252336449,0.9597411933860532,0.9772196261682243,0.7274331146368022,0.03080118047908858,0.863325463029583,,
5,psychologist_2_3,psychologist,psychologist_2_3::hist::v10_selected::elimination__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10::fixed::0.880000,historical_v10_selected,elimination__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_calibrated_regularized,none,fixed_from_source,0.8799999999999999,,0.8376068376068376,0.9423076923076923,0.7538461538461538,0.9626168224299065,0.9524622573687994,0.9776464773544212,0.6970361089101744,0.03625781718024713,0.8633564118009445,,
6,psychologist_full,psychologist,psychologist_full::hist::v13_active::elimination__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10::fixed::0.680000,historical_v13_active,elimination__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,rf_calibrated_regularized,isotonic,fixed_from_source,0.6799999999999999,,0.8403361344537815,0.9615384615384616,0.746268656716418,0.9602803738317757,0.9609094176851186,0.9795111430625449,0.7669546564992382,0.029570457099249468,0.8686304991651679,,
0,__combo_summary__,__combo_summary__,caregiver_1_3::train::rf_v14_guard_randomized::20270421::none::max_f1_precision_guard::0.740000|caregiver_2_3::train::rf_v14_guard_randomized::20270457::none::max_f1_precision_guard::0.570000|caregiver_full::train::rf_v14_calibrated_isotonic::20270421::isotonic::max_f1_precision_guard::0.600000|psychologist_1_3::train::rf_v14_calibrated_isotonic::20270457::isotonic::max_f1_precision_guard::0.410000|psychologist_2_3::hist::v10_selected::elimination__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10::fixed::0.880000|psychologist_full::hist::v13_active::elimination__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10::fixed::0.680000,joint_selection,joint_selection,joint_selection,joint_selection,joint_selection,,,0.8337336410865822,0.9326923076923078,0.755078860133203,,,,,,0.8583426619850387,2.0,9.0
1,caregiver_1_3,caregiver,caregiver_1_3::train::rf_v14_guard_randomized::20270421::none::max_f1_precision_guard::0.740000::joint_thr::0.762162,trained_rf_v14,trained_rf_v14,rf_v14_guard_randomized,none,joint_anti_clone_threshold_tuning,0.7621616091094605,20270421.0,0.8598130841121495,0.8846153846153846,0.8363636363636363,0.9789719626168224,0.9317936736161034,0.9567307692307693,0.8932926272751122,0.0728182623595568,0.871615181254939,,
2,caregiver_2_3,caregiver,caregiver_2_3::train::rf_v14_guard_randomized::20270457::none::max_f1_precision_guard::0.570000::joint_thr::0.560107,trained_rf_v14,trained_rf_v14,rf_v14_guard_randomized,none,joint_anti_clone_threshold_tuning,0.5601072169221989,20270457.0,0.8214285714285714,0.8846153846153846,0.7666666666666667,0.9672897196261683,0.9259525521207764,0.9508896477354422,0.8606195074052196,0.1285448510648098,0.838426254417079,,
3,caregiver_full,caregiver,caregiver_full::train::rf_v14_calibrated_isotonic::20270421::isotonic::max_f1_precision_guard::0.600000::joint_thr::0.750000,trained_rf_v14,trained_rf_v14,rf_v14_calibrated_isotonic,isotonic,joint_anti_clone_threshold_tuning,0.7499999999999999,20270421.0,0.7128712871287128,0.6923076923076923,0.7346938775510204,0.969626168224299,0.8309669302659957,0.9780957943925234,0.7323800662776534,0.0294761435733749,0.7369675553227277,,
