mode,domain,trial_name,probability_source,threshold,uncertainty_band,precision,recall,specificity,balanced_accuracy,f1,brier,uncertain_rate,delta_precision,delta_recall,delta_balanced_accuracy,delta_brier,objective,material_improvement,base_recall,base_balanced_accuracy,base_brier,selection_rule
caregiver,elimination,light_ensemble_blend,prob_blend,0.505,0.08,0.92,0.7142857142857143,0.92,0.8171428571428572,0.8041958041958042,0.1463464296605187,0.1783216783216783,0.0013008130081301,0.0124223602484472,0.0062111801242236,-0.0022360456755085,0.7914285714285715,partial,0.7018633540372671,0.8109316770186336,0.1485824753360272,robust_objective_with_nonnegative_ba
psychologist,elimination,recall_first_low_thr,probability,0.425,0.08,0.9262295081967212,0.7018633540372671,0.928,0.8149316770186336,0.7985865724381626,0.1445763621488415,0.3146853146853147,0.0006096734859775,0.0062111801242236,0.0031055900621118,0.0,0.7863104979126362,partial,0.6956521739130435,0.8118260869565217,0.1445763621488415,robust_objective_with_nonnegative_ba
