group_size,size_bytes,sha256,path
4,5025,965995f0666bac30a4869c561eaac6702269781f21dc75389f89d92585b8248a,models/champions/rf_adhd_current/metadata.json
4,5025,965995f0666bac30a4869c561eaac6702269781f21dc75389f89d92585b8248a,models/versioned/rf_adhd_v1_baseline/metadata.json
5,2591339,b780065e596dfa57ea9127493cd43b93f93b49f796e01147d59b8177873d29f8,artifacts/models/binary/dataset_adhd_clinical__strict_no_leakage/pipeline.joblib
5,2591339,b780065e596dfa57ea9127493cd43b93f93b49f796e01147d59b8177873d29f8,artifacts/versioned_models/rf_adhd_v1_baseline/pipeline.joblib
5,2591339,b780065e596dfa57ea9127493cd43b93f93b49f796e01147d59b8177873d29f8,models/binary/dataset_adhd_clinical__strict_no_leakage/pipeline.joblib
5,2591339,b780065e596dfa57ea9127493cd43b93f93b49f796e01147d59b8177873d29f8,models/champions/rf_adhd_current/pipeline.joblib
5,2591339,b780065e596dfa57ea9127493cd43b93f93b49f796e01147d59b8177873d29f8,models/versioned/rf_adhd_v1_baseline/pipeline.joblib
2,4168363,912e517b6cd324f5faebb2bab13fa0af0c0067e912d4a6c945e49ee0d2b7f356,artifacts/models/binary/dataset_adhd_items__research_extended/pipeline.joblib
2,4168363,912e517b6cd324f5faebb2bab13fa0af0c0067e912d4a6c945e49ee0d2b7f356,models/binary/dataset_adhd_items__research_extended/pipeline.joblib
2,4297243,16e963ef0c8af4af9903b8353a49eb58c9b1128270b566de53129cd98f606938,artifacts/models/binary/dataset_adhd_items__strict_no_leakage/pipeline.joblib
2,4297243,16e963ef0c8af4af9903b8353a49eb58c9b1128270b566de53129cd98f606938,models/binary/dataset_adhd_items__strict_no_leakage/pipeline.joblib
2,1837915,af56652cb60aacf91f80bde597e389a75764162590150b04dd0ffd4449815dad,artifacts/models/binary/dataset_adhd_minimal__research_extended/pipeline.joblib
2,1837915,af56652cb60aacf91f80bde597e389a75764162590150b04dd0ffd4449815dad,models/binary/dataset_adhd_minimal__research_extended/pipeline.joblib
2,2143755,54e7916f8ffcd3658506561d5ba7ff58a1cbbf82c94d47e4e9099480b65bca75,artifacts/models/binary/dataset_adhd_minimal__strict_no_leakage/pipeline.joblib
2,2143755,54e7916f8ffcd3658506561d5ba7ff58a1cbbf82c94d47e4e9099480b65bca75,models/binary/dataset_adhd_minimal__strict_no_leakage/pipeline.joblib
2,2862827,ef340d05cdb983da7d95be96bae3be421637a63295e58ed99c96288cd52c942b,artifacts/models/binary/dataset_anxiety_combined__research_extended/pipeline.joblib
2,2862827,ef340d05cdb983da7d95be96bae3be421637a63295e58ed99c96288cd52c942b,models/binary/dataset_anxiety_combined__research_extended/pipeline.joblib
2,3278395,449719c0eb83404c20bf96a4e2903e5f6b7d0d957c6eed59e31fbcc99a602344,artifacts/models/binary/dataset_anxiety_combined__strict_no_leakage/pipeline.joblib
2,3278395,449719c0eb83404c20bf96a4e2903e5f6b7d0d957c6eed59e31fbcc99a602344,models/binary/dataset_anxiety_combined__strict_no_leakage/pipeline.joblib
2,5055003,4c0888cc5379ba4a3ddec0c2038e5a87425b086c2685577474364c2e484b2805,artifacts/models/binary/dataset_anxiety_items__research_extended/pipeline.joblib
2,5055003,4c0888cc5379ba4a3ddec0c2038e5a87425b086c2685577474364c2e484b2805,models/binary/dataset_anxiety_items__research_extended/pipeline.joblib
4,22621,68e4d8b40bca2cac8e82c5984bd589888a85ddab9bd7596847d25fc39266e946,artifacts/models/binary/dataset_anxiety_items__strict_no_leakage/metadata.json
4,22621,68e4d8b40bca2cac8e82c5984bd589888a85ddab9bd7596847d25fc39266e946,artifacts/versioned_models/rf_anxiety_v1_baseline/metadata.json
4,22621,68e4d8b40bca2cac8e82c5984bd589888a85ddab9bd7596847d25fc39266e946,models/champions/rf_anxiety_current/metadata.json
4,22621,68e4d8b40bca2cac8e82c5984bd589888a85ddab9bd7596847d25fc39266e946,models/versioned/rf_anxiety_v1_baseline/metadata.json
5,5235371,1a10ec6a4bef4f13bb5922670bab3692e41f51bb687bd39921f27efd47b60d9e,artifacts/models/binary/dataset_anxiety_items__strict_no_leakage/pipeline.joblib
5,5235371,1a10ec6a4bef4f13bb5922670bab3692e41f51bb687bd39921f27efd47b60d9e,artifacts/versioned_models/rf_anxiety_v1_baseline/pipeline.joblib
5,5235371,1a10ec6a4bef4f13bb5922670bab3692e41f51bb687bd39921f27efd47b60d9e,models/binary/dataset_anxiety_items__strict_no_leakage/pipeline.joblib
5,5235371,1a10ec6a4bef4f13bb5922670bab3692e41f51bb687bd39921f27efd47b60d9e,models/champions/rf_anxiety_current/pipeline.joblib
5,5235371,1a10ec6a4bef4f13bb5922670bab3692e41f51bb687bd39921f27efd47b60d9e,models/versioned/rf_anxiety_v1_baseline/pipeline.joblib
2,2829451,0738b14842251b02218e06137275c590bf52370836a3f3eb0ae38d9086be9cf2,artifacts/models/binary/dataset_anxiety_parent__research_extended/pipeline.joblib
2,2829451,0738b14842251b02218e06137275c590bf52370836a3f3eb0ae38d9086be9cf2,models/binary/dataset_anxiety_parent__research_extended/pipeline.joblib
2,3301515,ac6c352a5bd4e7e45c80f60808a6c50b3c2dc66031646abbbd02a3a620f44980,artifacts/models/binary/dataset_anxiety_parent__strict_no_leakage/pipeline.joblib
2,3301515,ac6c352a5bd4e7e45c80f60808a6c50b3c2dc66031646abbbd02a3a620f44980,models/binary/dataset_anxiety_parent__strict_no_leakage/pipeline.joblib
2,2023947,4d1aa7c8197cdff60ce4c8ade19dc8b9ed90a4961d01f526669137fc30a72b20,artifacts/models/binary/dataset_conduct_clinical__research_extended/pipeline.joblib
2,2023947,4d1aa7c8197cdff60ce4c8ade19dc8b9ed90a4961d01f526669137fc30a72b20,models/binary/dataset_conduct_clinical__research_extended/pipeline.joblib
2,2108795,607a55ef607b0d09027130e05195d2be43e256e700749fbaeb3941b8b291d0ac,artifacts/models/binary/dataset_conduct_clinical__strict_no_leakage/pipeline.joblib
2,2108795,607a55ef607b0d09027130e05195d2be43e256e700749fbaeb3941b8b291d0ac,models/binary/dataset_conduct_clinical__strict_no_leakage/pipeline.joblib
2,3404267,f6636a73f07a2914ae2b02e855bb6933a23477614862e2067aa487471cee3c98,artifacts/models/binary/dataset_conduct_items__research_extended/pipeline.joblib
2,3404267,f6636a73f07a2914ae2b02e855bb6933a23477614862e2067aa487471cee3c98,models/binary/dataset_conduct_items__research_extended/pipeline.joblib
2,3445115,fc8c151316e0cb68f79d8b77ad7683e458758aa75d70fcadb5b312bb144e8027,artifacts/models/binary/dataset_conduct_items__strict_no_leakage/pipeline.joblib
2,3445115,fc8c151316e0cb68f79d8b77ad7683e458758aa75d70fcadb5b312bb144e8027,models/binary/dataset_conduct_items__strict_no_leakage/pipeline.joblib
2,3148907,a0772e5cbe89ad270e946f22151d58e6affbefcdbf884bd28799d5cce1c5bcd8,artifacts/models/binary/dataset_conduct_minimal__research_extended/pipeline.joblib
2,3148907,a0772e5cbe89ad270e946f22151d58e6affbefcdbf884bd28799d5cce1c5bcd8,models/binary/dataset_conduct_minimal__research_extended/pipeline.joblib
4,3681,8687a7cb537c502ea136625948c68826857715eba3e3b8518e02c8e9d9969b9c,artifacts/models/binary/dataset_conduct_minimal__strict_no_leakage/metadata.json
4,3681,8687a7cb537c502ea136625948c68826857715eba3e3b8518e02c8e9d9969b9c,artifacts/versioned_models/rf_conduct_v1_baseline/metadata.json
4,3681,8687a7cb537c502ea136625948c68826857715eba3e3b8518e02c8e9d9969b9c,models/champions/rf_conduct_current/metadata.json
4,3681,8687a7cb537c502ea136625948c68826857715eba3e3b8518e02c8e9d9969b9c,models/versioned/rf_conduct_v1_baseline/metadata.json
5,3325915,5ed5e956956c510591e3c4dc636434eebe02aaf6221654be542087667f0f435a,artifacts/models/binary/dataset_conduct_minimal__strict_no_leakage/pipeline.joblib
5,3325915,5ed5e956956c510591e3c4dc636434eebe02aaf6221654be542087667f0f435a,artifacts/versioned_models/rf_conduct_v1_baseline/pipeline.joblib
5,3325915,5ed5e956956c510591e3c4dc636434eebe02aaf6221654be542087667f0f435a,models/binary/dataset_conduct_minimal__strict_no_leakage/pipeline.joblib
5,3325915,5ed5e956956c510591e3c4dc636434eebe02aaf6221654be542087667f0f435a,models/champions/rf_conduct_current/pipeline.joblib
5,3325915,5ed5e956956c510591e3c4dc636434eebe02aaf6221654be542087667f0f435a,models/versioned/rf_conduct_v1_baseline/pipeline.joblib
2,1844219,fca1ee2053dd52ab2f7bbe1665ce57044f954d127eaa4aa614776dfb4b10ef60,artifacts/models/binary/dataset_depression_combined__research_extended/pipeline.joblib
2,1844219,fca1ee2053dd52ab2f7bbe1665ce57044f954d127eaa4aa614776dfb4b10ef60,models/binary/dataset_depression_combined__research_extended/pipeline.joblib
2,1986027,5b389e6471b54d8275986da9c983fa893c8ad3dd42e76871a368f4616ea82178,artifacts/models/binary/dataset_depression_combined__strict_no_leakage/pipeline.joblib
2,1986027,5b389e6471b54d8275986da9c983fa893c8ad3dd42e76871a368f4616ea82178,models/binary/dataset_depression_combined__strict_no_leakage/pipeline.joblib
2,3042955,67140ebb63275feedea26828b3fef8f6572969825a7b6e088cd3273f7595101d,artifacts/models/binary/dataset_depression_items__research_extended/pipeline.joblib
2,3042955,67140ebb63275feedea26828b3fef8f6572969825a7b6e088cd3273f7595101d,models/binary/dataset_depression_items__research_extended/pipeline.joblib
2,3111979,b904a1af3186f53f2840192b39974acec0ce71e6244efa91fae69b52087cdebf,artifacts/models/binary/dataset_depression_items__strict_no_leakage/pipeline.joblib
2,3111979,b904a1af3186f53f2840192b39974acec0ce71e6244efa91fae69b52087cdebf,models/binary/dataset_depression_items__strict_no_leakage/pipeline.joblib
2,1812187,1197cc97a056ff960f4a0e5d002b9180e1db433e1c6847c607259ed9a28681a0,artifacts/models/binary/dataset_depression_parent__research_extended/pipeline.joblib
2,1812187,1197cc97a056ff960f4a0e5d002b9180e1db433e1c6847c607259ed9a28681a0,models/binary/dataset_depression_parent__research_extended/pipeline.joblib
3,3590,eb3f41df153548ccf5b13b273ba6e7df6a5f2c95f380d3b4672779d273b6d341,artifacts/models/binary/dataset_depression_parent__strict_no_leakage/metadata.json
3,3590,eb3f41df153548ccf5b13b273ba6e7df6a5f2c95f380d3b4672779d273b6d341,artifacts/versioned_models/rf_depression_v1_baseline/metadata.json
3,3590,eb3f41df153548ccf5b13b273ba6e7df6a5f2c95f380d3b4672779d273b6d341,models/versioned/rf_depression_v1_baseline/metadata.json
4,1982155,ce839942894e97315be656ba6493c121386a4bfa4c7c4a7a0a0c6345d53f1d2d,artifacts/models/binary/dataset_depression_parent__strict_no_leakage/pipeline.joblib
4,1982155,ce839942894e97315be656ba6493c121386a4bfa4c7c4a7a0a0c6345d53f1d2d,artifacts/versioned_models/rf_depression_v1_baseline/pipeline.joblib
4,1982155,ce839942894e97315be656ba6493c121386a4bfa4c7c4a7a0a0c6345d53f1d2d,models/binary/dataset_depression_parent__strict_no_leakage/pipeline.joblib
