domain,mode,stress_type,scenario,balanced_accuracy,delta_ba
anxiety,psychologist_1_3,threshold,threshold_shift_-0.10,0.9160370676425451,-0.01968480698854913
anxiety,psychologist_1_3,threshold,threshold_shift_-0.05,0.9305276826820919,-0.005194191949002391
anxiety,psychologist_1_3,threshold,threshold_shift_+0.05,0.9357218746310942,0.0
anxiety,psychologist_1_3,threshold,threshold_shift_+0.10,0.9357218746310942,0.0
anxiety,psychologist_1_3,missingness,missing_10pct,0.9310589068586943,-0.00466296777239994
anxiety,psychologist_1_3,missingness,missing_20pct,0.9161551174595679,-0.01956675717152634
depression,caregiver_1_3,threshold,threshold_shift_-0.10,0.8982718470400785,-0.018844221105527637
depression,caregiver_1_3,threshold,threshold_shift_-0.05,0.9070658168893246,-0.01005025125628145
depression,caregiver_1_3,threshold,threshold_shift_+0.05,0.9038485108469175,-0.01326755729868856
depression,caregiver_1_3,threshold,threshold_shift_+0.10,0.8918372349552641,-0.025278833190341965
depression,caregiver_1_3,missingness,missing_10pct,0.8685194264002942,-0.048596641745311864
depression,caregiver_1_3,missingness,missing_20pct,0.8201066307145484,-0.09700943743105772
depression,psychologist_1_3,threshold,threshold_shift_-0.10,0.9024083833803163,0.020437553621767357
depression,psychologist_1_3,threshold,threshold_shift_-0.05,0.8878845446745924,0.005913714916043533
depression,psychologist_1_3,threshold,threshold_shift_+0.05,0.8661907096457899,-0.015780120112758977
depression,psychologist_1_3,threshold,threshold_shift_+0.10,0.8676308371123913,-0.014339992646157596
depression,psychologist_1_3,missingness,missing_10pct,0.8590207133227111,-0.022950116435837775
depression,psychologist_1_3,missingness,missing_20pct,0.8213629121215835,-0.06060791763696538
