domain,role,mode,feature_set_id,position,feature
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,1,adhd_onset_before_12
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,2,adhd_inatt_08_easily_distracted
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,3,adhd_impairment_home
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,4,adhd_impairment_school
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,5,adhd_inatt_02_sustained_attention_difficulty
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,6,adhd_inatt_03_seems_not_listening
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,7,adhd_inatt_09_forgetful_daily_activities
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,8,adhd_inatt_06_avoids_sustained_effort
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,9,adhd_hypimp_02_leaves_seat
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,10,adhd_inatt_01_attention_to_detail_errors
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,11,adhd_hypimp_04_cannot_play_quietly
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,12,adhd_hypimp_03_runs_or_climbs_inappropriately
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,13,adhd_inatt_07_loses_things
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,14,adhd_hypimp_01_fidgets
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,15,adhd_hypimp_07_blurts_out
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,16,adhd_hypimp_05_driven_by_motor
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,17,adhd_hypimp_09_interrupts_intrudes
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,18,adhd_hypimp_06_talks_excessively
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,19,adhd_inatt_04_fails_to_finish_tasks
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,20,adhd_hypimp_08_difficulty_waiting_turn
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,21,adhd_inatt_05_organization_difficulty
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,22,adhd_impairment_social
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,23,conduct_06_steals_confronting_victim
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,24,conduct_03_weapon_use
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,25,conduct_04_physical_cruelty_people
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,26,conduct_02_initiates_fights
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,27,conduct_10_breaks_into_house_building_car
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,28,conduct_01_bullies_threatens_intimidates
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,29,conduct_07_forced_sex
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,30,conduct_09_property_destruction
adhd,caregiver,caregiver_1_3,structural_ranked_1_3,31,conduct_05_physical_cruelty_animals
