domain,role,feature,model_importance_score,questionnaire_rank,rank_score,domain_score,core_score,composite_importance,feature_type,selection_rationale
elimination,caregiver,conduct_06_steals_confronting_victim,0.005379731400111306,24.0,0.8424657534246576,0.25,1.0,0.32118301638498725,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
elimination,caregiver,conduct_07_forced_sex,0.007881423915078886,25.0,0.8356164383561644,0.25,1.0,0.3210639996287723,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
elimination,caregiver,encopresis_constipation_present,0.13679098199215073,142.0,0.03424657534246578,1.0,0.45,0.3202448060645685,specifier_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa subtype; respondible por ambos roles
elimination,caregiver,mdd_duration_weeks,0.0053149246622395735,92.0,0.37671232876712324,0.7,1.0,0.31799992808454447,duration_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
elimination,caregiver,gad_duration_months,6.147178099345564e-05,91.0,0.3835616438356164,0.7,1.0,0.31674306465762003,duration_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
elimination,caregiver,conduct_09_property_destruction,0.0018823675345758877,27.0,0.821917808219178,0.25,1.0,0.31532474541112354,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
elimination,caregiver,pdd_duration_months_child,0.002359071640375254,93.0,0.36986301369863017,0.7,1.0,0.31515213855991364,duration_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
elimination,caregiver,conduct_10_breaks_into_house_building_car,0.003457691733142233,28.0,0.815068493150685,0.25,1.0,0.31474254449670813,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
elimination,caregiver,sep_anx_duration_weeks,0.004249988428598113,94.0,0.363013698630137,0.7,1.0,0.3147277339403265,duration_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
elimination,caregiver,social_anxiety_duration_months,0.006793790306898485,95.0,0.3561643835616438,0.7,1.0,0.314629771865778,duration_item,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles
elimination,caregiver,conduct_11_lies_to_obtain_or_avoid,0.0013259723747218997,29.0,0.8082191780821918,0.25,1.0,0.3123068218037993,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
elimination,caregiver,conduct_12_steals_without_confrontation,0.0025702477460336614,30.0,0.8013698630136986,0.25,1.0,0.3115590964757565,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
elimination,caregiver,agor_fear_03_enclosed_spaces,0.006368285907824025,98.0,0.3356164383561644,0.7,1.0,0.3103074306251449,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa core_symptom; respondible por ambos roles
elimination,caregiver,conduct_15_truancy_before_13,0.007479108877905374,33.0,0.7808219178082192,0.25,1.0,0.30990393800059657,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
elimination,caregiver,conduct_13_stays_out_at_night_before_13,0.0014972038509600762,31.0,0.7945205479452055,0.25,1.0,0.3096527115145211,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
elimination,caregiver,conduct_14_runs_away_overnight,0.003256325089354451,32.0,0.7876712328767124,0.25,1.0,0.3091624091200197,symptom_item,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles
elimination,caregiver,agor_fear_04_crowds_queues,0.006414900708443678,99.0,0.3287671232876712,0.7,1.0,0.30896087501175606,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa core_symptom; respondible por ambos roles
elimination,caregiver,agor_fear_05_outside_home_alone,0.008044601053953205,100.0,0.32191780821917804,0.7,1.0,0.30840586217081223,symptom_item,feature DSM-5 explícita; prioridad DSM-5 medium; capa core_symptom; respondible por ambos roles
