domain,role,mode,active_model_id,model_family,feature_set_id,threshold,n_features,feature_columns_sha16,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,final_class,final_operational_class,confidence_pct,confidence_band,guardrail_margin_min,near_guardrail_flag,guardrail_violation_flag,weak_class_flag,overfit_or_gap_flag,secondary_anomaly_text_flag,feature_dominance_pending_audit,clone_pending_audit,missing_features_in_dataset,missing_features_in_inputs_master,input_compatibility_ok
conduct,caregiver,caregiver_1_3,conduct__caregiver_1_3__rebuild_v2__rf__precision_oriented_subset,rf,precision_oriented_subset,0.59,20,9e6ee28afe8d5159,0.9019607843137256,0.8625,0.953125,0.9078125,0.8817891373801917,0.97841796875,0.9500801871541836,0.0563854385479201,PRIMARY_WITH_CAVEAT,ACTIVE_MODERATE_CONFIDENCE,84.9,moderate,0.0015820312500000044,yes,no,no,no,yes,yes,yes,,,yes
conduct,caregiver,caregiver_2_3,conduct__caregiver_2_3__hybrid_structural_mode_rescue_v1__logreg__registry_stability_pruned_subset,logreg,registry_stability_pruned_subset,0.55,49,4c8e6dd6a1c9236a,0.8426966292134831,0.9375,0.9125,0.925,0.8875739644970414,0.97568359375,0.950366891995128,0.0790929039136678,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.00431640624999996,yes,no,yes,no,yes,yes,yes,,,yes
conduct,caregiver,caregiver_full,conduct__caregiver_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,rf,engineered_compact_no_shortcuts_v1,0.4449999999999999,47,caaf86784ad195f2,0.8076923076923077,0.91875,0.890625,0.9046875,0.8596491228070176,0.9746875,0.9499594639068576,0.0622859399714159,PRIMARY_WITH_CAVEAT,ACTIVE_MODERATE_CONFIDENCE,84.4,moderate,0.005312499999999942,yes,no,no,no,no,yes,yes,,,yes
conduct,psychologist,psychologist_1_3,conduct__psychologist_1_3__rebuild_v2__rf__compact_subset,rf,compact_subset,0.6449999999999999,27,264e325aaee3f505,0.9090909090909092,0.8125,0.959375,0.8859375,0.858085808580858,0.97728515625,0.9542627941351364,0.0585440516294588,PRIMARY_WITH_CAVEAT,ACTIVE_MODERATE_CONFIDENCE,81.0,moderate,0.0027148437499999734,yes,no,no,no,yes,yes,yes,,,yes
conduct,psychologist,psychologist_2_3,conduct__psychologist_2_3__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,rf,engineered_compact_no_shortcuts_v1,0.3799999999999999,43,f3e27876b2980f43,0.8846153846153846,0.8625,0.94375,0.903125,0.8734177215189873,0.9715234375,0.9324443838258124,0.0598157660888244,ROBUST_PRIMARY,ACTIVE_HIGH_CONFIDENCE,91.6,high,0.008476562499999951,yes,no,no,no,no,yes,yes,,,yes
conduct,psychologist,psychologist_full,conduct__psychologist_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,rf,engineered_compact_no_shortcuts_v1,0.3349999999999999,56,e3e1a20d11ed23ec,0.8439306358381503,0.9125,0.915625,0.9140625,0.8768768768768769,0.975634765625,0.9413294156917726,0.0601968414247834,PRIMARY_WITH_CAVEAT,ACTIVE_MODERATE_CONFIDENCE,84.9,moderate,0.004365234375000027,yes,no,no,no,yes,yes,yes,,,yes
depression,caregiver,caregiver_1_3,depression__caregiver_1_3__hybrid_structural_mode_rescue_v1__rf__structural_ranked_1_3,rf,structural_ranked_1_3,0.59,42,ed1a91562d05afa2,0.7956989247311828,0.902439024390244,0.9522613065326632,0.9273501654614535,0.8457142857142858,0.9798994974874372,0.91517180652367,0.0501742162589722,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.00010050251256277232,yes,no,yes,no,yes,yes,yes,,,yes
depression,caregiver,caregiver_2_3,depression__caregiver_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,extra_trees,structural_compact_2_3,0.61,69,179c318f1b2e3df4,0.7978723404255319,0.9146341463414634,0.9522613065326632,0.9334477264370632,0.8522727272727273,0.9797156514278712,0.9079978667723728,0.0584251216087021,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.0002843485721287786,yes,no,yes,no,yes,yes,yes,,,yes
depression,caregiver,caregiver_full,depression__caregiver_full__hybrid_final_model_structural_compliance_v1__hgb__structural_ranked_direct,hgb,structural_ranked_direct,0.57,27,cb87a347be9a3563,0.8,0.8780487804878049,0.9547738693467336,0.9164113249172692,0.8372093023255814,0.9796696899129796,0.9142734101315824,0.0791188340451699,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.0003303100870203357,yes,no,yes,no,yes,yes,yes,,,yes
depression,psychologist,psychologist_1_3,depression__psychologist_1_3__hybrid_final_model_structural_compliance_v1__rf__dsm5_core_plus_context,rf,dsm5_core_plus_context,0.8499999999999999,11,3d700b9334ccac75,0.8518518518518519,0.8414634146341463,0.9698492462311558,0.905656330432651,0.8466257668711656,0.9772030886138008,0.887676427359755,0.0671577284343916,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.0027969113861991968,yes,no,yes,no,yes,yes,yes,,,yes
depression,psychologist,psychologist_2_3,depression__psychologist_2_3__hybrid_structural_mode_rescue_v1__extra_trees__structural_compact_2_3,extra_trees,structural_compact_2_3,0.6,83,72fafc904cd18662,0.7835051546391752,0.926829268292683,0.9472361809045228,0.9370327245986028,0.8491620111731844,0.9798688564775094,0.9104946822140751,0.0576198375850678,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.00013114352249055106,yes,no,yes,no,yes,yes,yes,,,yes
depression,psychologist,psychologist_full,depression__psychologist_full__v6_hotfix_v1__hgb__no_shortcut_v1,hgb,no_shortcut_v1,0.388,150,fef642e451c69b39,0.7831325301204819,0.7926829268292683,0.9547738693467336,0.8737283980880011,0.7878787878787878,0.9750275769089348,0.8740526749277387,0.0494030151469596,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,55.3,limited,0.004972423091065159,yes,no,yes,no,yes,yes,yes,,,yes
elimination,caregiver,caregiver_1_3,elimination__caregiver_1_3__hybrid_elimination_structural_audit_rescue_v1__rf__structural_ranked_direct,rf,ranked_direct,0.8699999999999999,4,db4010b62ef01523,0.8214285714285714,0.8846153846153846,0.9766355140186916,0.930625449317038,0.8518518518518519,0.9376797268152408,0.8747553222624959,0.1097963130608728,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.0033644859813083405,yes,no,yes,no,yes,yes,yes,,,yes
elimination,caregiver,caregiver_2_3,elimination__caregiver_2_3__hybrid_elimination_structural_audit_rescue_v1__hgb__structural_no_top1_direct,hgb,no_top1_direct,0.3199999999999999,7,7868a31e740836b7,0.8070175438596491,0.8846153846153846,0.9742990654205608,0.9294572250179728,0.8440366972477065,0.939409597411934,0.8859817813765182,0.0365859732281304,PRIMARY_WITH_CAVEAT,ACTIVE_MODERATE_CONFIDENCE,84.5,moderate,0.00570093457943921,yes,no,no,no,no,yes,yes,,,yes
elimination,caregiver,caregiver_full,elimination__caregiver_full__hybrid_elimination_structural_audit_rescue_v1__extra_trees__structural_no_top2_direct,extra_trees,no_top2_direct,0.6799999999999999,9,1852e164b0d4c876,0.7538461538461538,0.9423076923076924,0.9626168224299064,0.9524622573687994,0.8376068376068376,0.979308950395399,0.7564961659746969,0.1216793572676659,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.0006910496046009795,yes,no,yes,no,yes,yes,yes,,,yes
elimination,psychologist,psychologist_1_3,elimination__psychologist_1_3__hybrid_elimination_structural_audit_rescue_v1__hgb__structural_no_top2_direct,hgb,no_top2_direct,0.13,5,65aa9d102bf793da,0.7666666666666667,0.8846153846153846,0.9672897196261684,0.9259525521207764,0.8214285714285714,0.9259525521207764,0.6907051282051282,0.0458965211216198,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.012710280373831595,no,no,yes,no,yes,yes,yes,,,yes
elimination,psychologist,psychologist_2_3,elimination__psychologist_2_3__hybrid_elimination_structural_audit_rescue_v1__rf__structural_no_top2_direct,rf,no_top2_direct,0.91,9,3f5d10e7240c3057,0.7758620689655172,0.8653846153846154,0.969626168224299,0.9175053918044572,0.8181818181818182,0.9278172178289,0.724004109030052,0.1395246775727929,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,59.9,limited,0.010373831775700948,no,no,yes,no,yes,yes,yes,,,yes
elimination,psychologist,psychologist_full,elimination__psychologist_full__hybrid_final_model_structural_compliance_v1__extra_trees__legacy_structural_intersection,extra_trees,legacy_structural_intersection,0.84,12,4e6269d2d2ac568d,0.7692307692307693,0.9615384615384616,0.9649532710280374,0.9632458662832496,0.8547008547008547,0.9797133357296908,0.7335872913847162,0.0457506020631495,HOLD_FOR_LIMITATION,ACTIVE_LIMITED_USE,63.0,limited,0.0002866642703092115,yes,no,yes,no,yes,yes,yes,,,yes
