domain,role,mode,n_features,mean_missing_rate,max_missing_rate,features_with_missing_gt_20pct
adhd,caregiver,caregiver_1_3,36,0.0,0.0,0
adhd,caregiver,caregiver_2_3,69,0.0,0.0,0
adhd,caregiver,caregiver_full,53,0.0,0.0,0
adhd,psychologist,psychologist_1_3,9,0.0,0.0,0
adhd,psychologist,psychologist_2_3,101,0.0,0.0,0
adhd,psychologist,psychologist_full,27,0.0,0.0,0
anxiety,caregiver,caregiver_1_3,58,0.0,0.0,0
anxiety,caregiver,caregiver_2_3,59,0.0,0.0,0
anxiety,caregiver,caregiver_full,126,0.0,0.0,0
anxiety,psychologist,psychologist_1_3,14,0.0,0.0,0
anxiety,psychologist,psychologist_2_3,60,0.0,0.0,0
anxiety,psychologist,psychologist_full,151,0.0,0.0,0
conduct,caregiver,caregiver_1_3,20,0.0,0.0,0
conduct,caregiver,caregiver_2_3,49,0.0,0.0,0
conduct,caregiver,caregiver_full,47,0.0,0.0,0
conduct,psychologist,psychologist_1_3,27,0.0,0.0,0
conduct,psychologist,psychologist_2_3,43,0.0,0.0,0
conduct,psychologist,psychologist_full,56,0.0,0.0,0
depression,caregiver,caregiver_1_3,42,0.0,0.0,0
depression,caregiver,caregiver_2_3,69,0.0,0.0,0
depression,caregiver,caregiver_full,27,0.0,0.0,0
depression,psychologist,psychologist_1_3,11,0.0,0.0,0
depression,psychologist,psychologist_2_3,83,0.0,0.0,0
depression,psychologist,psychologist_full,150,0.0,0.0,0
elimination,caregiver,caregiver_1_3,4,0.0,0.0,0
elimination,caregiver,caregiver_2_3,7,0.0,0.0,0
elimination,caregiver,caregiver_full,9,0.0,0.0,0
elimination,psychologist,psychologist_1_3,5,0.0,0.0,0
elimination,psychologist,psychologist_2_3,9,0.0,0.0,0
elimination,psychologist,psychologist_full,12,0.0,0.0,0
