model_version,parent_version,disorder,dataset_name,dataset_variant,data_scope,feature_strategy,class_balance_strategy,calibration_strategy,threshold_strategy,threshold_value,n_features_raw,n_features_final,train_rows,val_rows,test_rows,val_balanced_accuracy,val_recall,val_specificity,val_f1,test_balanced_accuracy,test_recall,test_specificity,test_f1,status,promoted,promoted_status,rejection_reason,notes
rf_conduct_v2_externalizing_focus,rf_conduct_v1_baseline,conduct,dataset_conduct_clinical,clinical,strict_no_leakage,externalizing_focus,balanced_subsample,sigmoid,youden_j,0.3965352678444311,37,28,1333,286,286,0.90807962529274,0.8571428571428571,0.9590163934426229,0.8181818181818182,0.8481654957064793,0.7619047619047619,0.9344262295081968,0.7111111111111111,rejected,no,challenger,insufficient_validation_gain,Externalizing-focused conduct feature subset (ICUT/ARI/CBCL/SDQ emphasis).
rf_conduct_v3_balanced_subsample,rf_conduct_v1_baseline,conduct,dataset_conduct_minimal,minimal,strict_no_leakage,mi_top_k,balanced_subsample,sigmoid,sensitivity_priority,0.273528,23,22,1333,286,286,0.8937353629976581,0.8571428571428571,0.930327868852459,0.7578947368421053,0.8576307572209212,0.8095238095238095,0.9057377049180327,0.6868686868686869,completed,no,challenger,,Minimal conduct dataset with aggressive pruning and sensitivity-priority threshold.
