model_version,parent_version,disorder,dataset_name,dataset_variant,data_scope,feature_strategy,class_balance_strategy,calibration_strategy,threshold_strategy,threshold_value,n_features_raw,n_features_final,train_rows,val_rows,test_rows,val_balanced_accuracy,val_recall,val_specificity,val_f1,test_balanced_accuracy,test_recall,test_specificity,test_f1,status,promoted,promoted_status,rejection_reason,notes
rf_depression_v2_feature_pruned,rf_depression_v1_baseline,depression,dataset_depression_parent,parent,strict_no_leakage,mi_top_k,balanced_subsample,sigmoid,youden_j,0.13001429503648,21,20,1333,286,286,0.885546875,0.9,0.87109375,0.6,0.8875,0.9,0.875,0.6067415730337079,rejected,no,challenger,insufficient_validation_gain,Parent-focused depression model with MI pruning and calibrated probabilities.
rf_depression_v3_calibrated,rf_depression_v1_baseline,depression,dataset_depression_combined,combined,strict_no_leakage,mi_top_k,balanced_subsample,isotonic,sensitivity_priority,0.220238,25,24,1333,286,286,0.8688802083333333,0.8666666666666667,0.87109375,0.5842696629213483,0.885546875,0.9,0.87109375,0.6,completed,no,challenger,,Combined depression features with stronger recall objective and isotonic calibration.
