domain,mode,metric,ci_low,ci_high,ci_width
adhd,caregiver_1_3,balanced_accuracy,0.802867105263158,0.8865254053601028,0.08365830009694486
adhd,caregiver_1_3,pr_auc,0.5193646927844239,0.6979507713957888,0.17858607861136488
adhd,caregiver_2_3,balanced_accuracy,0.8888702284950625,0.9417643229166667,0.0528940944216042
adhd,caregiver_2_3,pr_auc,0.6005877017901203,0.7959754032145981,0.1953877014244778
adhd,caregiver_full,balanced_accuracy,0.8565228070175438,0.9158984567909702,0.05937564977342635
adhd,caregiver_full,pr_auc,0.5984135869930091,0.8176103300420173,0.21919674304900827
adhd,psychologist_1_3,balanced_accuracy,0.8754054580896686,0.9276623951606489,0.052256937070980225
adhd,psychologist_1_3,pr_auc,0.53368308129675,0.7255792049224316,0.19189612362568154
adhd,psychologist_2_3,balanced_accuracy,0.8678616212544737,0.9233188258694225,0.05545720461494874
adhd,psychologist_2_3,pr_auc,0.6191318110421957,0.810350799527619,0.1912189884854233
adhd,psychologist_full,balanced_accuracy,0.9324007046257327,0.9773998510414101,0.04499914641567748
adhd,psychologist_full,pr_auc,0.9239956698535758,0.9898662346113034,0.06587056475772757
anxiety,caregiver_1_3,balanced_accuracy,0.864762848224397,0.9360217428306997,0.07125889460630275
anxiety,caregiver_1_3,pr_auc,0.809701769360671,0.9160223895334461,0.1063206201727751
anxiety,caregiver_2_3,balanced_accuracy,0.9438303270814674,0.9815466682056696,0.03771634112420219
anxiety,caregiver_2_3,pr_auc,0.9159554513973042,0.9768664094896023,0.060910958092298184
anxiety,caregiver_full,balanced_accuracy,0.9458103566580097,0.979859281609012,0.03404892495100231
anxiety,caregiver_full,pr_auc,0.9209636434768905,0.9780173415343344,0.05705369805744387
anxiety,psychologist_1_3,balanced_accuracy,0.8434776619508564,0.9133990304682971,0.06992136851744069
anxiety,psychologist_1_3,pr_auc,0.8138553944047163,0.9233832678226107,0.10952787341789438
anxiety,psychologist_2_3,balanced_accuracy,0.9497609414618013,0.9789815658455632,0.02922062438376183
anxiety,psychologist_2_3,pr_auc,0.929166355745235,0.9797816266418722,0.0506152708966372
anxiety,psychologist_full,balanced_accuracy,0.9497609414618013,0.9789815658455632,0.02922062438376183
anxiety,psychologist_full,pr_auc,0.9201654071500514,0.9773983332222993,0.05723292607224795
conduct,caregiver_1_3,balanced_accuracy,0.8599598911479873,0.9137582483781292,0.053798357230141924
conduct,caregiver_1_3,pr_auc,0.8932323893991678,0.9587811017844202,0.0655487123852524
conduct,caregiver_2_3,balanced_accuracy,0.8061997602981262,0.8787829209679991,0.07258316066987291
conduct,caregiver_2_3,pr_auc,0.895239362608603,0.9571282416214051,0.061888879012802045
conduct,caregiver_full,balanced_accuracy,0.8790116389903777,0.9271860576157885,0.04817441862541083
conduct,caregiver_full,pr_auc,0.9032671141487355,0.9614151590503801,0.0581480449016446
conduct,psychologist_1_3,balanced_accuracy,0.8426318966715308,0.9081257938721884,0.06549389720065757
