candidate_id,domain,mode,ablation_case,impacted_features,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,delta_precision_vs_baseline,delta_recall_vs_baseline,delta_balanced_accuracy_vs_baseline,delta_pr_auc_vs_baseline,delta_brier_vs_baseline
adhd__psychologist_2_3,adhd,psychologist_2_3,drop_cleanbase_features,age_years|ari_p_symptom_total|icut_total|mfq_p_total|scared_p_generalized_anxiety|scared_p_panic_somatic|scared_p_school_avoidance|scared_p_separation_anxiety|scared_p_social_anxiety|scared_p_total|sdq_conduct_problems|sdq_emotional_symptoms|sdq_hyperactivity_inattention|sdq_impact|sdq_peer_problems|sdq_prosocial_behavior|sdq_total_difficulties|social_anxiety_almost_always_triggered|social_anxiety_avoid_or_endure_intense|social_anxiety_fear_being_observed|social_anxiety_fear_interactions|social_anxiety_fear_performance|swan_hyperactive_impulsive_total,0.7878787878787878,0.5531914893617021,0.9637305699481865,0.7584610296549443,0.65,0.8826066585822951,0.6818565695787352,0.0931268092734546,0.013104013104013101,-0.36170212765957444,-0.16660235916657484,-0.08747268878147751,0.03816158767664843
adhd__psychologist_2_3,adhd,psychologist_2_3,drop_dsm5_features,adhd_hyperimpulsive_symptom_count|adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_impairment_home|adhd_impairment_max|adhd_impairment_school|adhd_impairment_social|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|adhd_inattention_symptom_count|adhd_onset_before_12|agor_avoid_or_need_companion|agor_duration_months|agor_fear_03_enclosed_spaces|agor_impairment|agor_situation_count|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_06_steals_confronting_victim|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_15_truancy_before_13|conduct_aggression_count|conduct_deceit_theft_count|conduct_impairment_global|conduct_recent_6m_count|conduct_serious_rule_violation_count|conduct_symptom_count_12m|dmdd_duration_months|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|dmdd_outbursts_severity|enuresis_event_frequency_per_week|gad_assoc_02_fatigue|gad_assoc_03_concentration_difficulty|gad_assoc_symptom_count|gad_duration_months|gad_impairment|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_duration_weeks|mdd_impairment|mdd_symptom_count|pdd_duration_months_child|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_08_physical_complaints_on_separation|sep_anx_duration_weeks|sep_anx_symptom_count|social_anxiety_duration_months|social_anxiety_impairment,0.0,0.0,1.0,0.5,0.0,0.5,0.19583333333333333,0.19583294166766665,-0.7747747747747747,-0.9148936170212766,-0.4250633888215192,-0.5734959250268794,0.14086772007086049
adhd__psychologist_2_3,adhd,psychologist_2_3,drop_top1,adhd_inattention_symptom_count,0.7727272727272727,0.723404255319149,0.9481865284974094,0.8357953919082792,0.7472527472527473,0.8563278580090399,0.6491869673682198,0.08429301333922293,-0.0020475020475020367,-0.1914893617021276,-0.08926799691323994,-0.12014229099199292,0.02932779174241676
adhd__psychologist_2_3,adhd,psychologist_2_3,drop_top3,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|adhd_onset_before_12,0.0,0.0,1.0,0.5,0.0,0.5,0.19583333333333333,0.19583294166766665,-0.7747747747747747,-0.9148936170212766,-0.4250633888215192,-0.5734959250268794,0.14086772007086049
adhd__psychologist_2_3,adhd,psychologist_2_3,drop_top5,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|adhd_onset_before_12|sdq_total_difficulties|sdq_hyperactivity_inattention,0.0,0.0,1.0,0.5,0.0,0.5,0.19583333333333333,0.19583294166766665,-0.7747747747747747,-0.9148936170212766,-0.4250633888215192,-0.5734959250268794,0.14086772007086049
adhd__psychologist_2_3,adhd,psychologist_2_3,keep_top10_only,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_impairment_home|adhd_impairment_max|adhd_impairment_school|adhd_impairment_social|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|agor_avoid_or_need_companion|agor_duration_months|agor_fear_03_enclosed_spaces|agor_impairment|agor_situation_count|ari_p_symptom_total|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_06_steals_confronting_victim|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_15_truancy_before_13|conduct_aggression_count|conduct_deceit_theft_count|conduct_impairment_global|conduct_serious_rule_violation_count|conduct_symptom_count_12m|dmdd_duration_months|dmdd_irritable_between_outbursts|dmdd_outbursts_severity|enuresis_event_frequency_per_week|gad_assoc_02_fatigue|gad_assoc_03_concentration_difficulty|gad_assoc_symptom_count|gad_duration_months|gad_impairment|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_duration_weeks|mdd_impairment|mdd_symptom_count|mfq_p_total|pdd_duration_months_child|scared_p_generalized_anxiety|scared_p_panic_somatic|scared_p_school_avoidance|scared_p_separation_anxiety|scared_p_social_anxiety|scared_p_total|sdq_conduct_problems|sdq_emotional_symptoms|sdq_impact|sdq_prosocial_behavior|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_08_physical_complaints_on_separation|sep_anx_duration_weeks|sep_anx_symptom_count|social_anxiety_almost_always_triggered|social_anxiety_avoid_or_endure_intense|social_anxiety_duration_months|social_anxiety_fear_being_observed|social_anxiety_fear_interactions|social_anxiety_fear_performance|social_anxiety_impairment|swan_hyperactive_impulsive_total,0.780952380952381,0.8723404255319149,0.9404145077720207,0.9063774666519678,0.8241206030150754,0.9399459816999227,0.7446246506600496,0.05980875836073061,0.00617760617760621,-0.04255319148936165,-0.01868592216955134,-0.02470460770016314,0.00484353676392444
adhd__psychologist_2_3,adhd,psychologist_2_3,permute_adhd_hyperimpulsive_symptom_count,adhd_hyperimpulsive_symptom_count,0.7884615384615384,0.8723404255319149,0.9430051813471503,0.9076728034395326,0.8282828282828283,0.9309199647227427,0.7396982477203907,0.06029066159186732,0.013686763686763692,-0.04255319148936165,-0.017390585381986567,-0.029631010639821986,0.005325439995061153
adhd__psychologist_2_3,adhd,psychologist_2_3,permute_adhd_inattention_symptom_count,adhd_inattention_symptom_count,0.7281553398058253,0.7978723404255319,0.927461139896373,0.8626667401609525,0.7614213197969543,0.8825239775107485,0.6864124497578199,0.0788617432441173,-0.04661943496894949,-0.11702127659574468,-0.06239664866056671,-0.08291680860239281,0.023896521647311125
adhd__psychologist_2_3,adhd,psychologist_2_3,permute_adhd_onset_before_12,adhd_onset_before_12,0.6571428571428571,0.48936170212765956,0.9378238341968912,0.7135927681622753,0.5609756097560976,0.7200005512071436,0.42408626733460836,0.1343414009430026,-0.1176319176319176,-0.425531914893617,-0.21147062065924382,-0.34524299102560435,0.07937617934619642
adhd__psychologist_2_3,adhd,psychologist_2_3,permute_sdq_hyperactivity_inattention,sdq_hyperactivity_inattention,0.7735849056603774,0.8723404255319149,0.9378238341968912,0.9050821298644031,0.82,0.9424401940249145,0.7632556708744848,0.05891580951695225,-0.001189869114397335,-0.04255319148936165,-0.01998125895711611,-0.006073587485727949,0.003950587920146083
