domain,mode,seed,precision,recall,balanced_accuracy,pr_auc,brier
adhd,caregiver_1_3,20270421,0.6148148148148148,0.8829787234042553,0.8741318487487597,0.6261961713935031,0.08538670966420744
adhd,caregiver_1_3,20270439,0.616,0.8191489361702128,0.8473983022819975,0.632240435882983,0.08512284908744434
adhd,caregiver_2_3,20270421,0.696,0.925531914893617,0.9135431595193473,0.7061668923794772,0.06975797914581072
adhd,caregiver_2_3,20270439,0.6935483870967742,0.9148936170212766,0.9082240105831771,0.7182041599980347,0.06776946557735881
adhd,caregiver_full,20270421,0.6991869918699187,0.9148936170212766,0.9095193473707419,0.7202042607063938,0.06933264047070772
adhd,caregiver_full,20270439,0.696,0.925531914893617,0.9135431595193473,0.7219583992507727,0.06632689255606708
adhd,psychologist_1_3,20270421,0.5870967741935483,0.9680851063829787,0.9011409987873442,0.6193262460041555,0.08765167395513422
adhd,psychologist_1_3,20270439,0.5947712418300654,0.9680851063829787,0.9037316723624738,0.6310581909360219,0.08399529181351298
adhd,psychologist_2_3,20270421,0.7264150943396226,0.8191489361702128,0.8720097012457282,0.7145770672022087,0.0695161804854707
adhd,psychologist_2_3,20270439,0.7307692307692307,0.8085106382978723,0.8679858890971226,0.7250026035648455,0.06888801624187679
adhd,psychologist_full,20270421,0.8969072164948454,0.925531914893617,0.9498125895711609,0.9504606053774356,0.023951697228439983
adhd,psychologist_full,20270439,0.8865979381443299,0.9148936170212766,0.9431981038474259,0.9702146091332673,0.022959230360485004
anxiety,caregiver_1_3,20270421,0.8888888888888888,0.8372093023255814,0.9071833313658364,0.8486202496512978,0.04366735047630413
anxiety,caregiver_1_3,20270439,0.8888888888888888,0.8372093023255814,0.9071833313658364,0.8540499069777993,0.04454874590047027
anxiety,caregiver_2_3,20270421,0.8736842105263158,0.9651162790697675,0.9673297131389447,0.9484641189213239,0.03132614528556411
anxiety,caregiver_2_3,20270439,0.8526315789473684,0.9418604651162791,0.9531637350962106,0.9514642486606473,0.0316526498018287
anxiety,caregiver_full,20270421,0.8316831683168316,0.9767441860465116,0.9667984889623421,0.9517190708002086,0.031474259217712436
anxiety,caregiver_full,20270439,0.84,0.9767441860465116,0.968067524495337,0.9553828571770147,0.03146778523676664
anxiety,psychologist_1_3,20270421,0.8918918918918919,0.7674418604651163,0.8735686459685987,0.8648217241901099,0.04343184627289397
anxiety,psychologist_1_3,20270439,0.8846153846153846,0.8023255813953488,0.8897414709007201,0.8665265473443129,0.042272722187651976
anxiety,psychologist_2_3,20270421,0.8095238095238095,0.9883720930232558,0.9688053358517295,0.9560865414328468,0.03107420717887725
anxiety,psychologist_2_3,20270439,0.7980769230769231,0.9651162790697675,0.9559083933419903,0.9542460295793946,0.03192320814097744
anxiety,psychologist_full,20270421,0.8095238095238095,0.9883720930232558,0.9688053358517295,0.9511213062430763,0.03232491568113413
anxiety,psychologist_full,20270439,0.7980769230769231,0.9651162790697675,0.9559083933419903,0.9465994829635284,0.032524638796717985
conduct,caregiver_1_3,20270421,0.8758169934640523,0.8375,0.8890625000000001,0.932778898474498,0.0688273492761284
conduct,caregiver_1_3,20270439,0.8580645161290322,0.83125,0.8812500000000001,0.9305973908160688,0.0684086572882539
conduct,caregiver_2_3,20270421,0.8705035971223022,0.75625,0.85,0.9300946668895484,0.06721934431136864
conduct,caregiver_2_3,20270439,0.8731343283582089,0.73125,0.8390625,0.9307649483790017,0.06656135172307956
conduct,caregiver_full,20270421,0.8275862068965517,0.9,0.903125,0.9362537828933746,0.06690938666641279
conduct,caregiver_full,20270439,0.8218390804597702,0.89375,0.8984375,0.9347921013744802,0.06752945735062653
conduct,psychologist_1_3,20270421,0.8811188811188811,0.7875,0.8671875,0.9299251390013531,0.07021084054587166
conduct,psychologist_1_3,20270439,0.8741258741258742,0.78125,0.8625,0.9313365318244348,0.0699225154227325
conduct,psychologist_2_3,20270421,0.7927461139896373,0.95625,0.915625,0.9163661304940781,0.06657967265597607
conduct,psychologist_2_3,20270439,0.8074866310160428,0.94375,0.9156249999999999,0.9202697340663779,0.06685348158996778
conduct,psychologist_full,20270421,0.7806122448979592,0.95625,0.9109375,0.9190706687781273,0.0667999706065154
conduct,psychologist_full,20270439,0.8,0.95,0.9156249999999999,0.9164936567108027,0.06654994828634708
depression,caregiver_1_3,20270421,0.7380952380952381,0.7560975609756098,0.850410589533031,0.807214525426529,0.06013503889630824
