feature_space,n_features,notes
elimination_fs_replay_current_honest,320,built_from_existing_HBN_DSM5_columns
elimination_fs_dsm_specific,162,built_from_existing_HBN_DSM5_columns
elimination_fs_strict_clinical,158,built_from_existing_HBN_DSM5_columns
elimination_fs_anti_transdiagnostic,320,built_from_existing_HBN_DSM5_columns
elimination_fs_low_missingness,320,built_from_existing_HBN_DSM5_columns
elimination_fs_compact_specificity_first,161,built_from_existing_HBN_DSM5_columns
elimination_fs_clear_case_aligned,320,built_from_existing_HBN_DSM5_columns
elimination_fs_subtype_specific,7,built_from_existing_HBN_DSM5_columns
