domain,role,mode,active_model_id,candidate_source,source_path,model_family,feature_set_id,config_id,calibration,threshold_policy,threshold,seed,n_features,metadata_path,metadata_available,contract_feature_count,feature_columns_exact_match,metric_comparable,guardrail_ok,rejection_reason,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,feature_list_pipe
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,active_v12,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/data/hybrid_active_modes_freeze_v12/tables/hybrid_active_models_30_modes.csv,rf,same_inputs_v11,rf_plus_precision_recovery,none,recall_target_guard,0.5599999999999999,20270457,36,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/models/active_modes/adhd__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11/metadata.json,yes,36,yes,yes,yes,,0.7288135593220338,0.9148936170212766,0.917098445595855,0.9159960313085658,0.8113207547169812,0.953560798147944,0.7357647200905179,0.0718272090631022,adhd_onset_before_12|adhd_inatt_08_easily_distracted|adhd_impairment_home|adhd_impairment_school|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_06_avoids_sustained_effort|adhd_hypimp_02_leaves_seat|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_inatt_07_loses_things|adhd_hypimp_01_fidgets|adhd_hypimp_07_blurts_out|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_06_talks_excessively|adhd_inatt_04_fails_to_finish_tasks|adhd_hypimp_08_difficulty_waiting_turn|adhd_inatt_05_organization_difficulty|adhd_impairment_social|adhd_context_home|adhd_context_school|adhd_context_other|conduct_impairment_global|dmdd_outbursts_frequency_per_week|encopresis_event_frequency_per_month|enuresis_event_frequency_per_week|agor_impairment|enuresis_distress_impairment|mdd_impairment|gad_impairment|social_anxiety_impairment|sep_anx_impairment|dmdd_duration_months
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,active_v12,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/data/hybrid_active_modes_freeze_v12/tables/hybrid_active_models_30_modes.csv,rf,same_inputs_v11,rf_plus_precision_recovery,none,recall_target_guard,0.5399999999999999,20270439,69,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/models/active_modes/adhd__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11/metadata.json,yes,69,yes,yes,yes,,0.7107438016528925,0.9148936170212766,0.9093264248704664,0.9121100209458716,0.8,0.9534505567192152,0.7218077314082578,0.0723345735609915,adhd_onset_before_12|adhd_inatt_08_easily_distracted|adhd_impairment_home|adhd_impairment_school|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_inatt_06_avoids_sustained_effort|adhd_hypimp_02_leaves_seat|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_inatt_07_loses_things|adhd_hypimp_01_fidgets|adhd_hypimp_07_blurts_out|adhd_hypimp_05_driven_by_motor|adhd_hypimp_09_interrupts_intrudes|adhd_hypimp_06_talks_excessively|adhd_inatt_04_fails_to_finish_tasks|adhd_hypimp_08_difficulty_waiting_turn|adhd_inatt_05_organization_difficulty|adhd_impairment_social|conduct_06_steals_confronting_victim|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_02_initiates_fights|conduct_10_breaks_into_house_building_car|conduct_01_bullies_threatens_intimidates|conduct_07_forced_sex|conduct_09_property_destruction|conduct_05_physical_cruelty_animals|conduct_11_lies_to_obtain_or_avoid|conduct_15_truancy_before_13|conduct_08_fire_setting|conduct_13_stays_out_at_night_before_13|conduct_impairment_global|conduct_12_steals_without_confrontation|conduct_14_runs_away_overnight|dmdd_outbursts_frequency_per_week|adhd_context_home|encopresis_event_frequency_per_month|dmdd_irritable_between_outbursts|enuresis_event_frequency_per_week|mdd_03_weight_or_appetite_change|mdd_01_depressed_or_irritable_mood|gad_excessive_worry_multiple_areas|gad_difficulty_controlling_worry|mdd_02_loss_of_interest_or_pleasure|adhd_context_school|mdd_07_worthlessness_or_excessive_guilt|adhd_context_other|mdd_05_psychomotor_change|mdd_04_sleep_change|mdd_08_concentration_or_decision_difficulty|mdd_06_fatigue_or_low_energy|sep_anx_01_distress_on_separation|mdd_09_death_or_suicidal_thoughts|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_08_physical_complaints_on_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_07_separation_nightmares|sep_anx_05_fear_being_alone_without_attachment|social_anxiety_fear_being_observed|social_anxiety_almost_always_triggered|sep_anx_06_refuses_sleep_away_or_alone|social_anxiety_avoid_or_endure_intense|social_anxiety_fear_interactions|social_anxiety_fear_performance
adhd,caregiver,caregiver_full,adhd__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,active_v12,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/data/hybrid_active_modes_freeze_v12/tables/hybrid_active_models_30_modes.csv,rf,same_inputs_v11,rf_v11_calibrated_regularized,sigmoid,recall_target_guard,0.2199999999999999,20270457,53,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/models/active_modes/adhd__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11/metadata.json,yes,53,yes,yes,yes,,0.7131147540983607,0.925531914893617,0.9093264248704664,0.9174291698820416,0.8055555555555556,0.9517969352882816,0.7519655132018477,0.0704001944933502,adhd_context_other|adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_09_interrupts_intrudes|adhd_impairment_home|adhd_impairment_school|adhd_impairment_social|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|adhd_onset_before_12|age_years|agor_duration_months|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_12_steals_without_confrontation|conduct_14_runs_away_overnight|conduct_15_truancy_before_13|conduct_impairment_global|conduct_lpe_01_lack_remorse_guilt|conduct_lpe_02_callous_lack_empathy|conduct_lpe_04_shallow_deficient_affect|dmdd_duration_months|dmdd_outbursts_frequency_per_week|eng_adhd_context_spread|eng_adhd_core_mean|eng_anxiety_core_mean|eng_conduct_core_mean|eng_depression_core_mean|eng_elimination_intensity|eng_externalizing_index|eng_internalizing_index|eng_mood_discrepancy|mdd_duration_weeks|pdd_duration_months_child|sep_anx_duration_weeks|social_anxiety_duration_months
adhd,psychologist,psychologist_1_3,adhd__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,active_v12,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/data/hybrid_active_modes_freeze_v12/tables/hybrid_active_models_30_modes.csv,rf,same_inputs_v11,rf_v11_calibrated_regularized,none,precision_recovery,0.5499999999999999,20270439,9,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/models/active_modes/adhd__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11/metadata.json,yes,9,yes,yes,yes,,0.6904761904761905,0.925531914893617,0.8989637305699482,0.9122478227317824,0.7909090909090909,0.949729908499614,0.7180700559629031,0.0786775125764627,adhd_onset_before_12|adhd_inatt_08_easily_distracted|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_03_seems_not_listening|adhd_hypimp_04_cannot_play_quietly|adhd_inatt_07_loses_things|adhd_hypimp_02_leaves_seat|adhd_inatt_09_forgetful_daily_activities
adhd,psychologist,psychologist_2_3,adhd__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,active_v12,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/data/hybrid_active_modes_freeze_v12/tables/hybrid_active_models_30_modes.csv,rf,same_inputs_v11,rf_v11_calibrated_regularized,isotonic,precision_recovery,0.2799999999999999,20270457,101,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/models/active_modes/adhd__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11/metadata.json,yes,101,yes,yes,yes,,0.8333333333333334,0.851063829787234,0.9585492227979274,0.9048065262925808,0.8421052631578947,0.9720675779958108,0.9313831206397698,0.0405985018273197,adhd_onset_before_12|adhd_inatt_08_easily_distracted|adhd_impairment_school|adhd_not_better_explained_other_mental|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_02_sustained_attention_difficulty|adhd_impairment_home|adhd_inatt_03_seems_not_listening|adhd_inatt_09_forgetful_daily_activities|adhd_hypimp_02_leaves_seat|adhd_hypimp_04_cannot_play_quietly|adhd_inatt_07_loses_things|adhd_inatt_01_attention_to_detail_errors|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_inatt_04_fails_to_finish_tasks|adhd_impairment_social|adhd_hypimp_07_blurts_out|adhd_hypimp_01_fidgets|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_05_organization_difficulty|conduct_03_weapon_use|conduct_impairment_global|conduct_06_steals_confronting_victim|conduct_04_physical_cruelty_people|conduct_02_initiates_fights|conduct_10_breaks_into_house_building_car|conduct_07_forced_sex|conduct_09_property_destruction|conduct_01_bullies_threatens_intimidates|conduct_11_lies_to_obtain_or_avoid|conduct_05_physical_cruelty_animals|conduct_08_fire_setting|adhd_context_home|conduct_15_truancy_before_13|conduct_13_stays_out_at_night_before_13|adhd_context_other|conduct_12_steals_without_confrontation|conduct_14_runs_away_overnight|dmdd_outbursts_frequency_per_week|adhd_context_school|encopresis_event_frequency_per_month|dmdd_irritable_between_outbursts|enuresis_event_frequency_per_week|mdd_03_weight_or_appetite_change|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|mdd_07_worthlessness_or_excessive_guilt|mdd_05_psychomotor_change|mdd_04_sleep_change|mdd_08_concentration_or_decision_difficulty|sep_anx_01_distress_on_separation|mdd_06_fatigue_or_low_energy|mdd_09_death_or_suicidal_thoughts|sep_anx_02_worry_losing_attachment_figures|sep_anx_08_physical_complaints_on_separation|sep_anx_03_worry_event_causing_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_07_separation_nightmares|sep_anx_05_fear_being_alone_without_attachment|social_anxiety_fear_being_observed|social_anxiety_almost_always_triggered|sep_anx_06_refuses_sleep_away_or_alone|social_anxiety_avoid_or_endure_intense|social_anxiety_fear_interactions|social_anxiety_fear_performance|social_anxiety_fear_negative_evaluation|agor_escape_help_cognition|agor_avoid_or_need_companion|agor_impairment|enuresis_distress_impairment|gad_assoc_03_concentration_difficulty|gad_assoc_02_fatigue|gad_assoc_01_restlessness|gad_assoc_04_irritability|mdd_impairment|gad_assoc_05_muscle_tension|gad_assoc_06_sleep_problems|gad_impairment|social_anxiety_impairment|sep_anx_impairment|dmdd_duration_months|agor_duration_months|encopresis_duration_months_consecutive|enuresis_duration_months_consecutive|gad_duration_months|mdd_duration_weeks|agor_fear_02_open_spaces|sep_anx_duration_weeks|pdd_duration_months_child|agor_fear_01_public_transport|social_anxiety_duration_months|dmdd_outbursts_severity|agor_fear_03_enclosed_spaces|agor_fear_05_outside_home_alone|agor_fear_04_crowds_queues|pdd_depressed_or_irritable_mood
adhd,psychologist,psychologist_full,adhd__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,active_v12,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/data/hybrid_active_modes_freeze_v12/tables/hybrid_active_models_30_modes.csv,rf,same_inputs_v11,rf_v11_guardrail_randomized,none,precision_recovery,0.6499999999999999,20270439,27,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/models/active_modes/adhd__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11/metadata.json,yes,27,yes,yes,yes,,0.7641509433962265,0.8617021276595744,0.9352331606217616,0.898467644140668,0.81,0.972935729247051,0.9070592804693738,0.0878952629711962,adhd_context_home|adhd_context_other|adhd_context_school|adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_impairment_home|adhd_impairment_school|adhd_impairment_social|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|adhd_not_better_explained_other_mental|adhd_not_psychosis_exclusive|adhd_onset_before_12
anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,active_v12,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/data/hybrid_active_modes_freeze_v12/tables/hybrid_active_models_30_modes.csv,rf,same_inputs_v11,rf_v11_calibrated_regularized,sigmoid,precision_recovery,0.6150389535154729,20270439,58,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/models/active_modes/anxiety__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11/metadata.json,yes,58,yes,yes,yes,,0.8809523809523809,0.8604651162790697,0.9746192893401016,0.9175422028095856,0.8705882352941177,0.9795773816550584,0.9306855724291948,0.0384330328370196,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_05_physical_cruelty_animals|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_08_fire_setting|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_12_steals_without_confrontation|conduct_13_stays_out_at_night_before_13|conduct_14_runs_away_overnight|conduct_15_truancy_before_13|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|encopresis_event_frequency_per_month|eng_adhd_context_spread|eng_adhd_core_mean|eng_anxiety_core_mean|eng_conduct_core_mean|eng_depression_core_mean|eng_elimination_intensity|eng_externalizing_index|eng_internalizing_index|eng_mood_discrepancy|enuresis_event_frequency_per_week|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|sep_anx_01_distress_on_separation
anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,active_v12,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/data/hybrid_active_modes_freeze_v12/tables/hybrid_active_models_30_modes.csv,rf,same_inputs_v11,rf_v11_guardrail_very_random,none,f1_ba_conservative,0.5509721185330153,20270421,59,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/models/active_modes/anxiety__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11/metadata.json,yes,59,yes,yes,yes,,0.8554216867469879,0.8255813953488372,0.9695431472081218,0.8975622712784795,0.8402366863905325,0.9643637114862472,0.8985296515822613,0.1324680784221708,adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_07_loses_things|age_years|agor_avoid_or_need_companion|agor_duration_months|agor_escape_help_cognition|agor_fear_01_public_transport|agor_fear_02_open_spaces|agor_fear_03_enclosed_spaces|agor_impairment|dmdd_duration_months|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|gad_assoc_01_restlessness|gad_assoc_02_fatigue|gad_assoc_03_concentration_difficulty|gad_assoc_04_irritability|gad_assoc_05_muscle_tension|gad_assoc_06_sleep_problems|gad_difficulty_controlling_worry|gad_duration_months|gad_excessive_worry_multiple_areas|gad_impairment|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|mdd_duration_weeks|mdd_impairment|pdd_duration_months_child|sep_anx_01_distress_on_separation|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_05_fear_being_alone_without_attachment|sep_anx_06_refuses_sleep_away_or_alone|sep_anx_07_separation_nightmares|sep_anx_08_physical_complaints_on_separation|sep_anx_duration_weeks|sep_anx_impairment|social_anxiety_almost_always_triggered|social_anxiety_avoid_or_endure_intense|social_anxiety_duration_months|social_anxiety_fear_being_observed|social_anxiety_fear_interactions|social_anxiety_fear_negative_evaluation|social_anxiety_fear_performance|social_anxiety_impairment
anxiety,caregiver,caregiver_full,anxiety__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,active_v12,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/data/hybrid_active_modes_freeze_v12/tables/hybrid_active_models_30_modes.csv,rf,same_inputs_v11,rf_v11_guardrail_very_random,none,f1_ba_conservative,0.5299999999999999,20270439,126,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/models/active_modes/anxiety__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11/metadata.json,yes,126,yes,yes,yes,,0.8235294117647058,0.813953488372093,0.9619289340101524,0.8879412111911227,0.8187134502923976,0.9536654468185574,0.8531067850920091,0.1363188022729681,adhd_context_home|adhd_context_other|adhd_context_school|adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_impairment_home|adhd_impairment_school|adhd_impairment_social|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|adhd_onset_before_12|age_years|agor_almost_always_triggered|agor_avoid_or_need_companion|agor_duration_months|agor_escape_help_cognition|agor_fear_01_public_transport|agor_fear_02_open_spaces|agor_fear_03_enclosed_spaces|agor_fear_04_crowds_queues|agor_fear_05_outside_home_alone|agor_impairment|conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_05_physical_cruelty_animals|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_08_fire_setting|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_12_steals_without_confrontation|conduct_13_stays_out_at_night_before_13|conduct_14_runs_away_overnight|conduct_15_truancy_before_13|conduct_impairment_global|conduct_lpe_01_lack_remorse_guilt|conduct_lpe_02_callous_lack_empathy|conduct_lpe_03_unconcerned_performance|conduct_lpe_04_shallow_deficient_affect|conduct_onset_before_10|dmdd_context_home|dmdd_context_peers|dmdd_context_school|dmdd_duration_months|dmdd_irritable_between_outbursts|dmdd_onset_before_10|dmdd_outbursts_frequency_per_week|dmdd_outbursts_severity|encopresis_constipation_present|encopresis_duration_months_consecutive|encopresis_event_frequency_per_month|encopresis_visible_deposition_pattern|enuresis_distress_impairment|enuresis_diurnal|enuresis_duration_months_consecutive|enuresis_event_frequency_per_week|enuresis_nocturnal|enuresis_primary_course|enuresis_secondary_course|gad_assoc_01_restlessness|gad_assoc_02_fatigue|gad_assoc_03_concentration_difficulty|gad_assoc_04_irritability|gad_assoc_05_muscle_tension|gad_assoc_06_sleep_problems|gad_difficulty_controlling_worry|gad_duration_months|gad_excessive_worry_multiple_areas|gad_impairment|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|mdd_duration_weeks|mdd_impairment|pdd_01_appetite_change|pdd_02_sleep_change|pdd_03_low_energy|pdd_04_low_self_esteem|pdd_05_concentration_difficulty|pdd_06_hopelessness|pdd_depressed_or_irritable_mood|pdd_duration_months_child|pdd_impairment|pdd_no_gap_gt_2_months|sep_anx_01_distress_on_separation|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_05_fear_being_alone_without_attachment|sep_anx_06_refuses_sleep_away_or_alone|sep_anx_07_separation_nightmares|sep_anx_08_physical_complaints_on_separation|sep_anx_duration_weeks|sep_anx_impairment|social_anxiety_almost_always_triggered|social_anxiety_avoid_or_endure_intense|social_anxiety_children_peer_only_flag|social_anxiety_duration_months|social_anxiety_fear_being_observed|social_anxiety_fear_interactions|social_anxiety_fear_negative_evaluation|social_anxiety_fear_performance|social_anxiety_impairment
anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,active_v12,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/data/hybrid_active_modes_freeze_v12/tables/hybrid_active_models_30_modes.csv,rf,same_inputs_v11,rf_v11_guardrail_very_random,none,recall_target_guard,0.5336125226848083,20270457,14,C:/Users/andre/Documents/Workspace Academic/Backend Tesis/cognia_app_final_rf_plus_maximize/models/active_modes/anxiety__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11/metadata.json,yes,14,yes,yes,yes,,0.8452380952380952,0.8255813953488372,0.967005076142132,0.8962932357454846,0.8352941176470589,0.9639652933537952,0.8800940637253928,0.1195811534254709,gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|sep_anx_01_distress_on_separation|sep_anx_02_worry_losing_attachment_figures|sep_anx_03_worry_event_causing_separation|sep_anx_04_refuses_leaving_home_school|sep_anx_05_fear_being_alone_without_attachment|sep_anx_06_refuses_sleep_away_or_alone|sep_anx_07_separation_nightmares|sep_anx_08_physical_complaints_on_separation|social_anxiety_almost_always_triggered|social_anxiety_avoid_or_endure_intense|social_anxiety_fear_being_observed|social_anxiety_fear_interactions
