domain,mode,source_campaign,model_family,feature_set_id,calibration,threshold_policy,threshold,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,quality_label,overfit_gap_train_val_ba,final_class,config_id,n_features
conduct,psychologist_2_3,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,precision_recovery,0.59,0.8658536585365854,0.8875,0.93125,0.909375,0.8765432098765432,0.9752148437499999,0.9491031031044495,0.06207127420985166,bueno,0.018846189800837854,PRIMARY_WITH_CAVEAT,rf_plus_train_only_oversample,43.0
conduct,psychologist_full,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,precision_recovery,0.5399999999999999,0.8562874251497006,0.89375,0.925,0.909375,0.8746177370030581,0.9748046875,0.9484107860246479,0.062206107554836056,bueno,0.0287511648000901,PRIMARY_WITH_CAVEAT,rf_plus_deep_controlled,56.0
depression,caregiver_1_3,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,recall_target_guard,0.5399999999999999,0.8085106382978723,0.926829268292683,0.9547738693467337,0.9408015688197083,0.8636363636363636,0.9770805245740899,0.8381279998498211,0.05174349233009249,bueno,0.052485290195926515,PRIMARY_WITH_CAVEAT,rf_plus_train_only_oversample,42.0
depression,caregiver_2_3,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,precision_recovery,0.5199999999999999,0.8470588235294118,0.8780487804878049,0.9673366834170855,0.9226927319524452,0.8622754491017964,0.9787044981002574,0.8580435913991299,0.04650110697156305,bueno,0.054758567941707637,ROBUST_PRIMARY,rf_plus_deep_controlled,69.0
depression,caregiver_full,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,isotonic,pareto_f1_recall_precision,0.4699999999999999,0.8089887640449438,0.8780487804878049,0.957286432160804,0.9176676063243044,0.8421052631578947,0.9747824488295134,0.8627960639110135,0.041585212882898286,aceptable,0.02171408724238333,PRIMARY_WITH_CAVEAT,rf_v11_calibrated_regularized,27.0
depression,psychologist_1_3,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,recall_target_guard,0.48379636405158694,0.8020833333333334,0.9390243902439024,0.9522613065326633,0.9456428483882828,0.8651685393258427,0.9776320627527884,0.8626651727760357,0.046624319490745504,bueno,0.03825671088876159,PRIMARY_WITH_CAVEAT,rf_plus_deep_controlled,11.0
depression,psychologist_2_3,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,precision_recovery,0.57,0.8571428571428571,0.8780487804878049,0.9698492462311558,0.9239490133594803,0.8674698795180723,0.9788577031498958,0.8578131325823328,0.04890516671652412,bueno,0.05062715928068229,ROBUST_PRIMARY,rf_plus_train_only_oversample,83.0
depression,psychologist_full,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,sigmoid,recall_target_guard,0.36271068693385466,0.7849462365591398,0.8902439024390244,0.949748743718593,0.9199963230788086,0.8342857142857143,0.9717183478367446,0.8245791776503679,0.04875164344208528,aceptable,0.041926538415485215,PRIMARY_WITH_CAVEAT,rf_v11_calibrated_regularized,150.0
elimination,caregiver_1_3,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,precision_recovery,0.72,0.7931034482758621,0.8846153846153846,0.9719626168224299,0.9282890007189073,0.8363636363636363,0.9563039180445723,0.889206555569716,0.07581351210595827,aceptable,-0.010165515154758165,REJECT_AS_PRIMARY,rf_v11_guardrail_randomized,4.0
elimination,caregiver_2_3,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,precision_recovery,0.6799999999999999,0.8070175438596491,0.8846153846153846,0.9742990654205608,0.9294572250179727,0.8440366972477065,0.9527093817397556,0.8711733298154449,0.10989239760085073,aceptable,-0.027245030881790644,HOLD_FOR_LIMITATION,rf_v11_guardrail_randomized,7.0
elimination,caregiver_full,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,precision_recovery,0.84,0.746268656716418,0.9615384615384616,0.9602803738317757,0.9609094176851186,0.8403361344537815,0.9767703091301222,0.7114713669912246,0.036508747399788904,aceptable,0.005500935427654063,PRIMARY_WITH_CAVEAT,rf_v11_balanced_regularized,9.0
elimination,psychologist_1_3,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,precision_recovery,0.6799999999999999,0.7352941176470589,0.9615384615384616,0.9579439252336449,0.9597411933860532,0.8333333333333334,0.9768826383896477,0.7279692033285373,0.03366288075898084,aceptable,0.01640861382101233,HOLD_FOR_LIMITATION,rf_v11_recall_guarded,5.0
elimination,psychologist_2_3,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,none,recall_target_guard,0.82,0.7575757575757576,0.9615384615384616,0.9626168224299065,0.9620776419841841,0.847457627118644,0.978859633357297,0.7516809777444127,0.03511408665786576,aceptable,0.016407704697044223,PRIMARY_WITH_CAVEAT,rf_plus_feature_bagging,9.0
elimination,psychologist_full,hybrid_final_rf_plus_maximize_metrics_v1,rf,same_inputs_v11,sigmoid,recall_target_guard,0.4099999999999999,0.7352941176470589,0.9615384615384616,0.9579439252336449,0.9597411933860532,0.8333333333333334,0.9790393601725377,0.7705235352464344,0.03000959015013661,aceptable,0.014351031668464853,HOLD_FOR_LIMITATION,rf_v11_calibrated_regularized,12.0
