mode,domain,metric,band,value
caregiver,depression,npv,uncertain,0.75
caregiver,depression,uncertainty_rate,all,0.0410958904109589
caregiver,depression,caveat_strong_rate,all,0.0
caregiver,depression,overconfident_rate,all,0.0027397260273972603
caregiver,elimination,band_rate,low,0.5917808219178082
caregiver,elimination,calibration_gap,low,0.03156870103406684
caregiver,elimination,avg_confidence,low,87.3882495278404
caregiver,elimination,ppv,low,
caregiver,elimination,npv,low,0.7638888888888888
caregiver,elimination,band_rate,moderate,0.00821917808219178
caregiver,elimination,calibration_gap,moderate,0.30781958500544226
caregiver,elimination,avg_confidence,moderate,26.90946647099086
caregiver,elimination,ppv,moderate,1.0
caregiver,elimination,npv,moderate,0.0
caregiver,elimination,band_rate,high,0.3698630136986301
caregiver,elimination,calibration_gap,high,0.035207839806874586
caregiver,elimination,avg_confidence,high,79.99352725094586
caregiver,elimination,ppv,high,0.9851851851851852
caregiver,elimination,npv,high,
caregiver,elimination,band_rate,uncertain,0.030136986301369864
caregiver,elimination,calibration_gap,uncertain,0.12233960628509521
caregiver,elimination,avg_confidence,uncertain,19.13182289569409
caregiver,elimination,ppv,uncertain,
caregiver,elimination,npv,uncertain,0.2727272727272727
caregiver,elimination,uncertainty_rate,all,0.030136986301369864
caregiver,elimination,caveat_strong_rate,all,1.0
caregiver,elimination,overconfident_rate,all,0.0273972602739726
psychologist,adhd,band_rate,low,0.36164383561643837
psychologist,adhd,calibration_gap,low,0.04193585205474064
psychologist,adhd,avg_confidence,low,90.18307769584082
psychologist,adhd,ppv,low,
psychologist,adhd,npv,low,0.8939393939393939
psychologist,adhd,band_rate,moderate,0.00821917808219178
psychologist,adhd,calibration_gap,moderate,0.3920997303693259
psychologist,adhd,avg_confidence,moderate,21.313455077508113
psychologist,adhd,ppv,moderate,1.0
psychologist,adhd,npv,moderate,0.0
psychologist,adhd,band_rate,high,0.4465753424657534
psychologist,adhd,calibration_gap,high,0.033131192390140285
psychologist,adhd,avg_confidence,high,95.43199269785946
psychologist,adhd,ppv,high,1.0
psychologist,adhd,npv,high,
psychologist,adhd,band_rate,uncertain,0.18356164383561643
psychologist,adhd,calibration_gap,uncertain,0.048432491075025785
psychologist,adhd,avg_confidence,uncertain,43.01142435472677
psychologist,adhd,ppv,uncertain,1.0
psychologist,adhd,npv,uncertain,0.574468085106383
psychologist,adhd,uncertainty_rate,all,0.18356164383561643
psychologist,adhd,caveat_strong_rate,all,0.0
psychologist,adhd,overconfident_rate,all,0.005479452054794521
psychologist,anxiety,band_rate,low,0.0
psychologist,anxiety,band_rate,moderate,0.6876712328767123
psychologist,anxiety,calibration_gap,moderate,0.03445197534770547
psychologist,anxiety,avg_confidence,moderate,28.51742081699025
