disorder,champion_version,challenger_version,champion_dataset,challenger_dataset,champion_scope,challenger_scope,challenger_status,challenger_promoted,challenger_notes,champion_val_balanced_accuracy,champion_val_recall,champion_val_specificity,champion_val_f1,champion_test_balanced_accuracy,champion_test_recall,champion_test_specificity,champion_test_f1,challenger_val_balanced_accuracy,challenger_val_recall,challenger_val_specificity,challenger_val_f1,challenger_test_balanced_accuracy,challenger_test_recall,challenger_test_specificity,challenger_test_f1,delta_val_balanced_accuracy,delta_val_recall,delta_val_specificity,delta_val_f1,delta_test_balanced_accuracy,delta_test_recall,delta_test_specificity,delta_test_f1
conduct,rf_conduct_v1_baseline,rf_conduct_v2_externalizing_focus,dataset_conduct_minimal,dataset_conduct_clinical,strict_no_leakage,strict_no_leakage,rejected,no,Externalizing-focused conduct feature subset (ICUT/ARI/CBCL/SDQ emphasis).,0.9011514441842311,0.9047619047619048,0.8975409836065574,0.7238095238095238,0.8868071818891491,0.9047619047619048,0.8688524590163934,0.6785714285714286,0.90807962529274,0.8571428571428571,0.9590163934426229,0.8181818181818182,0.8481654957064793,0.7619047619047619,0.9344262295081968,0.7111111111111111,0.006928181108508902,-0.04761904761904767,0.061475409836065475,0.09437229437229444,-0.03864168618266983,-0.1428571428571429,0.06557377049180335,0.032539682539682535
conduct,rf_conduct_v1_baseline,rf_conduct_v3_balanced_subsample,dataset_conduct_minimal,dataset_conduct_minimal,strict_no_leakage,strict_no_leakage,completed,no,Minimal conduct dataset with aggressive pruning and sensitivity-priority threshold.,0.9011514441842311,0.9047619047619048,0.8975409836065574,0.7238095238095238,0.8868071818891491,0.9047619047619048,0.8688524590163934,0.6785714285714286,0.8937353629976581,0.8571428571428571,0.930327868852459,0.7578947368421053,0.8576307572209212,0.8095238095238095,0.9057377049180327,0.6868686868686869,-0.007416081186572998,-0.04761904761904767,0.032786885245901565,0.034085213032581496,-0.029176424668227896,-0.09523809523809523,0.03688524590163933,0.008297258297258248
depression,rf_depression_v1_baseline,rf_depression_v2_feature_pruned,dataset_depression_parent,dataset_depression_parent,strict_no_leakage,strict_no_leakage,rejected,no,Parent-focused depression model with MI pruning and calibrated probabilities.,0.8875,0.9,0.875,0.6067415730337079,0.8796875,0.9,0.859375,0.5806451612903226,0.885546875,0.9,0.87109375,0.6,0.8875,0.9,0.875,0.6067415730337079,-0.001953125,0.0,-0.00390625,-0.006741573033707926,0.0078125,0.0,0.015625,0.026096411743385284
depression,rf_depression_v1_baseline,rf_depression_v3_calibrated,dataset_depression_parent,dataset_depression_combined,strict_no_leakage,strict_no_leakage,completed,no,Combined depression features with stronger recall objective and isotonic calibration.,0.8875,0.9,0.875,0.6067415730337079,0.8796875,0.9,0.859375,0.5806451612903226,0.8688802083333333,0.8666666666666667,0.87109375,0.5842696629213483,0.885546875,0.9,0.87109375,0.6,-0.018619791666666607,-0.033333333333333326,-0.00390625,-0.022471910112359605,0.005859375,0.0,0.01171875,0.019354838709677358
elimination,rf_elimination_v1_baseline,rf_elimination_v4_experimental_research,dataset_elimination_core,dataset_elimination_core,strict_no_leakage,research_extended,rejected,no,Research-extended elimination challenger for controlled comparison (experimental only). | experimental,0.6409897292250233,0.6470588235294118,0.6349206349206349,0.2972972972972973,0.699813258636788,0.7647058823529411,0.6349206349206349,0.3421052631578947,0.8399859943977591,0.8823529411764706,0.7976190476190477,0.5217391304347826,0.8109243697478992,0.7647058823529411,0.8571428571428571,0.5416666666666666,0.19899626517273583,0.23529411764705876,0.1626984126984128,0.22444183313748528,0.11111111111111116,0.0,0.2222222222222222,0.19956140350877194
elimination,rf_elimination_v1_baseline,rf_elimination_v2_missingness_augmented,dataset_elimination_core,dataset_elimination_core,strict_no_leakage,strict_no_leakage,completed,no,Elimination core model with explicit missingness indicators (exploratory).,0.6409897292250233,0.6470588235294118,0.6349206349206349,0.2972972972972973,0.699813258636788,0.7647058823529411,0.6349206349206349,0.3421052631578947,0.6406395891690009,0.7058823529411765,0.5753968253968254,0.2909090909090909,0.6768207282913166,0.7941176470588235,0.5595238095238095,0.313953488372093,-0.0003501400560224077,0.05882352941176472,-0.059523809523809534,-0.006388206388206419,-0.02299253034547144,0.02941176470588236,-0.07539682539682535,-0.028151774785801664
elimination,rf_elimination_v1_baseline,rf_elimination_v3_proxy_pruned,dataset_elimination_core,dataset_elimination_items,strict_no_leakage,strict_no_leakage,completed,no,Elimination items reduced to interpretable proxy subset (exploratory).,0.6409897292250233,0.6470588235294118,0.6349206349206349,0.2972972972972973,0.699813258636788,0.7647058823529411,0.6349206349206349,0.3421052631578947,0.6197478991596639,0.38235294117647056,0.8571428571428571,0.3132530120481928,0.5108543417366946,0.17647058823529413,0.8452380952380952,0.1518987341772152,-0.0212418300653594,-0.26470588235294124,0.2222222222222222,0.015955714750895467,-0.18895891690009337,-0.588235294117647,0.21031746031746035,-0.1902065289806795
