domain,module,feature_count,caregiver_askable_count,psychologist_askable_count,clinician_gate_count,recommended_yes,recommended_review
ADHD,context,3,3,3,0,3,0
ADHD,core_hyperimpulsive,9,9,9,0,9,0
ADHD,core_inattention,9,9,9,0,9,0
ADHD,derived,9,0,9,9,9,0
ADHD,exclusion,2,0,2,2,0,2
ADHD,history,1,1,1,0,1,0
ADHD,impairment,3,3,3,0,3,0
Anxiety,agoraphobia,15,10,15,5,0,15
Anxiety,derived,3,0,3,3,3,0
Anxiety,generalized_anxiety,14,10,14,4,12,2
Anxiety,separation_anxiety,12,10,12,2,11,1
Anxiety,social_anxiety,13,9,13,4,10,3
Conduct,core_15_symptoms,15,15,15,0,15,0
Conduct,derived,10,0,10,10,10,0
Conduct,exclusion,1,0,1,1,0,1
Conduct,history,1,1,1,0,1,0
Conduct,impairment,1,1,1,0,1,0
Conduct,limited_prosocial_emotions,4,4,4,0,4,0
Depression,dmdd,16,9,16,7,0,16
Depression,major_depressive_episode,17,11,17,6,14,3
Depression,persistent_depressive_disorder,15,10,15,5,0,15
Elimination,derived,4,0,4,4,4,0
Elimination,encopresis,7,4,7,3,6,1
Elimination,enuresis,9,7,9,2,8,1
