final_operational_class,confidence_band,size
ACTIVE_HIGH_CONFIDENCE,high,1
ACTIVE_LIMITED_USE,limited,15
ACTIVE_MODERATE_CONFIDENCE,high,12
ACTIVE_MODERATE_CONFIDENCE,moderate,2
