domain,mode,active_model_id,source_campaign,feature_set_id_old,config_id_old,calibration_old,threshold_policy_old,threshold_old,seed_old,n_features_old,precision_old,recall_old,specificity_old,balanced_accuracy_old,f1_old,roc_auc_old,pr_auc_old,brier_old,dataset_ease_flag,operational_caveat,promotion_decision,feature_set_id_new,config_id_new,calibration_new,threshold_policy_new,threshold_new,seed_new,n_features_new,precision_new,recall_new,specificity_new,balanced_accuracy_new,f1_new,roc_auc_new,pr_auc_new,brier_new,quality_label,overfit_gap_train_val_ba,generalization_gap_val_holdout_ba,headline_cap_ok,generalization_ok,delta_precision,delta_recall,delta_specificity,delta_balanced_accuracy,delta_f1,delta_roc_auc,delta_pr_auc,delta_brier
conduct,caregiver_2_3,conduct__caregiver_2_3__rebuild_v2__rf__engineered_compact,rebuild_v2,engineered_compact,rf_baseline,isotonic,recall_constrained,0.5049999999999999,20261119,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012744324646449,yes,possible easy-dataset inflation,PROMOTE_NOW,engineered_compact_no_shortcuts_v1,rf_balanced_subsample_v1,none,precision_min_recall,0.6849999999999999,20270421,41,0.9280575539568345,0.80625,0.96875,0.8875,0.862876254180602,0.9758593750000001,0.9476529887411713,0.05981340060933398,bueno,0.06710845089969886,0.011988626344560105,yes,yes,-0.07194244604316546,-0.19374999999999998,-0.03125,-0.11250000000000004,-0.137123745819398,-0.024140624999999916,-0.05234701125882868,0.058538968144689084
conduct,caregiver_full,conduct__caregiver_full__rebuild_v2__rf__engineered_compact,rebuild_v2,engineered_compact,rf_balanced_subsample,isotonic,precision_min_recall,0.5049999999999999,20261101,53,1.0,0.99375,1.0,0.996875,0.9968652037617556,1.0,1.0,0.0013267998081757,yes,possible easy-dataset inflation,PROMOTE_NOW,engineered_compact_no_shortcuts_v1,rf_regularized_v1,none,balanced,0.44499999999999995,20270421,47,0.8076923076923077,0.91875,0.890625,0.9046875,0.8596491228070176,0.9746874999999999,0.9499594639068576,0.062285939971415946,aceptable,0.025495425886072898,0.023485073914065735,yes,yes,-0.1923076923076923,-0.07500000000000007,-0.109375,-0.09218749999999998,-0.13721608095473803,-0.02531250000000007,-0.05004053609314241,0.06095914016324025
conduct,psychologist_2_3,conduct__psychologist_2_3__rebuild_v2__rf__engineered_compact,rebuild_v2,engineered_compact,rf_balanced_subsample,isotonic,recall_constrained,0.5049999999999999,20261101,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0010954785521607,yes,possible easy-dataset inflation,PROMOTE_NOW,engineered_compact_no_shortcuts_v1,rf_regularized_v1,isotonic,balanced,0.37999999999999995,20270421,43,0.8846153846153846,0.8625,0.94375,0.903125,0.8734177215189873,0.9715234374999999,0.9324443838258124,0.059815766088824475,bueno,0.018869011114638234,0.023254827190971605,yes,yes,-0.11538461538461542,-0.13749999999999996,-0.05625000000000002,-0.09687500000000004,-0.12658227848101267,-0.02847656250000008,-0.0675556161741876,0.05872028753666377
conduct,psychologist_full,conduct__psychologist_full__rebuild_v2__rf__engineered_compact,rebuild_v2,engineered_compact,rf_baseline,isotonic,recall_constrained,0.5049999999999999,20261119,62,1.0,0.99375,1.0,0.996875,0.9968652037617556,1.0,1.0,0.001248309268289,yes,possible easy-dataset inflation,PROMOTE_NOW,engineered_compact_no_shortcuts_v1,rf_balanced_subsample_v1,isotonic,balanced,0.33499999999999996,20270421,56,0.8439306358381503,0.9125,0.915625,0.9140625,0.8768768768768769,0.9756347656250001,0.9413294156917726,0.06019684142478342,aceptable,0.052635407310920534,0.015608927731734612,yes,yes,-0.1560693641618497,-0.08125000000000004,-0.08437499999999998,-0.08281249999999996,-0.1199883268848787,-0.024365234374999933,-0.05867058430822736,0.05894853215649442
