domain,mode,source_campaign,model_family,feature_set_id,calibration,threshold_policy,threshold,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,quality_label,overfit_gap_train_val_ba,final_class,config_id,n_features,role,final_operational_class,overfit_flag,generalization_flag,dataset_ease_flag,confidence_pct,confidence_band,operational_caveat,recommended_for_default_use,role_normalized,generalization_risk_flag,overfit_risk_flag,easy_dataset_flag,secondary_metric_anomaly_flag,secondary_metric_peak,secondary_metric_anomaly_reasons,secondary_anomaly_resolution,mode_fragility_flag,shortcut_risk_flag,calibration_concern_flag,legacy_final_class,normalized_final_class,classification_reason_code,classification_rationale,class_transition
adhd,caregiver_1_3,rebuild_v2,rf,engineered_full,isotonic,default_0_5,0.5,0.6212121212121212,0.8723404255319149,0.8704663212435233,0.8714033733877191,0.7256637168141593,0.9276402822180576,0.6319179403335605,0.0868278728044155,malo,0.0476426707823467,REJECT_AS_PRIMARY,,,caregiver,ACTIVE_LIMITED_USE,no,yes,no,3.4,limited,shortcut risk; mode fragility; low precision,no,guardian,no,no,no,no,0.9276402822180576,none,not_required,yes,yes,no,REJECT_AS_PRIMARY,REJECT_AS_PRIMARY,hard_blocker_easy_or_shortcut,"metrics[ba=0.871,f1=0.726,p=0.621,r=0.872,brier=0.087]; mode_fragility_flag; shortcut_risk_flag; class=REJECT_AS_PRIMARY",unchanged
adhd,caregiver_2_3,rebuild_v2,rf,engineered_compact,isotonic,default_0_5,0.5,0.7017543859649122,0.851063829787234,0.911917098445596,0.881490464116415,0.7692307692307693,0.9492613824275162,0.7044217957677258,0.072567246649348,malo,0.0032980560761399,HOLD_FOR_LIMITATION,,,caregiver,ACTIVE_LIMITED_USE,no,yes,no,26.3,limited,mode fragility; low precision,no,guardian,no,no,no,no,0.9492613824275162,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.881,f1=0.769,p=0.702,r=0.851,brier=0.073]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
adhd,caregiver_full,rebuild_v2,rf,engineered_compact,isotonic,recall_constrained,0.4049999999999999,0.7403846153846154,0.8191489361702128,0.9300518134715026,0.8746003748208577,0.7777777777777778,0.9506394002866276,0.7118788252075036,0.0687218130961477,malo,0.0213225296733178,HOLD_FOR_LIMITATION,,,caregiver,ACTIVE_LIMITED_USE,no,yes,no,32.3,limited,mode fragility; low precision,no,guardian,no,no,no,no,0.9506394002866276,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.875,f1=0.778,p=0.740,r=0.819,brier=0.069]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
adhd,psychologist_1_3,rebuild_v2,rf,engineered_compact,isotonic,balanced,0.18,0.6148148148148148,0.8829787234042553,0.8652849740932642,0.8741318487487597,0.7248908296943232,0.9259453202513506,0.6375451264670481,0.0841732751976726,malo,0.0020027192885754,HOLD_FOR_LIMITATION,,,psychologist,ACTIVE_LIMITED_USE,no,yes,no,25.9,limited,mode fragility; low precision,no,psychologist,no,no,no,no,0.9259453202513506,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.874,f1=0.725,p=0.615,r=0.883,brier=0.084]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
adhd,psychologist_2_3,rebuild_v2,rf,engineered_pruned,isotonic,precision_min_recall,0.5049999999999999,0.7289719626168224,0.8297872340425532,0.9248704663212436,0.8773288501818983,0.7761194029850746,0.9539604233270864,0.7337389775224177,0.0680043361765456,malo,0.0295263293278947,HOLD_FOR_LIMITATION,,,psychologist,ACTIVE_LIMITED_USE,no,yes,no,26.2,limited,mode fragility; low precision,no,psychologist,no,no,no,no,0.9539604233270864,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.877,f1=0.776,p=0.729,r=0.830,brier=0.068]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
adhd,psychologist_full,hybrid_v6_quick_champion_guard_hotfix_v1,logreg,dsm5_core_only,none,f1_recall_target_band,0.654,0.6910569105691057,0.9042553191489362,0.9015544041450776,0.902904861647007,0.783410138248848,0.9690497188843568,0.8323549472799558,0.0817923949186582,muy_bueno,0.0168669385955241,PRIMARY_WITH_CAVEAT,logreg_guard_fallback_v1,27.0,psychologist,ACTIVE_LIMITED_USE,no,yes,no,56.4,limited,secondary metric anomaly; mode fragility,no,psychologist,no,no,no,no,0.9690497188843568,none,not_required,yes,no,yes,PRIMARY_WITH_CAVEAT,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.903,f1=0.783,p=0.691,r=0.904,brier=0.082]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",downgrade
anxiety,caregiver_1_3,rebuild_v2,rf,engineered_full,isotonic,recall_constrained,0.3199999999999999,0.8875,0.8255813953488372,0.9771573604060914,0.9013693778774644,0.8554216867469879,0.9767441860465116,0.9266917820093952,0.0368358394115982,muy_bueno,-0.0029610829103214,PRIMARY_WITH_CAVEAT,,,caregiver,ACTIVE_LOW_CONFIDENCE,no,yes,no,64.2,low,mode fragility,no,guardian,no,no,no,no,0.9771573604060914,none,not_required,yes,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.901,f1=0.855,p=0.887,r=0.826,brier=0.037]; mode_fragility_flag; class=PRIMARY_WITH_CAVEAT",unchanged
anxiety,caregiver_2_3,final_honest_improvement_v1,logreg,engineered_pruned_no_eng_v1,none,balanced,0.8649999999999999,0.9,0.8372093023255814,0.9796954314720812,0.9084523668988314,0.8674698795180723,0.976508086412466,0.9296147704456827,0.0567813344547886,bueno,0.0290697674418605,PRIMARY_WITH_CAVEAT,logreg_regularized_v2,59.0,caregiver,ACTIVE_LOW_CONFIDENCE,no,yes,no,63.1,low,secondary metric anomaly; mode fragility,no,guardian,no,no,no,no,0.9796954314720812,none,not_required,yes,no,yes,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.908,f1=0.867,p=0.900,r=0.837,brier=0.057]; mode_fragility_flag; calibration_concern_flag; class=PRIMARY_WITH_CAVEAT",unchanged
anxiety,caregiver_full,final_honest_improvement_v1,logreg,full_eligible,none,balanced,0.73,0.8390804597701149,0.8488372093023255,0.964467005076142,0.9066521071892338,0.8439306358381503,0.9746488017943572,0.9164530208073066,0.0533859879741393,bueno,0.029984653523787,PRIMARY_WITH_CAVEAT,logreg_regularized_v2,126.0,caregiver,ACTIVE_LOW_CONFIDENCE,no,yes,no,68.1,low,secondary metric anomaly; mode fragility,no,guardian,no,no,no,no,0.9746488017943572,none,not_required,yes,no,yes,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.907,f1=0.844,p=0.839,r=0.849,brier=0.053]; mode_fragility_flag; calibration_concern_flag; class=PRIMARY_WITH_CAVEAT",unchanged
anxiety,psychologist_1_3,hybrid_v6_quick_champion_guard_hotfix_v1,hgb,engineered_full,none,f1_recall_target_band,0.318,0.79,0.9186046511627908,0.9467005076142132,0.932652579388502,0.8494623655913979,0.9779837091252508,0.9104031229648484,0.0431888626978257,aceptable,-0.0127198677842049,REJECT_AS_PRIMARY,hgb_quick_guard_v1,69.0,psychologist,ACTIVE_LIMITED_USE,no,yes,no,21.3,limited,secondary metric anomaly; shortcut risk; mode fragility; low recall,no,psychologist,no,no,no,no,0.9779837091252508,none,not_required,yes,yes,no,REJECT_AS_PRIMARY,REJECT_AS_PRIMARY,hard_blocker_easy_or_shortcut,"metrics[ba=0.933,f1=0.849,p=0.790,r=0.919,brier=0.043]; mode_fragility_flag; shortcut_risk_flag; class=REJECT_AS_PRIMARY",unchanged
