domain,mode,source_campaign,model_family,feature_set_id,calibration,threshold_policy,threshold,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,quality_label,overfit_gap_train_val_ba,final_class,config_id,n_features,role,final_operational_class,overfit_flag,generalization_flag,dataset_ease_flag,confidence_pct,confidence_band,operational_caveat,recommended_for_default_use,role_normalized,generalization_risk_flag,overfit_risk_flag,easy_dataset_flag,secondary_metric_anomaly_flag,secondary_metric_peak,secondary_metric_anomaly_reasons,secondary_anomaly_resolution,mode_fragility_flag,shortcut_risk_flag,calibration_concern_flag,legacy_final_class,normalized_final_class,classification_reason_code,classification_rationale,class_transition
adhd,caregiver_1_3,hybrid_rf_max_real_metrics_v1,rf,same_inputs_v10,isotonic,recall_target_guard,0.3999999999999999,0.71900826446281,0.925531914893617,0.911917098445596,0.9187245066696064,0.8093023255813954,0.9492613824275165,0.7241089004526715,0.063894662445087,aceptable,0.0164810935949729,HOLD_FOR_LIMITATION,rf_calibrated_regularized,36.0,caregiver,ACTIVE_LIMITED_USE,no,yes,no,63.0,limited,short mode fragile; low precision,no,guardian,no,no,no,no,0.9492613824275165,none,not_required,yes,no,no,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.919,f1=0.809,p=0.719,r=0.926,brier=0.064]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",unchanged
adhd,caregiver_2_3,hybrid_rf_max_real_metrics_v1,rf,same_inputs_v10,none,recall_target_guard,0.5599999999999999,0.689922480620155,0.946808510638298,0.8963730569948186,0.9215907838165582,0.7982062780269058,0.9524583838606548,0.7461931953430669,0.0786879634511631,malo,0.00507110572153,HOLD_FOR_LIMITATION,rf_precision_guarded,69.0,caregiver,ACTIVE_LIMITED_USE,no,yes,no,63.0,limited,low precision,no,guardian,no,no,no,no,0.9524583838606548,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.922,f1=0.798,p=0.690,r=0.947,brier=0.079]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
adhd,caregiver_full,hybrid_rf_max_real_metrics_v1,rf,same_inputs_v10,none,recall_target_guard,0.4666534718198245,0.704,0.9361702127659576,0.9041450777202072,0.9201576452430824,0.8036529680365296,0.951383529930548,0.7300419974766443,0.0755461324257614,aceptable,0.0033439900047771,HOLD_FOR_LIMITATION,rf_balanced_regularized,53.0,caregiver,ACTIVE_LIMITED_USE,no,yes,no,63.0,limited,low precision,no,guardian,no,no,no,no,0.951383529930548,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.920,f1=0.804,p=0.704,r=0.936,brier=0.076]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
adhd,psychologist_1_3,hybrid_rf_max_real_metrics_v1,rf,same_inputs_v10,none,f1_ba_conservative,0.5499999999999999,0.6904761904761905,0.925531914893617,0.8989637305699482,0.9122478227317824,0.7909090909090909,0.949729908499614,0.7180700559629031,0.0786775125764627,malo,0.0221860875316944,HOLD_FOR_LIMITATION,rf_calibrated_regularized,9.0,psychologist,ACTIVE_LIMITED_USE,no,yes,no,63.0,limited,short mode fragile; low precision,no,psychologist,no,no,no,no,0.949729908499614,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.912,f1=0.791,p=0.690,r=0.926,brier=0.079]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
adhd,psychologist_2_3,hybrid_rf_max_real_metrics_v1,rf,same_inputs_v10,isotonic,f1_ba_conservative,0.2799999999999999,0.8333333333333334,0.851063829787234,0.9585492227979274,0.9048065262925808,0.8421052631578947,0.9720675779958108,0.9313831206397698,0.0405985018273197,aceptable,0.0278910814684157,PRIMARY_WITH_CAVEAT,rf_calibrated_regularized,101.0,psychologist,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,84.8,moderate,near guardrail,yes,psychologist,no,no,no,no,0.9720675779958108,none,not_required,no,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.905,f1=0.842,p=0.833,r=0.851,brier=0.041]; class=PRIMARY_WITH_CAVEAT",unchanged
adhd,psychologist_full,hybrid_rf_max_real_metrics_v1,rf,same_inputs_v10,none,recall_target_guard,0.6,0.7226890756302521,0.9148936170212766,0.9145077720207254,0.914700694521001,0.8075117370892019,0.962931319589902,0.8534145929527844,0.0939018702887466,aceptable,0.0041156800058795,HOLD_FOR_LIMITATION,rf_guardrail_randomized,27.0,psychologist,ACTIVE_LIMITED_USE,no,yes,no,63.0,limited,low precision; calibration concern,no,psychologist,no,no,no,no,0.962931319589902,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.915,f1=0.808,p=0.723,r=0.915,brier=0.094]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
anxiety,caregiver_1_3,hybrid_rf_max_real_metrics_v1,rf,same_inputs_v10,isotonic,recall_target_guard,0.29,0.8461538461538461,0.8953488372093024,0.964467005076142,0.9299079211427222,0.8700564971751412,0.9767884547278952,0.9193327479894848,0.0377847444619504,bueno,0.0114901821902176,PRIMARY_WITH_CAVEAT,rf_calibrated_regularized,58.0,caregiver,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,84.9,moderate,short mode fragile; near guardrail,yes,guardian,no,no,no,no,0.9767884547278952,none,not_required,yes,no,no,PRIMARY_WITH_CAVEAT,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.930,f1=0.870,p=0.846,r=0.895,brier=0.038]; mode_fragility_flag; class=PRIMARY_WITH_CAVEAT",unchanged
anxiety,caregiver_2_3,hybrid_rf_max_real_metrics_v1,rf,same_inputs_v10,none,f1_ba_conservative,0.5509721185330153,0.8554216867469879,0.8255813953488372,0.9695431472081218,0.8975622712784795,0.8402366863905325,0.9643637114862472,0.8985296515822613,0.1324680784221708,aceptable,-0.0024298587337189,HOLD_FOR_LIMITATION,rf_guardrail_very_random,59.0,caregiver,ACTIVE_LIMITED_USE,no,yes,no,63.0,limited,calibration concern,no,guardian,no,no,no,no,0.9695431472081218,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.898,f1=0.840,p=0.855,r=0.826,brier=0.132]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
anxiety,caregiver_full,hybrid_rf_max_real_metrics_v1,rf,same_inputs_v10,none,f1_ba_conservative,0.5299999999999999,0.8235294117647058,0.813953488372093,0.9619289340101524,0.8879412111911227,0.8187134502923976,0.9536654468185574,0.8531067850920091,0.1363188022729681,aceptable,0.0053220792507772,HOLD_FOR_LIMITATION,rf_guardrail_very_random,126.0,caregiver,ACTIVE_LIMITED_USE,no,yes,no,63.0,limited,calibration concern,no,guardian,no,no,no,no,0.9619289340101524,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.888,f1=0.819,p=0.824,r=0.814,brier=0.136]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
anxiety,psychologist_1_3,hybrid_rf_max_real_metrics_v1,rf,same_inputs_v10,none,f1_ba_conservative,0.5336125226848083,0.8452380952380952,0.8255813953488372,0.967005076142132,0.8962932357454846,0.8352941176470589,0.9639652933537952,0.8800940637253928,0.1195811534254709,aceptable,-0.0117656317632708,HOLD_FOR_LIMITATION,rf_guardrail_very_random,14.0,psychologist,ACTIVE_LIMITED_USE,no,yes,no,63.0,limited,short mode fragile; calibration concern,no,psychologist,no,no,no,no,0.967005076142132,none,not_required,yes,no,yes,HOLD_FOR_LIMITATION,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.896,f1=0.835,p=0.845,r=0.826,brier=0.120]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",unchanged
