domain,mode,source_campaign,model_family,feature_set_id,calibration,threshold_policy,threshold,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,quality_label,overfit_gap_train_val_ba,final_class,config_id,n_features,role,final_operational_class,overfit_flag,generalization_flag,dataset_ease_flag,confidence_pct,confidence_band,operational_caveat,recommended_for_default_use,role_normalized,generalization_risk_flag,overfit_risk_flag,easy_dataset_flag,secondary_metric_anomaly_flag,secondary_metric_peak,secondary_metric_anomaly_reasons,secondary_anomaly_resolution,mode_fragility_flag,shortcut_risk_flag,calibration_concern_flag,legacy_final_class,normalized_final_class,classification_reason_code,classification_rationale,class_transition
adhd,caregiver_1_3,hybrid_domain_specialized_rf_v17,rf,domain_strict_1_3,none,balanced_recall_specificity,0.3799999999999999,0.6301369863013698,0.9787234042553192,0.8601036269430051,0.919413515599162,0.7666666666666667,0.9366938595524198,0.6348300001844969,0.0863769252156806,malo,0.0214327711020468,ROBUST_PRIMARY,rf_recall_balanced_manual,9.0,caregiver,ACTIVE_HIGH_CONFIDENCE,no,yes,no,89.3,high,none,yes,guardian,no,no,no,no,0.9366938595524198,none,not_required,yes,no,yes,ROBUST_PRIMARY,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.919,f1=0.767,p=0.630,r=0.979,brier=0.086]; mode_fragility_flag; calibration_concern_flag; class=HOLD_FOR_LIMITATION",downgrade
adhd,caregiver_2_3,hybrid_domain_specialized_rf_v17,rf,domain_strict_2_3,none,balanced_recall_specificity,0.4499999999999999,0.674074074074074,0.9680851063829788,0.8860103626943006,0.9270477345386396,0.7947598253275109,0.939256972770367,0.6349693136205401,0.0837516364333267,aceptable,0.0232976886047109,ROBUST_PRIMARY,rf_recall_guarded,18.0,caregiver,ACTIVE_HIGH_CONFIDENCE,no,yes,no,89.9,high,none,yes,guardian,no,no,no,no,0.939256972770367,none,not_required,no,no,yes,ROBUST_PRIMARY,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.927,f1=0.795,p=0.674,r=0.968,brier=0.084]; calibration_concern_flag; class=HOLD_FOR_LIMITATION",downgrade
adhd,caregiver_full,hybrid_domain_specialized_rf_v17,rf,domain_strict_full,sigmoid,balanced_recall_specificity,0.1499999999999999,0.656934306569343,0.9574468085106383,0.8782383419689119,0.9178425752397752,0.7792207792207793,0.9409657149156652,0.66977613630941,0.0825928222051854,malo,0.0389795318413992,ROBUST_PRIMARY,rf_high_recall_push,26.0,caregiver,ACTIVE_HIGH_CONFIDENCE,no,yes,no,88.7,high,none,yes,guardian,no,no,no,no,0.9409657149156652,none,not_required,no,no,no,ROBUST_PRIMARY,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.918,f1=0.779,p=0.657,r=0.957,brier=0.083]; class=HOLD_FOR_LIMITATION",downgrade
adhd,psychologist_1_3,hybrid_domain_specialized_rf_v17,rf,domain_strict_1_3,sigmoid,balanced_recall_specificity,0.08,0.6190476190476191,0.9680851063829788,0.8549222797927462,0.9115036930878624,0.7551867219917012,0.9338138022268768,0.6413740714852344,0.0813095231650629,malo,0.024978870392827,ROBUST_PRIMARY,rf_high_recall_push,9.0,psychologist,ACTIVE_HIGH_CONFIDENCE,no,yes,no,88.3,high,none,yes,psychologist,no,no,no,no,0.9338138022268768,none,not_required,yes,no,no,ROBUST_PRIMARY,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.912,f1=0.755,p=0.619,r=0.968,brier=0.081]; mode_fragility_flag; class=HOLD_FOR_LIMITATION",downgrade
adhd,psychologist_2_3,hybrid_domain_specialized_rf_v17,rf,domain_strict_2_3,sigmoid,balanced_recall_specificity,0.13,0.8141592920353983,0.9787234042553192,0.9455958549222798,0.9621596295887996,0.8888888888888888,0.9899955903428508,0.9605288502790146,0.0330433357344499,bueno,0.0192738764561055,ROBUST_PRIMARY,rf_high_recall_push,18.0,psychologist,ACTIVE_HIGH_CONFIDENCE,no,yes,no,94.4,high,none,yes,psychologist,no,no,no,yes,0.9899955903428508,roc_auc_gt_0_98,por_confirmar,no,no,no,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.962,f1=0.889,p=0.814,r=0.979,brier=0.033]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98; class=PRIMARY_WITH_CAVEAT",downgrade
adhd,psychologist_full,hybrid_domain_specialized_rf_v17,rf,domain_strict_full,sigmoid,balanced_recall_specificity,0.19,0.8348623853211009,0.9680851063829788,0.9533678756476685,0.9607264910153236,0.896551724137931,0.9907948407011355,0.9630826128741268,0.0329303599646761,bueno,0.0267519200382171,ROBUST_PRIMARY,rf_high_recall_push,27.0,psychologist,ACTIVE_HIGH_CONFIDENCE,no,yes,no,94.1,high,none,yes,psychologist,no,no,no,yes,0.9907948407011355,roc_auc_gt_0_98,por_confirmar,no,no,no,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly,"metrics[ba=0.961,f1=0.897,p=0.835,r=0.968,brier=0.033]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98; class=PRIMARY_WITH_CAVEAT",downgrade
anxiety,caregiver_1_3,hybrid_domain_specialized_rf_v17,rf,domain_strict_1_3,none,balanced_recall_specificity,0.5199999999999999,0.826530612244898,0.9418604651162792,0.9568527918781726,0.949356628497226,0.8804347826086957,0.9888885609727304,0.955690824027037,0.0519403501873121,bueno,-0.0254790855074176,ROBUST_PRIMARY,rf_sparse_stability,5.0,caregiver,ACTIVE_HIGH_CONFIDENCE,no,yes,no,92.2,high,none,yes,guardian,no,no,no,yes,0.9888885609727304,roc_auc_gt_0_98,por_confirmar,yes,no,yes,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.949,f1=0.880,p=0.827,r=0.942,brier=0.052]; secondary_metric_anomaly_flag; mode_fragility_flag; calibration_concern_flag; secondary_reasons=roc_auc_gt_0_98; class=PRIMARY_WITH_CAVEAT",downgrade
anxiety,caregiver_2_3,hybrid_domain_specialized_rf_v17,rf,domain_strict_2_3,none,balanced_recall_specificity,0.3299999999999999,0.8137254901960784,0.9651162790697676,0.9517766497461928,0.9584464644079802,0.8829787234042553,0.993595797426514,0.972206155320108,0.0272300986171662,bueno,0.0191339078424428,ROBUST_PRIMARY,rf_high_recall_push,27.0,caregiver,ACTIVE_HIGH_CONFIDENCE,no,yes,no,93.5,high,none,yes,guardian,no,no,no,yes,0.993595797426514,"roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier",por_confirmar,no,no,no,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,useful_with_explicit_caveat,"metrics[ba=0.958,f1=0.883,p=0.814,r=0.965,brier=0.027]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",downgrade
anxiety,caregiver_full,hybrid_domain_specialized_rf_v17,rf,domain_strict_full,none,balanced_recall_specificity,0.3599999999999999,0.84,0.9767441860465116,0.9593908629441624,0.968067524495337,0.9032258064516128,0.9938909219690708,0.9729367308495688,0.0288485450728483,bueno,0.0064829024515012,ROBUST_PRIMARY,rf_recall_guarded,40.0,caregiver,ACTIVE_HIGH_CONFIDENCE,no,yes,no,94.9,high,none,yes,guardian,no,no,no,yes,0.9938909219690708,"roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier",por_confirmar,no,no,no,ROBUST_PRIMARY,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly,"metrics[ba=0.968,f1=0.903,p=0.840,r=0.977,brier=0.029]; secondary_metric_anomaly_flag; secondary_reasons=roc_auc_gt_0_98,suspicious_combo_secondary_plus_brier; class=PRIMARY_WITH_CAVEAT",downgrade
anxiety,psychologist_1_3,hybrid_domain_specialized_rf_v17,rf,domain_strict_1_3,sigmoid,balanced_recall_specificity,0.1099999999999999,0.7280701754385965,0.9651162790697676,0.9213197969543148,0.9432180380120412,0.83,0.9842993743359698,0.9476782393006408,0.0346466871460656,aceptable,0.0180419470349819,ROBUST_PRIMARY,rf_high_recall_push,12.0,psychologist,ACTIVE_HIGH_CONFIDENCE,no,yes,no,91.3,high,none,yes,psychologist,no,no,no,yes,0.9842993743359698,roc_auc_gt_0_98,por_confirmar,yes,no,no,ROBUST_PRIMARY,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk,"metrics[ba=0.943,f1=0.830,p=0.728,r=0.965,brier=0.035]; secondary_metric_anomaly_flag; mode_fragility_flag; secondary_reasons=roc_auc_gt_0_98; class=HOLD_FOR_LIMITATION",downgrade
