domain,mode,metric,value
depression,caregiver_1_3,balanced_accuracy,0.9461169615489666
depression,caregiver_1_3,balanced_accuracy,0.9190703779744875
depression,caregiver_1_3,balanced_accuracy,0.9060271311948045
depression,caregiver_1_3,balanced_accuracy,0.8842639156297594
depression,caregiver_1_3,balanced_accuracy,0.9099025974025974
depression,caregiver_1_3,balanced_accuracy,0.9006001500375094
depression,caregiver_1_3,balanced_accuracy,0.9278752436647173
depression,caregiver_1_3,balanced_accuracy,0.9203832752613241
depression,caregiver_1_3,balanced_accuracy,0.9009794352260105
depression,caregiver_1_3,balanced_accuracy,0.9460999400233594
depression,caregiver_1_3,balanced_accuracy,0.8880276185513288
depression,caregiver_1_3,balanced_accuracy,0.9182929127075987
depression,caregiver_1_3,balanced_accuracy,0.9278302342818472
depression,caregiver_1_3,balanced_accuracy,0.9257261919352862
depression,caregiver_1_3,balanced_accuracy,0.8848696290855673
depression,caregiver_1_3,balanced_accuracy,0.92875
depression,caregiver_1_3,balanced_accuracy,0.9475
depression,caregiver_1_3,balanced_accuracy,0.9120909425174655
depression,caregiver_1_3,balanced_accuracy,0.9225000000000001
depression,caregiver_1_3,balanced_accuracy,0.8881462916550635
depression,caregiver_1_3,balanced_accuracy,0.9372586872586872
depression,caregiver_1_3,balanced_accuracy,0.9315662248895558
depression,caregiver_1_3,balanced_accuracy,0.9216027874564461
depression,caregiver_1_3,balanced_accuracy,0.8905028660760813
depression,caregiver_1_3,balanced_accuracy,0.924469910528251
depression,caregiver_1_3,balanced_accuracy,0.9011521019732811
depression,caregiver_1_3,balanced_accuracy,0.9127427552085086
depression,caregiver_1_3,balanced_accuracy,0.9334928229665072
depression,caregiver_1_3,balanced_accuracy,0.9404733797662614
depression,caregiver_1_3,balanced_accuracy,0.9213333333333333
depression,caregiver_1_3,balanced_accuracy,0.9073736321000521
depression,caregiver_1_3,balanced_accuracy,0.9065524944154877
depression,caregiver_1_3,balanced_accuracy,0.91125
depression,caregiver_1_3,balanced_accuracy,0.9204492713264643
depression,caregiver_1_3,balanced_accuracy,0.9501042209484106
depression,caregiver_1_3,balanced_accuracy,0.9417388167388168
depression,caregiver_1_3,balanced_accuracy,0.9374699850278256
depression,caregiver_1_3,balanced_accuracy,0.9217735016546145
depression,caregiver_1_3,balanced_accuracy,0.9384301620549003
depression,caregiver_1_3,balanced_accuracy,0.9553531457694824
depression,caregiver_1_3,balanced_accuracy,0.90007215007215
depression,caregiver_1_3,balanced_accuracy,0.9303673788431475
depression,caregiver_1_3,balanced_accuracy,0.9250260552371027
depression,caregiver_1_3,balanced_accuracy,0.9187654320987655
depression,caregiver_1_3,balanced_accuracy,0.925872850442939
depression,caregiver_1_3,balanced_accuracy,0.9330864197530864
depression,caregiver_1_3,balanced_accuracy,0.9222163727296657
depression,caregiver_1_3,balanced_accuracy,0.9460700589732848
depression,caregiver_1_3,balanced_accuracy,0.914135463662749
depression,caregiver_1_3,balanced_accuracy,0.8966289819989184
depression,caregiver_1_3,balanced_accuracy,0.9194309998819501
depression,caregiver_1_3,balanced_accuracy,0.9128816083395384
depression,caregiver_1_3,balanced_accuracy,0.8987499999999999
depression,caregiver_1_3,balanced_accuracy,0.9155295646523717
depression,caregiver_1_3,balanced_accuracy,0.9182295573893473
depression,caregiver_1_3,balanced_accuracy,0.9359931113662456
depression,caregiver_1_3,balanced_accuracy,0.942359291644307
depression,caregiver_1_3,balanced_accuracy,0.9411124088512894
depression,psychologist_1_3,balanced_accuracy,0.8957579133017729
depression,psychologist_1_3,balanced_accuracy,0.8796421130040446
depression,psychologist_1_3,balanced_accuracy,0.9180562793121418
depression,psychologist_1_3,balanced_accuracy,0.8947826367181206
depression,psychologist_1_3,balanced_accuracy,0.882878047402469
depression,psychologist_1_3,balanced_accuracy,0.8800573255429391
depression,psychologist_1_3,balanced_accuracy,0.8836163836163836
depression,psychologist_1_3,balanced_accuracy,0.8996101364522417
depression,psychologist_1_3,balanced_accuracy,0.8579323901904548
depression,psychologist_1_3,balanced_accuracy,0.9094304388422035
depression,psychologist_1_3,balanced_accuracy,0.9321914450300282
depression,psychologist_1_3,balanced_accuracy,0.8787654320987655
depression,psychologist_1_3,balanced_accuracy,0.9014753688422106
depression,psychologist_1_3,balanced_accuracy,0.884299546513053
depression,psychologist_1_3,balanced_accuracy,0.8552709243300674
depression,psychologist_1_3,balanced_accuracy,0.9045421674300079
depression,psychologist_1_3,balanced_accuracy,0.860793299141149
depression,psychologist_1_3,balanced_accuracy,0.8962962962962964
depression,psychologist_1_3,balanced_accuracy,0.8962928637627432
depression,psychologist_1_3,balanced_accuracy,0.8888744137571651
depression,psychologist_1_3,balanced_accuracy,0.8617028358407668
depression,psychologist_1_3,balanced_accuracy,0.9105983302411873
depression,psychologist_1_3,balanced_accuracy,0.9295772510697703
depression,psychologist_1_3,balanced_accuracy,0.8946518124600316
depression,psychologist_1_3,balanced_accuracy,0.8691693727049254
depression,psychologist_1_3,balanced_accuracy,0.8508290468116899
depression,psychologist_1_3,balanced_accuracy,0.8765074211502784
depression,psychologist_1_3,balanced_accuracy,0.852004667833625
depression,psychologist_1_3,balanced_accuracy,0.8785853522695628
depression,psychologist_1_3,balanced_accuracy,0.9052264808362369
depression,psychologist_1_3,balanced_accuracy,0.8790178721685571
depression,psychologist_1_3,balanced_accuracy,0.919441901575176
depression,psychologist_1_3,balanced_accuracy,0.8572173006774362
depression,psychologist_1_3,balanced_accuracy,0.9068127372076122
depression,psychologist_1_3,balanced_accuracy,0.889819857561793
depression,psychologist_1_3,balanced_accuracy,0.8746169873759039
depression,psychologist_1_3,balanced_accuracy,0.8744597305008617
depression,psychologist_1_3,balanced_accuracy,0.87
depression,psychologist_1_3,balanced_accuracy,0.92125
depression,psychologist_1_3,balanced_accuracy,0.8731768599093026
depression,psychologist_1_3,balanced_accuracy,0.87375
depression,psychologist_1_3,balanced_accuracy,0.867307156780841
depression,psychologist_1_3,balanced_accuracy,0.8948874983357742
depression,psychologist_1_3,balanced_accuracy,0.9152288072018004
depression,psychologist_1_3,balanced_accuracy,0.883623693379791
depression,psychologist_1_3,balanced_accuracy,0.8572173006774362
depression,psychologist_1_3,balanced_accuracy,0.8685194264002942
depression,psychologist_1_3,balanced_accuracy,0.8538117416350043
depression,psychologist_1_3,balanced_accuracy,0.8628622395745683
depression,psychologist_1_3,balanced_accuracy,0.9359535201640465
depression,psychologist_1_3,balanced_accuracy,0.931383543855507
depression,psychologist_1_3,balanced_accuracy,0.9087619047619048
depression,psychologist_1_3,balanced_accuracy,0.8637962480458572
depression,psychologist_1_3,balanced_accuracy,0.8292628443782576
depression,psychologist_1_3,balanced_accuracy,0.8825000000000001
depression,psychologist_1_3,balanced_accuracy,0.8452148890745381
depression,psychologist_1_3,balanced_accuracy,0.9283480979676915
depression,psychologist_1_3,balanced_accuracy,0.8982683982683983
depression,psychologist_1_3,balanced_accuracy,0.8999406762902906
depression,psychologist_1_3,balanced_accuracy,0.8828594190464518
depression,psychologist_1_3,balanced_accuracy,0.9089681402270974
depression,psychologist_1_3,balanced_accuracy,0.9262543476015015
depression,psychologist_1_3,balanced_accuracy,0.8863636363636365
depression,psychologist_1_3,balanced_accuracy,0.8999478895257946
depression,psychologist_1_3,balanced_accuracy,0.8822954663887441
depression,psychologist_1_3,balanced_accuracy,0.8716049382716049
depression,psychologist_1_3,balanced_accuracy,0.8543512245961438
depression,psychologist_1_3,balanced_accuracy,0.9059259259259259
depression,psychologist_1_3,balanced_accuracy,0.8787838904974994
depression,psychologist_1_3,balanced_accuracy,0.915793883535819
depression,psychologist_1_3,balanced_accuracy,0.8625678898818931
depression,psychologist_1_3,balanced_accuracy,0.8794391079292319
depression,psychologist_1_3,balanced_accuracy,0.8689056781961988
depression,psychologist_1_3,balanced_accuracy,0.8662695457930008
depression,psychologist_1_3,balanced_accuracy,0.8787499999999999
depression,psychologist_1_3,balanced_accuracy,0.8760790866054023
depression,psychologist_1_3,balanced_accuracy,0.8990997749437359
depression,psychologist_1_3,balanced_accuracy,0.9190585533869116
depression,psychologist_1_3,balanced_accuracy,0.9181950187821586
depression,psychologist_1_3,balanced_accuracy,0.8992076770100066
