domain,mode,stress_type,scenario,balanced_accuracy,delta_ba
conduct,caregiver_1_3,threshold,threshold_shift_-0.05,0.8921874999999999,0.006249999999999867
conduct,caregiver_1_3,threshold,threshold_shift_+0.05,0.878125,-0.0078125
conduct,caregiver_1_3,threshold,threshold_shift_+0.10,0.8640625,-0.02187500000000009
conduct,caregiver_1_3,missingness,missing_10pct,0.865625,-0.020312500000000067
conduct,caregiver_2_3,threshold,threshold_shift_-0.10,0.8890625000000001,0.03906250000000011
conduct,caregiver_2_3,threshold,threshold_shift_-0.05,0.878125,0.028125000000000067
conduct,caregiver_2_3,threshold,threshold_shift_+0.05,0.8343750000000001,-0.015624999999999889
conduct,caregiver_2_3,threshold,threshold_shift_+0.10,0.8140625,-0.035937499999999956
conduct,caregiver_2_3,missingness,missing_10pct,0.79375,-0.05625000000000002
conduct,caregiver_full,threshold,threshold_shift_-0.10,0.9125,0.009375000000000022
conduct,caregiver_full,threshold,threshold_shift_-0.05,0.9015625,-0.0015624999999999112
conduct,caregiver_full,threshold,threshold_shift_+0.05,0.9,-0.0031249999999999334
conduct,caregiver_full,threshold,threshold_shift_+0.10,0.8968750000000001,-0.006249999999999867
conduct,caregiver_full,missingness,missing_10pct,0.89375,-0.009374999999999911
conduct,psychologist_1_3,threshold,threshold_shift_-0.10,0.8828125,0.0078125
conduct,psychologist_1_3,threshold,threshold_shift_-0.05,0.8859375,0.010937500000000044
conduct,psychologist_1_3,threshold,threshold_shift_+0.05,0.8640625,-0.010937500000000044
conduct,psychologist_1_3,threshold,threshold_shift_+0.10,0.8421875,-0.03281250000000002
conduct,psychologist_1_3,missingness,missing_10pct,0.859375,-0.015625
conduct,psychologist_2_3,threshold,threshold_shift_-0.10,0.915625,0.0
conduct,psychologist_2_3,threshold,threshold_shift_-0.05,0.915625,0.0
conduct,psychologist_2_3,threshold,threshold_shift_+0.05,0.90625,-0.009375000000000022
conduct,psychologist_2_3,threshold,threshold_shift_+0.10,0.90625,-0.009375000000000022
conduct,psychologist_2_3,missingness,missing_10pct,0.9046875,-0.010937500000000044
conduct,psychologist_full,threshold,threshold_shift_-0.10,0.9125000000000001,0.0015625000000001332
conduct,psychologist_full,threshold,threshold_shift_-0.05,0.9109375,0.0
conduct,psychologist_full,threshold,threshold_shift_+0.05,0.9109375,0.0
conduct,psychologist_full,threshold,threshold_shift_+0.10,0.90625,-0.004687499999999956
conduct,psychologist_full,missingness,missing_10pct,0.8999999999999999,-0.010937500000000044
depression,caregiver_1_3,threshold,threshold_shift_-0.10,0.8891408260816276,0.0448277975242064
depression,caregiver_1_3,threshold,threshold_shift_-0.05,0.8758732687829391,0.031560240225517955
depression,caregiver_1_3,threshold,threshold_shift_+0.05,0.824947910283123,-0.01936511827429821
depression,caregiver_1_3,threshold,threshold_shift_+0.10,0.8068390734158598,-0.03747395514156138
depression,caregiver_1_3,missingness,missing_10pct,0.7944601054050742,-0.04985292315234702
depression,caregiver_2_3,threshold,threshold_shift_-0.10,0.9269824733423213,0.0021448706949380725
depression,caregiver_2_3,threshold,threshold_shift_-0.05,0.9198124770192426,-0.005025125628140614
depression,caregiver_2_3,threshold,threshold_shift_+0.05,0.9126424806961637,-0.012195121951219523
depression,caregiver_2_3,threshold,threshold_shift_+0.10,0.9054724843730849,-0.01936511827429832
depression,caregiver_2_3,missingness,missing_10pct,0.8749846794950362,-0.04985292315234702
depression,caregiver_full,threshold,threshold_shift_-0.10,0.8665584017649222,0.01326755729868856
depression,caregiver_full,threshold,threshold_shift_-0.05,0.8568758426277729,0.0035849981615393434
depression,caregiver_full,threshold,threshold_shift_+0.05,0.8362544429464395,-0.01703640151979413
depression,caregiver_full,threshold,threshold_shift_+0.10,0.8204743228336806,-0.032816521632553
depression,caregiver_full,missingness,missing_10pct,0.7485598725333987,-0.10473097193283487
depression,psychologist_1_3,threshold,threshold_shift_-0.10,0.8807145483515136,0.0
depression,psychologist_1_3,threshold,threshold_shift_-0.05,0.8807145483515136,0.0
depression,psychologist_1_3,threshold,threshold_shift_+0.05,0.8383993136413777,-0.042315234710135985
depression,psychologist_1_3,threshold,threshold_shift_+0.10,0.8383993136413777,-0.042315234710135985
depression,psychologist_1_3,missingness,missing_10pct,0.7994852310332148,-0.08122931731829885
depression,psychologist_2_3,threshold,threshold_shift_-0.10,0.9318237529108959,-0.001440127466601382
depression,psychologist_2_3,threshold,threshold_shift_-0.05,0.930751317563427,-0.002512562814070307
depression,psychologist_2_3,threshold,threshold_shift_+0.05,0.9212526044858438,-0.012011275891653517
depression,psychologist_2_3,threshold,threshold_shift_+0.10,0.9176676063243044,-0.01559627405319286
depression,psychologist_2_3,missingness,missing_10pct,0.8566919965682069,-0.07657188380929036
depression,psychologist_full,threshold,threshold_shift_-0.10,0.864229685010418,0.007169996323078798
depression,psychologist_full,threshold,threshold_shift_-0.05,0.8532908444662336,-0.0037688442211055717
depression,psychologist_full,threshold,threshold_shift_+0.05,0.8583159700943743,0.0012562814070351536
depression,psychologist_full,threshold,threshold_shift_+0.10,0.84737712955019,-0.009682559137149216
depression,psychologist_full,missingness,missing_10pct,0.8179617600196103,-0.039097928667728876
elimination,caregiver_1_3,threshold,threshold_shift_-0.10,0.9801401869158879,0.04457225017972677
elimination,caregiver_1_3,threshold,threshold_shift_-0.05,0.9428468727534148,0.007278936017253712
elimination,caregiver_1_3,threshold,threshold_shift_+0.05,0.9282890007189073,-0.007278936017253823
elimination,caregiver_1_3,threshold,threshold_shift_+0.10,0.9221782890007189,-0.013389647735442267
elimination,caregiver_1_3,missingness,missing_10pct,0.871764917325665,-0.06380301941049615
elimination,caregiver_2_3,threshold,threshold_shift_-0.10,0.9836448598130841,-0.011682242990654124
elimination,caregiver_2_3,threshold,threshold_shift_-0.05,0.9918224299065421,-0.003504672897196137
elimination,caregiver_2_3,threshold,threshold_shift_+0.05,0.9953271028037383,0.0
elimination,caregiver_2_3,threshold,threshold_shift_+0.10,0.9953271028037383,0.0
elimination,caregiver_2_3,missingness,missing_10pct,0.9580337886412653,-0.037293314162472946
elimination,caregiver_full,threshold,threshold_shift_-0.10,0.9918224299065421,-0.003504672897196137
elimination,caregiver_full,threshold,threshold_shift_-0.05,0.9953271028037383,0.0
elimination,caregiver_full,threshold,threshold_shift_+0.05,0.9953271028037383,0.0
elimination,caregiver_full,threshold,threshold_shift_+0.10,0.9953271028037383,0.0
elimination,caregiver_full,missingness,missing_10pct,0.9580337886412653,-0.037293314162472946
elimination,psychologist_1_3,threshold,threshold_shift_-0.10,0.9824766355140186,0.04574047447879215
elimination,psychologist_1_3,threshold,threshold_shift_-0.05,0.9547987059669303,0.018062544931703783
elimination,psychologist_1_3,threshold,threshold_shift_+0.05,0.9271207764198418,-0.009615384615384692
elimination,psychologist_1_3,threshold,threshold_shift_+0.10,0.9102264557872035,-0.026509705248022986
elimination,psychologist_1_3,missingness,missing_10pct,0.9367361610352265,0.0
elimination,psychologist_2_3,threshold,threshold_shift_-0.10,0.9824766355140186,-0.011682242990654235
elimination,psychologist_2_3,threshold,threshold_shift_-0.05,0.9929906542056075,-0.001168224299065379
elimination,psychologist_2_3,threshold,threshold_shift_+0.05,0.9953271028037383,0.001168224299065379
elimination,psychologist_2_3,threshold,threshold_shift_+0.10,0.9953271028037383,0.001168224299065379
elimination,psychologist_2_3,missingness,missing_10pct,0.8991732566498922,-0.09498562185478066
elimination,psychologist_full,threshold,threshold_shift_-0.10,0.9836448598130841,-0.010514018691588745
elimination,psychologist_full,threshold,threshold_shift_-0.05,0.9918224299065421,-0.002336448598130758
elimination,psychologist_full,threshold,threshold_shift_+0.05,0.9953271028037383,0.001168224299065379
elimination,psychologist_full,threshold,threshold_shift_+0.10,0.9953271028037383,0.001168224299065379
elimination,psychologist_full,missingness,missing_10pct,0.9580337886412653,-0.03612508986340757
