participant_id,questionnaire_item_id,response_value,response_timestamp_utc,source
,QI_0001,,,manual_or_api
,QI_0002,,,manual_or_api
,QI_0003,,,manual_or_api
,QI_0004,,,manual_or_api
,QI_0005,,,manual_or_api
,QI_0006,,,manual_or_api
,QI_0007,,,manual_or_api
,QI_0008,,,manual_or_api
,QI_0009,,,manual_or_api
,QI_0010,,,manual_or_api
,QI_0011,,,manual_or_api
,QI_0012,,,manual_or_api
,QI_0013,,,manual_or_api
,QI_0014,,,manual_or_api
,QI_0015,,,manual_or_api
,QI_0016,,,manual_or_api
,QI_0017,,,manual_or_api
,QI_0018,,,manual_or_api
,QI_0019,,,manual_or_api
,QI_0020,,,manual_or_api
,QI_0021,,,manual_or_api
,QI_0022,,,manual_or_api
,QI_0023,,,manual_or_api
,QI_0024,,,manual_or_api
,QI_0025,,,manual_or_api
,QI_0026,,,manual_or_api
,QI_0027,,,manual_or_api
,QI_0028,,,manual_or_api
,QI_0029,,,manual_or_api
,QI_0030,,,manual_or_api
,QI_0031,,,manual_or_api
,QI_0032,,,manual_or_api
,QI_0033,,,manual_or_api
,QI_0034,,,manual_or_api
,QI_0035,,,manual_or_api
,QI_0036,,,manual_or_api
,QI_0037,,,manual_or_api
,QI_0038,,,manual_or_api
,QI_0039,,,manual_or_api
,QI_0040,,,manual_or_api
,QI_0041,,,manual_or_api
,QI_0042,,,manual_or_api
,QI_0043,,,manual_or_api
,QI_0044,,,manual_or_api
,QI_0045,,,manual_or_api
,QI_0046,,,manual_or_api
,QI_0047,,,manual_or_api
,QI_0048,,,manual_or_api
,QI_0049,,,manual_or_api
,QI_0050,,,manual_or_api
,QI_0051,,,manual_or_api
,QI_0052,,,manual_or_api
,QI_0053,,,manual_or_api
,QI_0054,,,manual_or_api
,QI_0055,,,manual_or_api
,QI_0056,,,manual_or_api
,QI_0057,,,manual_or_api
,QI_0058,,,manual_or_api
,QI_0059,,,manual_or_api
,QI_0060,,,manual_or_api
,QI_0061,,,manual_or_api
,QI_0062,,,manual_or_api
,QI_0063,,,manual_or_api
,QI_0064,,,manual_or_api
,QI_0065,,,manual_or_api
,QI_0066,,,manual_or_api
,QI_0067,,,manual_or_api
,QI_0068,,,manual_or_api
,QI_0069,,,manual_or_api
,QI_0070,,,manual_or_api
,QI_0071,,,manual_or_api
,QI_0072,,,manual_or_api
,QI_0073,,,manual_or_api
,QI_0074,,,manual_or_api
,QI_0075,,,manual_or_api
,QI_0076,,,manual_or_api
,QI_0077,,,manual_or_api
,QI_0078,,,manual_or_api
,QI_0079,,,manual_or_api
,QI_0080,,,manual_or_api
,QI_0081,,,manual_or_api
,QI_0082,,,manual_or_api
,QI_0083,,,manual_or_api
,QI_0084,,,manual_or_api
,QI_0085,,,manual_or_api
,QI_0086,,,manual_or_api
,QI_0087,,,manual_or_api
,QI_0088,,,manual_or_api
,QI_0089,,,manual_or_api
,QI_0090,,,manual_or_api
,QI_0091,,,manual_or_api
,QI_0092,,,manual_or_api
,QI_0093,,,manual_or_api
,QI_0094,,,manual_or_api
,QI_0095,,,manual_or_api
,QI_0096,,,manual_or_api
,QI_0097,,,manual_or_api
,QI_0098,,,manual_or_api
,QI_0099,,,manual_or_api
,QI_0100,,,manual_or_api
,QI_0101,,,manual_or_api
,QI_0102,,,manual_or_api
,QI_0103,,,manual_or_api
,QI_0104,,,manual_or_api
,QI_0105,,,manual_or_api
,QI_0106,,,manual_or_api
,QI_0107,,,manual_or_api
,QI_0108,,,manual_or_api
,QI_0109,,,manual_or_api
,QI_0110,,,manual_or_api
,QI_0111,,,manual_or_api
,QI_0112,,,manual_or_api
,QI_0113,,,manual_or_api
,QI_0114,,,manual_or_api
,QI_0115,,,manual_or_api
,QI_0116,,,manual_or_api
,QI_0117,,,manual_or_api
,QI_0118,,,manual_or_api
,QI_0119,,,manual_or_api
,QI_0120,,,manual_or_api
,QI_0121,,,manual_or_api
,QI_0122,,,manual_or_api
,QI_0123,,,manual_or_api
,QI_0124,,,manual_or_api
,QI_0125,,,manual_or_api
,QI_0126,,,manual_or_api
,QI_0127,,,manual_or_api
,QI_0128,,,manual_or_api
,QI_0129,,,manual_or_api
,QI_0130,,,manual_or_api
,QI_0131,,,manual_or_api
,QI_0132,,,manual_or_api
,QI_0133,,,manual_or_api
,QI_0134,,,manual_or_api
,QI_0135,,,manual_or_api
,QI_0136,,,manual_or_api
,QI_0137,,,manual_or_api
,QI_0138,,,manual_or_api
,QI_0139,,,manual_or_api
,QI_0140,,,manual_or_api
,QI_0141,,,manual_or_api
,QI_0142,,,manual_or_api
,QI_0143,,,manual_or_api
,QI_0144,,,manual_or_api
,QI_0145,,,manual_or_api
,QI_0146,,,manual_or_api
,QI_0147,,,manual_or_api
,QI_0148,,,manual_or_api
,QI_0149,,,manual_or_api
,QI_0150,,,manual_or_api
,QI_0151,,,manual_or_api
,QI_0152,,,manual_or_api
,QI_0153,,,manual_or_api
,QI_0154,,,manual_or_api
,QI_0155,,,manual_or_api
,QI_0156,,,manual_or_api
,QI_0157,,,manual_or_api
,QI_0158,,,manual_or_api
,QI_0159,,,manual_or_api
,QI_0160,,,manual_or_api
,QI_0161,,,manual_or_api
,QI_0162,,,manual_or_api
,QI_0163,,,manual_or_api
,QI_0164,,,manual_or_api
,QI_0165,,,manual_or_api
,QI_0166,,,manual_or_api
,QI_0167,,,manual_or_api
,QI_0168,,,manual_or_api
,QI_0169,,,manual_or_api
,QI_0170,,,manual_or_api
,QI_0171,,,manual_or_api
