questionnaire_item_id,diagnostic_unit,unit_key
QI_0001,Trastorno por déficit de atención/hiperactividad,adhd
QI_0002,Trastorno de conducta,conduct_disorder
QI_0003,Enuresis,enuresis
QI_0004,Encopresis,encopresis
QI_0005,Trastorno de ansiedad por separación,separation_anxiety_disorder
QI_0006,Trastorno de ansiedad generalizada,generalized_anxiety_disorder
QI_0007,Trastorno de depresión mayor,major_depressive_disorder
QI_0008,Trastorno depresivo persistente,persistent_depressive_disorder
QI_0009,Trastorno de desregulación disruptiva del estado de ánimo,dmdd
QI_0010,TRANSVERSAL,transversal
QI_0011,TRANSVERSAL,transversal
QI_0012,TRANSVERSAL,transversal
QI_0013,TRANSVERSAL,transversal
QI_0014,TRANSVERSAL,transversal
QI_0015,TRANSVERSAL,transversal
QI_0016,TRANSVERSAL,transversal
QI_0017,TRANSVERSAL,transversal
QI_0018,TRANSVERSAL,transversal
QI_0019,TRANSVERSAL,transversal
QI_0020,TRANSVERSAL,transversal
QI_0021,TRANSVERSAL,transversal
QI_0022,TRANSVERSAL,transversal
QI_0023,TRANSVERSAL,transversal
QI_0024,TRANSVERSAL,transversal
QI_0025,TRANSVERSAL,transversal
QI_0026,TRANSVERSAL,transversal
QI_0027,TRANSVERSAL,transversal
QI_0028,Trastorno por déficit de atención/hiperactividad,adhd
QI_0029,Trastorno por déficit de atención/hiperactividad,adhd
QI_0030,Trastorno por déficit de atención/hiperactividad,adhd
QI_0031,Trastorno por déficit de atención/hiperactividad,adhd
QI_0032,Trastorno por déficit de atención/hiperactividad,adhd
QI_0033,Trastorno por déficit de atención/hiperactividad,adhd
QI_0034,Trastorno por déficit de atención/hiperactividad,adhd
QI_0035,Trastorno por déficit de atención/hiperactividad,adhd
QI_0036,Trastorno por déficit de atención/hiperactividad,adhd
QI_0037,Trastorno por déficit de atención/hiperactividad,adhd
QI_0038,Trastorno por déficit de atención/hiperactividad,adhd
QI_0039,Trastorno por déficit de atención/hiperactividad,adhd
QI_0040,Trastorno por déficit de atención/hiperactividad,adhd
QI_0041,Trastorno por déficit de atención/hiperactividad,adhd
QI_0042,Trastorno por déficit de atención/hiperactividad,adhd
QI_0043,Trastorno por déficit de atención/hiperactividad,adhd
QI_0044,Trastorno por déficit de atención/hiperactividad,adhd
QI_0045,Trastorno por déficit de atención/hiperactividad,adhd
QI_0046,Trastorno por déficit de atención/hiperactividad,adhd
QI_0047,Trastorno por déficit de atención/hiperactividad,adhd
QI_0048,Trastorno por déficit de atención/hiperactividad,adhd
QI_0049,Trastorno por déficit de atención/hiperactividad,adhd
QI_0050,Trastorno por déficit de atención/hiperactividad,adhd
