questionnaire_item_id,row_id_from_normative_csv,diagnostic_unit,external_domain,parameter_name,dsm_block,direct_or_proxy_for_normative_parameter
QI_0001,1,Trastorno por déficit de atención/hiperactividad,TDAH,NORM_PARAM_0001,,proxy
QI_0002,2,Trastorno de conducta,Conducta,NORM_PARAM_0002,,proxy
QI_0003,3,Enuresis,Eliminación,NORM_PARAM_0003,,proxy
QI_0004,4,Encopresis,Eliminación,NORM_PARAM_0004,,proxy
QI_0005,5,Trastorno de ansiedad por separación,Ansiedad,NORM_PARAM_0005,,proxy
QI_0006,6,Trastorno de ansiedad generalizada,Ansiedad,NORM_PARAM_0006,,proxy
QI_0007,7,Trastorno de depresión mayor,Depresión,NORM_PARAM_0007,,proxy
QI_0008,8,Trastorno depresivo persistente,Depresión,NORM_PARAM_0008,,proxy
QI_0009,9,Trastorno de desregulación disruptiva del estado de ánimo,Depresión,NORM_PARAM_0009,,proxy
QI_0010,10,TRANSVERSAL,TRANSVERSAL,diagnostic_unit,Identificación,proxy
QI_0011,11,TRANSVERSAL,TRANSVERSAL,diagnostic_domain,Identificación,proxy
QI_0012,12,TRANSVERSAL,TRANSVERSAL,age_at_assessment,Cronología,direct
QI_0013,13,TRANSVERSAL,TRANSVERSAL,age_at_onset,Cronología,direct
QI_0014,14,TRANSVERSAL,TRANSVERSAL,duration_minimum,Temporalidad,direct
QI_0015,15,TRANSVERSAL,TRANSVERSAL,symptom_frequency,Temporalidad,direct
QI_0016,16,TRANSVERSAL,TRANSVERSAL,persistence_rule,Temporalidad,direct
QI_0017,17,TRANSVERSAL,TRANSVERSAL,contexts_present,Contexto,direct
QI_0018,18,TRANSVERSAL,TRANSVERSAL,cross_setting_severity,Contexto,direct
QI_0019,19,TRANSVERSAL,TRANSVERSAL,functional_impairment,Funcionamiento,proxy
QI_0020,20,TRANSVERSAL,TRANSVERSAL,substance_medical_exclusion,Exclusiones,direct
QI_0021,21,TRANSVERSAL,TRANSVERSAL,other_mental_disorder_exclusion,Exclusiones,direct
QI_0022,22,TRANSVERSAL,TRANSVERSAL,diagnostic_coexistence_rule,Comorbilidad,proxy
QI_0023,23,TRANSVERSAL,TRANSVERSAL,subjective_report,Evidencia,proxy
QI_0024,24,TRANSVERSAL,TRANSVERSAL,observer_report,Evidencia,proxy
QI_0025,25,TRANSVERSAL,TRANSVERSAL,specifier_set,Salida,direct
QI_0026,26,TRANSVERSAL,TRANSVERSAL,severity_current,Salida,proxy
QI_0027,27,TRANSVERSAL,TRANSVERSAL,remission_status,Salida,direct
QI_0028,28,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_GATE_A,Criterio A,proxy
QI_0029,29,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A1_THRESHOLD,A1,proxy
QI_0030,30,Trastorno por déficit de atención/hiperactividad,TDAH,ADHD_A2_THRESHOLD,A2,proxy
