questionnaire_item_id,external_domain
QI_0001,TDAH
QI_0002,Conducta
QI_0003,Eliminación
QI_0004,Eliminación
QI_0005,Ansiedad
QI_0006,Ansiedad
QI_0007,Depresión
QI_0008,Depresión
QI_0009,Depresión
QI_0010,TRANSVERSAL
QI_0011,TRANSVERSAL
QI_0012,TRANSVERSAL
QI_0013,TRANSVERSAL
QI_0014,TRANSVERSAL
QI_0015,TRANSVERSAL
QI_0016,TRANSVERSAL
QI_0017,TRANSVERSAL
QI_0018,TRANSVERSAL
QI_0019,TRANSVERSAL
QI_0020,TRANSVERSAL
QI_0021,TRANSVERSAL
QI_0022,TRANSVERSAL
QI_0023,TRANSVERSAL
QI_0024,TRANSVERSAL
QI_0025,TRANSVERSAL
QI_0026,TRANSVERSAL
QI_0027,TRANSVERSAL
QI_0028,TDAH
QI_0029,TDAH
QI_0030,TDAH
QI_0031,TDAH
QI_0032,TDAH
QI_0033,TDAH
QI_0034,TDAH
QI_0035,TDAH
QI_0036,TDAH
QI_0037,TDAH
QI_0038,TDAH
QI_0039,TDAH
QI_0040,TDAH
QI_0041,TDAH
QI_0042,TDAH
QI_0043,TDAH
QI_0044,TDAH
QI_0045,TDAH
QI_0046,TDAH
QI_0047,TDAH
QI_0048,TDAH
QI_0049,TDAH
QI_0050,TDAH
QI_0051,TDAH
QI_0052,TDAH
QI_0053,TDAH
QI_0054,TDAH
QI_0055,TDAH
QI_0056,Conducta
QI_0057,Conducta
QI_0058,Conducta
QI_0059,Conducta
QI_0060,Conducta
QI_0061,Conducta
QI_0062,Conducta
QI_0063,Conducta
QI_0064,Conducta
QI_0065,Conducta
QI_0066,Conducta
QI_0067,Conducta
QI_0068,Conducta
QI_0069,Conducta
QI_0070,Conducta
QI_0071,Conducta
QI_0072,Conducta
QI_0073,Conducta
QI_0074,Conducta
QI_0075,Conducta
QI_0076,Conducta
QI_0077,Conducta
QI_0078,Conducta
QI_0079,Conducta
QI_0080,Conducta
QI_0081,Conducta
QI_0082,Eliminación
QI_0083,Eliminación
QI_0084,Eliminación
QI_0085,Eliminación
QI_0086,Eliminación
QI_0087,Eliminación
QI_0088,Eliminación
QI_0089,Eliminación
QI_0090,Eliminación
QI_0091,Eliminación
QI_0092,Ansiedad
QI_0093,Ansiedad
QI_0094,Ansiedad
QI_0095,Ansiedad
QI_0096,Ansiedad
QI_0097,Ansiedad
QI_0098,Ansiedad
QI_0099,Ansiedad
QI_0100,Ansiedad
QI_0101,Ansiedad
QI_0102,Ansiedad
QI_0103,Ansiedad
QI_0104,Ansiedad
QI_0105,Ansiedad
QI_0106,Ansiedad
QI_0107,Ansiedad
QI_0108,Ansiedad
QI_0109,Ansiedad
QI_0110,Ansiedad
QI_0111,Ansiedad
QI_0112,Ansiedad
QI_0113,Ansiedad
QI_0114,Ansiedad
QI_0115,Ansiedad
QI_0116,Depresión
QI_0117,Depresión
QI_0118,Depresión
QI_0119,Depresión
QI_0120,Depresión
QI_0121,Depresión
QI_0122,Depresión
QI_0123,depression
QI_0124,depression
QI_0125,depression
QI_0126,depression
QI_0127,depression
QI_0128,depression
QI_0129,Depresión
QI_0130,Depresión
QI_0131,Depresión
QI_0132,Depresión
QI_0133,Depresión
QI_0134,Depresión
QI_0135,Depresión
QI_0136,Depresión
QI_0137,Depresión
QI_0138,Depresión
QI_0139,Depresión
QI_0140,Depresión
QI_0141,Depresión
QI_0142,Depresión
QI_0143,Depresión
QI_0144,Depresión
QI_0145,Depresión
QI_0146,Depresión
QI_0147,Depresión
QI_0148,Depresión
QI_0149,Depresión
QI_0150,Depresión
QI_0151,Depresión
QI_0152,Depresión
QI_0153,Depresión
QI_0154,Depresión
QI_0155,Depresión
QI_0156,Depresión
QI_0157,Depresión
QI_0158,Depresión
QI_0159,Depresión
QI_0160,Depresión
QI_0161,Depresión
QI_0162,Depresión
QI_0163,Depresión
QI_0164,Depresión
QI_0165,Depresión
QI_0166,Depresión
QI_0167,Depresión
QI_0168,Depresión
QI_0169,Depresión
QI_0170,Depresión
QI_0171,Depresión
QI_0172,Depresión
QI_0173,Depresión
QI_0174,Depresión
QI_0175,Depresión
QI_0176,Depresión
QI_0177,Depresión
QI_0178,Depresión
QI_0179,Depresión
QI_0180,Depresión
QI_0181,Depresión
QI_0182,Depresión
QI_0183,Depresión
